"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012547308
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,50;5,50;5,36;5,36;5,36;227637;50;1233149;5,4172
03/11/2023;5,48;5,50;5,36;5,40;5,40;556249;91;3007716;5,4071
02/11/2023;5,48;5,50;5,34;5,48;5,48;686728;96;3706733;5,3977
01/11/2023;5,32;5,48;5,28;5,40;5,40;341665;101;1830726;5,3582
31/10/2023;5,38;5,42;5,34;5,34;5,34;238124;37;1280595;5,3778
30/10/2023;5,50;5,50;5,34;5,34;5,34;534808;112;2898070;5,4189
27/10/2023;5,32;5,46;5,32;5,38;5,38;401247;76;2151842;5,3629
26/10/2023;5,34;5,42;5,32;5,34;5,34;310929;88;1671211;5,3749
25/10/2023;5,38;5,46;5,34;5,38;5,38;256213;52;1377643;5,3769
24/10/2023;5,30;5,50;5,30;5,36;5,36;251812;70;1363760;5,4158
23/10/2023;5,56;5,56;5,36;5,36;5,36;389654;138;2122351;5,4468
20/10/2023;5,58;5,58;5,38;5,48;5,48;280740;63;1522514;5,4232
19/10/2023;5,70;5,70;5,44;5,46;5,46;319056;101;1755988;5,5037
18/10/2023;5,66;5,66;5,44;5,44;5,44;224199;85;1242402;5,5415
17/10/2023;5,50;5,70;5,44;5,52;5,52;686629;215;3839916;5,5924
16/10/2023;5,56;5,56;5,38;5,40;5,40;218963;75;1196356;5,4637
13/10/2023;5,50;5,50;5,36;5,50;5,50;323217;79;1762441;5,4528
12/10/2023;5,36;5,50;5,30;5,36;5,36;594498;172;3211241;5,4016
11/10/2023;5,36;5,36;5,28;5,36;5,36;328503;118;1748377;5,3223
10/10/2023;5,40;5,48;5,30;5,30;5,30;1338289;148;7081060;5,2911
09/10/2023;5,50;5,50;5,28;5,38;5,38;46838;34;253144;5,4047
06/10/2023;5,44;5,48;5,24;5,44;5,44;246288;92;1345768;5,4642
05/10/2023;5,42;5,48;5,28;5,48;5,48;224910;61;1217313;5,4124
04/10/2023;5,42;5,42;5,30;5,30;5,30;267258;57;1433841;5,3650
03/10/2023;5,44;5,44;5,28;5,42;5,42;282466;79;1516534;5,3689
02/10/2023;5,38;5,50;5,34;5,34;5,34;697085;197;3781923;5,4253
29/09/2023;5,28;5,38;5,24;5,34;5,34;169833;64;903183;5,3181
28/09/2023;5,36;5,38;5,28;5,32;5,32;195669;70;1040915;5,3198
27/09/2023;5,34;5,38;5,28;5,32;5,32;79798;44;426484;5,3445
26/09/2023;5,30;5,38;5,30;5,36;5,36;171975;58;918899;5,3432
25/09/2023;5,38;5,38;5,26;5,30;5,30;610403;113;3231519;5,2941
22/09/2023;5,38;5,40;5,26;5,36;5,36;297392;60;1588896;5,3428
21/09/2023;5,40;5,44;5,24;5,36;5,36;598545;172;3206481;5,3571
20/09/2023;5,24;5,36;5,18;5,36;5,36;404030;73;2116588;5,2387
19/09/2023;5,24;5,24;5,16;5,20;5,20;181492;64;942946;5,1955
18/09/2023;5,30;5,30;5,14;5,24;5,24;98154;57;511971;5,2160
15/09/2023;5,22;5,28;5,10;5,22;5,22;479290;95;2481672;5,1778
14/09/2023;5,22;5,22;5,10;5,20;5,20;1383130;60;7181611;5,1923
13/09/2023;5,20;5,22;5,20;5,20;5,20;6811549;63;35421091;5,2002
12/09/2023;5,04;5,20;5,04;5,20;5,20;622996;105;3215294;5,1610
11/09/2023;5,06;5,20;5,00;5,04;5,04;507294;73;2585117;5,0959
08/09/2023;5,00;5,08;4,95;5,00;5,00;741019;56;3672916;4,9566
07/09/2023;4,85;5,06;4,80;5,02;5,02;920362;208;4483631;4,8716
06/09/2023;4,94;4,94;4,78;4,83;4,83;1494352;277;7226899;4,8361
05/09/2023;5,00;5,00;4,92;4,97;4,97;1285136;103;6383980;4,9676
04/09/2023;5,02;5,02;4,90;4,97;4,97;445110;90;2209863;4,9648
01/09/2023;5,24;5,24;4,96;4,99;4,99;1122503;242;5661683;5,0438
31/08/2023;5,88;5,98;5,76;5,76;5,76;785854;173;4609762;5,8659
30/08/2023;5,72;5,80;5,70;5,78;5,78;413428;109;2385005;5,7689
29/08/2023;5,56;5,72;5,56;5,66;5,66;415070;81;2331438;5,6170
28/08/2023;5,60;5,68;5,50;5,52;5,52;928713;140;5170104;5,5670
25/08/2023;5,60;5,62;5,46;5,50;5,50;943781;185;5190367;5,4995
24/08/2023;5,68;5,68;5,40;5,50;5,50;1191053;215;6559222;5,5071
23/08/2023;5,58;5,58;5,42;5,50;5,50;189936;72;1048902;5,5224
22/08/2023;5,42;5,64;5,42;5,52;5,52;78104;22;435356;5,5740
21/08/2023;5,46;5,62;5,38;5,48;5,48;176203;60;962043;5,4599
18/08/2023;5,56;5,56;5,38;5,46;5,46;183805;48;1000175;5,4415
17/08/2023;5,44;5,60;5,44;5,48;5,48;89024;32;490061;5,5048
16/08/2023;5,44;5,54;5,40;5,46;5,46;245763;58;1347158;5,4815
15/08/2023;5,50;5,54;5,42;5,46;5,46;261841;57;1432760;5,4719
14/08/2023;5,58;5,60;5,44;5,48;5,48;306441;87;1683773;5,4946
11/08/2023;5,54;5,64;5,44;5,54;5,54;330278;90;1830786;5,5432
10/08/2023;5,34;5,42;5,34;5,40;5,40;120150;57;648963;5,4013
09/08/2023;5,38;5,48;5,36;5,36;5,36;424982;85;2293222;5,3960
08/08/2023;5,56;5,56;5,30;5,30;5,30;1482128;308;8034537;5,4209
07/08/2023;5,66;5,76;5,52;5,52;5,52;312999;101;1746020;5,5784
04/08/2023;5,68;5,70;5,56;5,66;5,66;397256;189;2228680;5,6102
03/08/2023;5,60;5,70;5,52;5,60;5,60;251248;37;1405233;5,5930
02/08/2023;5,72;5,72;5,54;5,60;5,60;316490;79;1774493;5,6068
01/08/2023;5,62;5,74;5,62;5,72;5,72;371354;72;2113058;5,6901
31/07/2023;5,66;5,68;5,42;5,58;5,58;507119;153;2841915;5,6040
28/07/2023;5,58;5,58;5,40;5,50;5,50;56978;18;311588;5,4686
27/07/2023;5,50;5,70;5,50;5,50;5,50;190827;55;1066085;5,5867
26/07/2023;5,50;5,50;5,44;5,48;5,48;55248;15;302830;5,4813
25/07/2023;5,48;5,52;5,44;5,50;5,50;90013;30;493801;5,4859
24/07/2023;5,32;5,46;5,32;5,40;5,40;89978;22;484019;5,3793
21/07/2023;5,34;5,36;5,28;5,30;5,30;264302;57;1403656;5,3108
20/07/2023;5,30;5,44;5,30;5,34;5,34;282882;62;1514594;5,3542
19/07/2023;5,30;5,40;5,30;5,38;5,38;152630;68;812705;5,3247
18/07/2023;5,34;5,34;5,26;5,30;5,30;134687;37;711238;5,2807
17/07/2023;5,34;5,34;5,26;5,30;5,30;79420;23;419978;5,2881
14/07/2023;5,60;5,60;5,22;5,30;5,30;435299;179;2340247;5,3762
13/07/2023;5,66;5,66;5,42;5,56;5,56;195449;47;1089792;5,5758
12/07/2023;5,54;5,70;5,54;5,60;5,60;253375;62;1414067;5,5809
11/07/2023;5,42;5,50;5,42;5,50;5,50;479232;101;2621255;5,4697
10/07/2023;5,30;5,42;5,26;5,42;5,42;64088;40;341685;5,3315
07/07/2023;5,34;5,40;5,30;5,30;5,30;320125;75;1705244;5,3268
06/07/2023;5,36;5,36;5,22;5,32;5,32;83834;38;443697;5,2926
05/07/2023;5,38;5,40;5,26;5,40;5,40;178884;43;956260;5,3457
04/07/2023;5,34;5,40;5,30;5,40;5,40;146684;40;787842;5,3710
03/07/2023;5,18;5,34;5,18;5,30;5,30;390892;67;2066798;5,2874
30/06/2023;5,20;5,26;4,98;5,14;5,14;1537886;252;7745444;5,0364
29/06/2023;5,30;5,30;5,08;5,20;5,20;35744;13;185040;5,1768
28/06/2023;5,10;5,38;5,06;5,14;5,14;218539;33;1129191;5,1670
27/06/2023;5,12;5,12;5,08;5,10;5,10;16773;11;85798;5,1152
26/06/2023;5,14;5,26;5,10;5,12;5,12;31018;12;161360;5,2021
23/06/2023;5,24;5,28;5,18;5,18;5,18;77420;23;405745;5,2408
22/06/2023;5,30;5,40;5,24;5,32;5,32;122288;31;653865;5,3469
21/06/2023;5,14;5,34;5,14;5,30;5,30;45522;16;237287;5,2126
20/06/2023;5,38;5,38;5,14;5,20;5,20;50602;39;267062;5,2777
19/06/2023;5,34;5,34;5,32;5,32;5,32;23727;10;126568;5,3344
16/06/2023;5,36;5,38;5,32;5,34;5,34;131690;39;703317;5,3407
15/06/2023;5,24;5,34;5,20;5,34;5,34;143244;29;750839;5,2417
14/06/2023;5,20;5,30;5,16;5,16;5,16;63542;17;330836;5,2066
13/06/2023;5,26;5,28;5,16;5,20;5,20;51873;28;270275;5,2103
12/06/2023;5,24;5,30;5,16;5,26;5,26;123201;58;643010;5,2192
09/06/2023;5,30;5,30;5,20;5,24;5,24;46371;32;243568;5,2526
08/06/2023;5,30;5,30;5,20;5,30;5,30;135709;39;710334;5,2342
07/06/2023;5,30;5,30;5,24;5,26;5,26;235345;87;1243752;5,2848
