"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010775844
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,54;0,54;0,512;0,538;0,538;386656;27;204757;0,5296
03/11/2023;0,48;0,546;0,46;0,50;0,50;383882;33;197416;0,5143
02/11/2023;0,48;0,48;0,45;0,48;0,48;114489;10;54392;0,4751
01/11/2023;0,48;0,48;0,48;0,48;0,48;10420;2;5002;0,4800
31/10/2023;0,50;0,50;0,456;0,48;0,48;162310;11;80215;0,4942
30/10/2023;0,49;0,49;0,431;0,479;0,479;66000;6;30517;0,4624
27/10/2023;0,49;0,508;0,41;0,41;0,41;134580;12;65362;0,4857
26/10/2023;0,499;0,499;0,43;0,499;0,499;125960;8;62171;0,4936
25/10/2023;0,476;0,51;0,476;0,498;0,498;42901;7;20829;0,4855
24/10/2023;0,378;0,485;0,378;0,485;0,485;152761;21;70000;0,4582
23/10/2023;0,475;0,475;0,40;0,469;0,469;15900;4;7290;0,4585
20/10/2023;0,50;0,50;0,45;0,487;0,487;41065;10;19089;0,4649
19/10/2023;0,48;0,50;0,48;0,497;0,497;97709;7;46927;0,4803
18/10/2023;0,546;0,546;0,48;0,48;0,48;107591;10;53167;0,4942
17/10/2023;0,548;0,548;0,48;0,50;0,50;56190;13;28677;0,5104
16/10/2023;0,48;0,546;0,48;0,50;0,50;357442;21;179197;0,5013
13/10/2023;0,57;0,57;0,48;0,548;0,548;244708;16;126054;0,5151
12/10/2023;0,574;0,574;0,52;0,566;0,566;32513;7;17857;0,5492
11/10/2023;0,55;0,56;0,546;0,548;0,548;81111;7;45085;0,5558
10/10/2023;0,55;0,596;0,55;0,58;0,58;132247;9;73074;0,5526
09/10/2023;0,596;0,596;0,504;0,568;0,568;213300;14;111199;0,5213
06/10/2023;0,60;0,60;0,53;0,60;0,60;196656;24;114512;0,5823
05/10/2023;0,60;0,60;0,522;0,60;0,60;69523;20;38959;0,5604
04/10/2023;0,60;0,60;0,52;0,52;0,52;67272;16;38545;0,5730
03/10/2023;0,58;0,598;0,58;0,598;0,598;15118;3;8861;0,5861
02/10/2023;0,588;0,588;0,508;0,588;0,588;700;3;372;0,5309
29/09/2023;0,616;0,616;0,55;0,594;0,594;84520;10;49125;0,5812
28/09/2023;0,636;0,636;0,542;0,618;0,618;228396;16;128028;0,5606
27/09/2023;0,638;0,638;0,52;0,58;0,58;63365;10;38053;0,6005
26/09/2023;0,61;0,636;0,61;0,634;0,634;38254;4;24054;0,6288
25/09/2023;0,65;0,65;0,628;0,628;0,628;65857;8;41792;0,6346
22/09/2023;0,648;0,65;0,592;0,65;0,65;96714;14;62363;0,6448
21/09/2023;0,65;0,688;0,56;0,648;0,648;215952;26;127215;0,5891
20/09/2023;0,678;0,68;0,64;0,64;0,64;190667;18;122674;0,6434
19/09/2023;0,64;0,66;0,58;0,66;0,66;474338;34;294881;0,6217
18/09/2023;0,56;0,68;0,552;0,60;0,60;974808;66;606028;0,6217
15/09/2023;0,56;0,65;0,552;0,56;0,56;1241542;72;749867;0,6040
14/09/2023;0,614;0,614;0,55;0,586;0,586;322089;26;183286;0,5691
13/09/2023;0,56;0,638;0,56;0,612;0,612;623968;32;380804;0,6103
12/09/2023;0,52;0,56;0,502;0,56;0,56;183170;25;99205;0,5416
11/09/2023;0,438;0,52;0,438;0,52;0,52;81200;10;39079;0,4813
08/09/2023;0,46;0,53;0,46;0,53;0,53;438229;16;223451;0,5099
07/09/2023;0,471;0,51;0,47;0,51;0,51;377558;12;178705;0,4733
06/09/2023;0,50;0,50;0,471;0,471;0,471;359318;21;177505;0,4940
05/09/2023;0,52;0,52;0,46;0,461;0,461;623433;30;297394;0,4770
04/09/2023;0,499;0,51;0,437;0,46;0,46;176335;18;85683;0,4859
01/09/2023;0,516;0,516;0,453;0,499;0,499;55314;9;26038;0,4707
31/08/2023;0,43;0,532;0,353;0,53;0,53;1214243;67;532567;0,4386
30/08/2023;0,42;0,469;0,40;0,43;0,43;242720;22;99875;0,4115
29/08/2023;0,39;0,48;0,39;0,48;0,48;256522;31;112710;0,4394
28/08/2023;0,38;0,422;0,38;0,40;0,40;49513;19;20133;0,4066
25/08/2023;0,37;0,429;0,353;0,386;0,386;576491;51;214556;0,3722
24/08/2023;0,40;0,439;0,395;0,395;0,395;332857;28;136186;0,4091
23/08/2023;0,40;0,44;0,40;0,43;0,43;351979;43;146887;0,4173
22/08/2023;0,488;0,518;0,40;0,411;0,411;896822;57;379492;0,4232
21/08/2023;0,50;0,538;0,38;0,453;0,453;3118448;151;1370943;0,4396
18/08/2023;0,60;0,60;0,445;0,489;0,489;2995223;299;1486501;0,4963
17/08/2023;0,672;0,70;0,441;0,574;0,574;6943797;389;4088022;0,5887
16/08/2023;0,251;0,30;0,25;0,286;0,286;1066927;42;299438;0,2807
15/08/2023;0,264;0,27;0,222;0,27;0,27;888742;36;230319;0,2592
14/08/2023;0,258;0,27;0,20;0,27;0,27;1520214;39;361890;0,2381
11/08/2023;0,25;0,279;0,24;0,24;0,24;1412825;51;348097;0,2464
10/08/2023;0,278;0,319;0,239;0,25;0,25;2265118;60;610457;0,2695
09/08/2023;0,24;0,319;0,23;0,28;0,28;2230511;74;616314;0,2763
08/08/2023;0,34;0,343;0,266;0,27;0,27;2830836;114;820965;0,2900
07/08/2023;0,47;0,47;0,30;0,32;0,32;4342963;182;1589353;0,3660
04/08/2023;0,473;0,473;0,451;0,47;0,47;442628;35;203249;0,4592
03/08/2023;0,484;0,484;0,461;0,473;0,473;267702;21;125877;0,4702
02/08/2023;0,532;0,532;0,47;0,484;0,484;1857371;62;928369;0,4998
01/08/2023;0,00;0,00;0,00;0,00;0,546;0;0;0;0,0000
31/07/2023;0,532;0,546;0,532;0,546;0,546;23502;4;12803;0,5448
28/07/2023;0,568;0,568;0,532;0,546;0,546;124019;7;68207;0,5500
27/07/2023;0,558;0,558;0,542;0,558;0,558;145100;8;80206;0,5528
26/07/2023;0,552;0,558;0,552;0,558;0,558;5500;3;3039;0,5525
25/07/2023;0,56;0,56;0,542;0,558;0,558;151367;10;84018;0,5551
24/07/2023;0,554;0,568;0,554;0,568;0,568;86624;5;48000;0,5541
21/07/2023;0,554;0,554;0,554;0,554;0,554;11648;3;6453;0,5540
20/07/2023;0,55;0,55;0,54;0,55;0,55;29757;9;16149;0,5427
19/07/2023;0,54;0,55;0,54;0,54;0,54;242637;10;131048;0,5401
18/07/2023;0,538;0,538;0,538;0,538;0,538;59294;6;31900;0,5380
17/07/2023;0,532;0,566;0,53;0,534;0,534;1245482;26;670333;0,5382
14/07/2023;0,57;0,59;0,552;0,59;0,59;119976;8;69187;0,5767
13/07/2023;0,55;0,59;0,55;0,59;0,59;135182;10;78906;0,5837
12/07/2023;0,59;0,596;0,556;0,594;0,594;72600;6;41029;0,5651
11/07/2023;0,598;0,598;0,596;0,596;0,596;22550;6;13464;0,5971
10/07/2023;0,598;0,598;0,568;0,596;0,596;52422;9;29923;0,5708
07/07/2023;0,57;0,596;0,57;0,596;0,596;1950;3;1114;0,5713
06/07/2023;0,58;0,598;0,58;0,598;0,598;5153;3;2989;0,5800
05/07/2023;0,60;0,60;0,57;0,598;0,598;87101;6;52086;0,5980
04/07/2023;0,598;0,598;0,59;0,598;0,598;94234;8;56328;0,5977
03/07/2023;0,60;0,60;0,576;0,60;0,60;25431;7;14941;0,5875
30/06/2023;0,598;0,598;0,598;0,598;0,598;9200;3;5502;0,5980
29/06/2023;0,58;0,598;0,58;0,598;0,598;11000;2;6398;0,5816
28/06/2023;0,61;0,61;0,606;0,606;0,606;56073;3;34072;0,6076
27/06/2023;0,57;0,608;0,56;0,598;0,598;60925;9;34562;0,5673
26/06/2023;0,60;0,608;0,564;0,608;0,608;637978;23;362806;0,5687
23/06/2023;0,56;0,57;0,55;0,57;0,57;277000;8;154664;0,5584
22/06/2023;0,57;0,59;0,53;0,55;0,55;418596;17;230288;0,5501
21/06/2023;0,59;0,61;0,53;0,56;0,56;226578;20;128327;0,5664
20/06/2023;0,56;0,59;0,53;0,588;0,588;182923;16;101499;0,5549
19/06/2023;0,54;0,546;0,526;0,54;0,54;326843;13;176834;0,5410
16/06/2023;0,504;0,536;0,504;0,53;0,53;72985;10;37492;0,5137
15/06/2023;0,58;0,598;0,483;0,504;0,504;472063;34;249501;0,5285
14/06/2023;0,53;0,618;0,52;0,578;0,578;915711;35;521141;0,5691
13/06/2023;0,475;0,568;0,475;0,53;0,53;531489;23;272747;0,5132
12/06/2023;0,48;0,498;0,46;0,479;0,479;171535;12;82097;0,4786
09/06/2023;0,48;0,49;0,45;0,479;0,479;598553;24;286680;0,4790
08/06/2023;0,449;0,48;0,449;0,46;0,46;200004;14;90941;0,4547
07/06/2023;0,45;0,45;0,411;0,439;0,439;23400;7;9797;0,4187
06/06/2023;0,449;0,45;0,43;0,43;0,43;81970;10;35796;0,4367
05/06/2023;0,43;0,48;0,40;0,424;0,424;584379;37;253323;0,4335
02/06/2023;0,536;0,536;0,40;0,47;0,47;1768235;74;827925;0,4682
01/06/2023;0,538;0,54;0,536;0,536;0,536;25700;7;13827;0,5380
31/05/2023;0,55;0,55;0,52;0,538;0,538;19667;4;10322;0,5249
30/05/2023;0,56;0,56;0,50;0,53;0,53;418256;24;215753;0,5158
29/05/2023;0,00;0,00;0,00;0,00;0,56;0;0;0;0,0000
26/05/2023;0,58;0,58;0,54;0,56;0,56;176295;14;96305;0,5463
25/05/2023;0,538;0,568;0,52;0,568;0,568;539897;29;294268;0,5450
24/05/2023;0,502;0,548;0,502;0,512;0,512;387867;21;205811;0,5306
23/05/2023;0,58;0,58;0,50;0,526;0,526;359707;32;192587;0,5354
22/05/2023;0,58;0,58;0,542;0,566;0,566;345363;30;191452;0,5544
19/05/2023;0,552;0,59;0,55;0,59;0,59;240352;31;138346;0,5756
18/05/2023;0,00;0,00;0,00;0,00;0,588;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;0,588;0;0;0;0,0000
16/05/2023;0,60;0,60;0,55;0,588;0,588;265494;19;148808;0,5605
15/05/2023;0,60;0,60;0,556;0,586;0,586;153360;24;88366;0,5762
12/05/2023;0,65;0,65;0,57;0,586;0,586;621516;43;371882;0,5983
11/05/2023;0,66;0,66;0,53;0,65;0,65;1001609;66;615447;0,6145
10/05/2023;0,56;0,692;0,53;0,66;0,66;1462108;86;925650;0,6331
09/05/2023;0,63;0,63;0,51;0,544;0,544;776854;58;424704;0,5467
08/05/2023;0,50;0,648;0,50;0,62;0,62;3002627;158;1719928;0,5728
05/05/2023;0,85;0,85;0,40;0,49;0,49;3786341;197;1883527;0,4975
04/05/2023;0,88;0,88;0,86;0,86;0,86;43004;7;37421;0,8702
03/05/2023;0,91;0,91;0,852;0,852;0,852;87184;8;76946;0,8826
02/05/2023;0,86;1,02;0,86;0,90;0,90;158664;12;139263;0,8777
28/04/2023;0,90;0,90;0,824;0,85;0,85;416642;26;357413;0,8578
27/04/2023;0,91;0,91;0,87;0,876;0,876;132963;12;119245;0,8968
26/04/2023;0,87;0,96;0,87;0,89;0,89;388878;28;360855;0,9279
25/04/2023;0,92;0,954;0,872;0,90;0,90;295527;20;270990;0,9170
24/04/2023;0,98;0,98;0,892;0,92;0,92;239743;17;221379;0,9234
21/04/2023;0,90;0,96;0,88;0,96;0,96;770296;25;700398;0,9093
20/04/2023;0,92;0,94;0,88;0,898;0,898;289397;23;258736;0,8941
19/04/2023;0,94;0,94;0,922;0,94;0,94;43097;7;40294;0,9350
18/04/2023;0,974;0,974;0,92;0,938;0,938;258624;28;242982;0,9395
17/04/2023;1,00;1,00;0,96;0,974;0,974;144076;20;140139;0,9727
