"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010098247
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;13,50;14,30;13,50;13,50;13,50;32875;43;448724;13,6494
03/11/2023;13,50;13,70;13,50;13,60;13,60;56778;73;768098;13,5281
02/11/2023;13,15;13,60;13,15;13,40;13,40;100112;51;1334077;13,3258
01/11/2023;13,05;13,25;12,80;13,15;13,15;31233;35;409376;13,1072
31/10/2023;13,45;13,50;13,00;13,10;13,10;134472;70;1777828;13,2208
30/10/2023;13,70;14,00;13,50;13,65;13,65;26709;38;363334;13,6034
27/10/2023;14,00;14,15;13,45;14,00;14,00;240865;47;3311845;13,7498
26/10/2023;14,10;14,30;14,00;14,00;14,00;21692;33;305156;14,0677
25/10/2023;14,70;14,75;14,00;14,10;14,10;47057;58;675014;14,3446
24/10/2023;15,25;15,25;14,50;14,50;14,50;113438;43;1691006;14,9069
23/10/2023;16,00;16,00;14,45;14,75;14,75;205368;131;3056787;14,8844
20/10/2023;17,50;17,50;16,90;16,90;16,90;47007;39;801885;17,0588
19/10/2023;17,45;17,45;17,15;17,15;17,15;17535;17;301114;17,1722
18/10/2023;17,60;17,60;17,15;17,45;17,45;18616;19;322541;17,3260
17/10/2023;17,80;17,90;17,30;17,55;17,55;35613;26;621828;17,4607
16/10/2023;18,00;18,00;17,45;17,80;17,80;13764;22;243225;17,6711
13/10/2023;17,55;18,40;17,55;17,80;17,80;20865;15;373474;17,8995
12/10/2023;17,45;17,65;17,45;17,50;17,50;6369;11;111902;17,5697
11/10/2023;17,80;17,95;17,40;17,40;17,40;43685;33;774438;17,7278
10/10/2023;17,30;18,70;17,30;17,75;17,75;85658;80;1545301;18,0404
09/10/2023;17,10;17,50;17,10;17,35;17,35;3309;8;56978;17,2190
06/10/2023;17,45;17,45;17,20;17,40;17,40;20508;16;355131;17,3167
05/10/2023;17,25;17,50;17,20;17,45;17,45;17690;16;308447;17,4362
04/10/2023;17,45;17,50;17,30;17,45;17,45;7968;9;139008;17,4457
03/10/2023;17,50;17,50;17,20;17,30;17,30;399;5;6879;17,2414
02/10/2023;17,80;17,90;17,50;17,50;17,50;9574;26;169368;17,6904
29/09/2023;17,50;17,80;17,20;17,60;17,60;12876;11;225318;17,4991
28/09/2023;17,20;17,50;17,20;17,30;17,30;24520;16;421798;17,2022
27/09/2023;17,50;17,50;17,20;17,20;17,20;4379;12;75371;17,2120
26/09/2023;17,45;17,70;17,20;17,20;17,20;18145;18;314525;17,3340
25/09/2023;17,45;17,60;17,40;17,40;17,40;9154;13;160083;17,4878
22/09/2023;17,80;17,95;17,45;17,50;17,50;23416;26;413733;17,6688
21/09/2023;18,45;18,45;17,60;17,70;17,70;25707;26;456801;17,7695
20/09/2023;18,25;18,40;18,10;18,25;18,25;4380;9;79893;18,2405
19/09/2023;18,05;18,30;18,05;18,10;18,10;1691;7;30716;18,1643
18/09/2023;18,00;18,20;17,80;17,80;17,80;15856;18;285393;17,9990
15/09/2023;18,40;18,45;18,10;18,45;18,45;4091;17;74516;18,2147
14/09/2023;18,35;18,35;17,95;18,35;18,35;2522;15;45763;18,1453
13/09/2023;18,40;18,40;18,00;18,00;18,00;7922;19;142768;18,0218
12/09/2023;18,10;18,20;18,00;18,10;18,10;9065;10;163297;18,0140
11/09/2023;18,50;18,50;18,05;18,40;18,40;4319;8;79266;18,3528
08/09/2023;17,80;18,50;17,80;18,45;18,45;17906;22;320308;17,8883
07/09/2023;17,90;18,35;17,80;18,25;18,25;11977;17;215800;18,0178
06/09/2023;18,00;18,35;17,60;17,90;17,90;201181;100;3618017;17,9839
05/09/2023;18,00;18,00;17,80;17,80;17,80;43858;35;789325;17,9973
04/09/2023;17,70;18,60;17,70;18,40;18,40;23333;27;429143;18,3921
01/09/2023;17,60;18,15;17,60;17,70;17,70;24039;25;425650;17,7067
31/08/2023;17,70;17,70;17,30;17,45;17,45;8856;26;155564;17,5660
30/08/2023;17,90;18,00;17,40;17,50;17,50;49999;18;879829;17,5969
29/08/2023;17,95;17,95;17,70;17,70;17,70;181601;9;3124426;17,2049
28/08/2023;17,60;17,70;17,60;17,60;17,60;7076;16;124814;17,6390
25/08/2023;17,85;17,85;17,65;17,70;17,70;6646;8;117416;17,6671
24/08/2023;17,50;17,75;17,50;17,75;17,75;13144;16;230815;17,5605
