"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010672900
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;111,00;115,00;110,00;115,00;115,00;3409;14;386480;113,3705
03/11/2023;113,00;113,00;113,00;113,00;113,00;48;2;5424;113,0000
02/11/2023;111,00;111,00;111,00;111,00;111,00;9;1;999;111,0000
01/11/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
31/10/2023;110,00;110,00;110,00;110,00;110,00;50;1;5500;110,0000
30/10/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
27/10/2023;112,00;112,00;110,00;110,00;110,00;138;3;15388;111,5072
26/10/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
25/10/2023;112,00;113,00;110,00;110,00;110,00;772;6;86126;111,5622
24/10/2023;112,00;112,00;112,00;112,00;112,00;1000;3;112000;112,0000
23/10/2023;111,00;111,00;111,00;111,00;111,00;400;2;44400;111,0000
20/10/2023;111,00;111,00;111,00;111,00;111,00;30;1;3330;111,0000
19/10/2023;110,00;110,00;110,00;110,00;110,00;7;1;770;110,0000
18/10/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
17/10/2023;110,00;110,00;110,00;110,00;110,00;56;3;6160;110,0000
16/10/2023;110,00;110,00;110,00;110,00;110,00;570;4;62700;110,0000
13/10/2023;110,00;111,00;110,00;111,00;111,00;450;2;49905;110,9000
12/10/2023;110,00;110,00;110,00;110,00;110,00;2937;2;323070;110,0000
11/10/2023;110,00;110,00;109,00;109,00;109,00;13;3;1424;109,5385
10/10/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
09/10/2023;110,00;110,00;110,00;110,00;110,00;212;3;23320;110,0000
06/10/2023;110,00;110,00;108,00;108,00;108,00;295;4;32017;108,5322
05/10/2023;111,00;111,00;111,00;111,00;111,00;65;2;7215;111,0000
04/10/2023;111,00;111,00;108,00;108,00;108,00;2039;6;223233;109,4816
03/10/2023;110,00;110,00;109,00;109,00;109,00;1979;6;215767;109,0283
02/10/2023;110,00;110,00;110,00;110,00;110,00;50;1;5500;110,0000
29/09/2023;110,00;111,00;108,00;108,00;108,00;5227;12;571132;109,2657
28/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
26/09/2023;109,00;110,00;109,00;110,00;110,00;61;3;6702;109,8689
25/09/2023;110,00;110,00;110,00;110,00;110,00;800;4;88000;110,0000
22/09/2023;110,00;110,00;110,00;110,00;110,00;50;1;5500;110,0000
21/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
20/09/2023;110,00;110,00;110,00;110,00;110,00;5798;7;632780;109,1376
19/09/2023;111,00;111,00;111,00;111,00;111,00;45;1;4995;111,0000
18/09/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
15/09/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
14/09/2023;111,00;111,00;111,00;111,00;111,00;2105;3;233655;111,0000
13/09/2023;112,00;112,00;112,00;112,00;112,00;410;4;45920;112,0000
12/09/2023;111,00;112,00;111,00;112,00;112,00;515;3;57630;111,9029
11/09/2023;110,00;110,00;110,00;110,00;110,00;260;1;28600;110,0000
08/09/2023;112,00;113,00;112,00;112,00;112,00;1250;4;141000;112,8000
