"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010887516
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,70;5,70;5,32;5,68;5,68;30460;25;164692;5,4068
03/11/2023;5,64;5,66;5,50;5,64;5,64;19849;18;112044;5,6448
02/11/2023;5,40;5,54;5,40;5,50;5,50;29864;14;163886;5,4878
01/11/2023;5,62;5,62;5,08;5,24;5,24;34039;20;177763;5,2223
31/10/2023;5,04;5,86;5,04;5,64;5,64;27450;22;141329;5,1486
30/10/2023;5,50;5,50;5,22;5,22;5,22;10732;8;58276;5,4302
27/10/2023;5,00;5,48;5,00;5,48;5,48;8247;18;42995;5,2134
26/10/2023;5,58;5,60;5,20;5,50;5,50;68183;30;367772;5,3939
25/10/2023;5,14;5,52;5,14;5,52;5,52;39232;26;211010;5,3785
24/10/2023;5,12;5,80;5,10;5,30;5,30;79390;32;424203;5,3433
23/10/2023;6,00;6,00;5,10;5,10;5,10;119808;51;653773;5,4568
20/10/2023;5,88;5,88;5,20;5,38;5,38;91831;37;497329;5,4157
19/10/2023;5,88;6,00;5,88;5,88;5,88;23771;19;140742;5,9207
18/10/2023;6,22;6,22;5,74;5,82;5,82;30939;18;181816;5,8766
17/10/2023;5,98;6,14;5,54;5,58;5,58;25487;23;145633;5,7140
16/10/2023;6,00;6,14;5,80;5,98;5,98;31175;17;185386;5,9466
13/10/2023;6,68;6,68;5,70;6,06;6,06;28748;20;179307;6,2372
12/10/2023;5,80;6,66;5,00;6,66;6,66;134273;75;749390;5,5811
11/10/2023;5,88;6,12;5,88;6,00;6,00;19453;13;116991;6,0140
10/10/2023;5,98;6,00;5,82;5,88;5,88;24696;16;146359;5,9264
09/10/2023;6,20;6,20;5,86;6,00;6,00;37393;19;226330;6,0527
06/10/2023;6,10;6,58;6,10;6,16;6,16;29310;22;185945;6,3441
05/10/2023;6,30;6,30;6,30;6,30;6,30;2732;7;17212;6,3000
04/10/2023;6,70;6,70;6,00;6,38;6,38;23681;22;143974;6,0797
03/10/2023;6,52;6,70;6,48;6,66;6,66;27001;14;176760;6,5464
02/10/2023;6,38;6,54;6,02;6,54;6,54;11067;14;70793;6,3967
29/09/2023;6,00;6,68;6,00;6,38;6,38;28493;23;173578;6,0920
28/09/2023;5,80;6,18;5,80;6,08;6,08;11619;18;68913;5,9311
27/09/2023;6,10;6,38;5,90;6,38;6,38;50110;47;306785;6,1222
26/09/2023;6,20;6,30;5,74;6,24;6,24;87920;44;524222;5,9625
25/09/2023;6,20;6,74;6,00;6,58;6,58;19827;37;127260;6,4185
22/09/2023;6,32;6,50;6,20;6,20;6,20;27058;19;170933;6,3173
21/09/2023;6,50;6,50;6,24;6,48;6,48;35967;21;228184;6,3442
