"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003078800
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;152,20;154,80;151,60;152,10;152,10;554541;12124;85028727;153,3317
03/11/2023;153,60;157,00;151,40;151,80;151,80;528392;2375;81313124;153,8879
02/11/2023;153,00;154,20;150,90;153,00;153,00;762633;1492;116456464;152,7032
01/11/2023;153,40;154,90;152,10;154,30;154,30;555103;2375;85387822;153,8234
31/10/2023;151,70;153,80;150,40;152,20;152,20;557460;1255;84911039;152,3177
30/10/2023;149,50;153,90;149,50;151,70;151,70;775013;2672;118004860;152,2618
27/10/2023;143,80;152,20;143,80;147,90;147,90;1349934;4181;200123273;148,2467
26/10/2023;139,00;146,90;138,30;143,60;143,60;1224940;4440;175566100;143,3263
25/10/2023;140,20;142,30;137,80;137,80;137,80;479197;1025;66671664;139,1321
24/10/2023;138,10;141,60;138,10;140,80;140,80;689549;1114;97091190;140,8039
23/10/2023;140,10;142,00;137,10;138,00;138,00;815101;1669;113461014;139,1987
20/10/2023;141,60;142,80;138,50;140,60;140,60;1001832;2010;140539773;140,2828
19/10/2023;143,00;143,40;140,80;141,60;141,60;1524602;2338;216319876;141,8861
18/10/2023;144,80;145,50;141,00;145,50;145,50;951073;1515;136967588;144,0137
17/10/2023;144,90;146,40;142,20;143,90;143,90;405242;1133;58470803;144,2861
16/10/2023;147,20;148,40;144,30;145,30;145,30;767809;2215;111916381;145,7607
13/10/2023;146,00;148,40;145,20;148,30;148,30;841431;2719;124287104;147,7092
12/10/2023;142,00;147,50;140,60;146,70;146,70;763829;1918;111326164;145,7475
11/10/2023;140,60;142,50;138,00;141,70;141,70;1140688;2786;159835757;140,1222
10/10/2023;142,50;145,50;140,30;141,00;141,00;1816812;4466;258211087;142,1232
09/10/2023;142,50;150,00;142,50;147,90;147,90;1949634;4665;286594986;146,9994
06/10/2023;136,00;137,80;133,80;136,70;136,70;521422;1303;71093374;136,3452
05/10/2023;140,50;140,70;133,60;135,80;135,80;906458;5359;123531902;136,2798
04/10/2023;142,60;144,20;141,20;141,20;141,20;608130;1280;86665133;142,5109
03/10/2023;145,30;145,90;142,90;143,50;143,50;678765;2287;97766463;144,0358
02/10/2023;149,40;150,50;147,20;147,40;147,40;1095446;2127;162600481;148,4331
29/09/2023;146,30;149,30;145,40;146,60;146,60;809649;2755;119124908;147,1315
28/09/2023;145,00;147,10;142,60;145,80;145,80;932196;6107;135053603;144,8768
27/09/2023;144,20;145,00;141,90;142,70;142,70;636220;1733;90963537;142,9750
26/09/2023;142,30;144,50;138,70;143,40;143,40;873734;3004;123917508;141,8252
25/09/2023;145,40;145,40;140,50;142,30;142,30;786907;2753;112145638;142,5145
22/09/2023;145,60;147,00;143,40;145,80;145,80;644059;2551;93623183;145,3643
21/09/2023;151,00;151,00;146,00;147,50;147,50;752059;2863;111289590;147,9799
