"Historical Data"
"From 2021-11-08 to 2023-11-07"
NL00150001S5
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;9,00;9,00;8,10;8,60;8,60;4377;14;36229;8,2772
03/11/2023;8,90;8,90;8,00;8,50;8,50;46696;16;383770;8,2185
02/11/2023;8,90;8,90;7,90;7,90;7,90;5640;12;46107;8,1750
01/11/2023;8,20;8,30;8,20;8,20;8,20;105368;14;864022;8,2000
31/10/2023;7,90;8,30;7,90;8,30;8,30;3882;8;31687;8,1627
30/10/2023;8,30;8,30;8,30;8,30;8,30;44;1;365;8,3000
27/10/2023;8,90;8,90;8,40;8,40;8,40;707;6;5976;8,4530
26/10/2023;8,88;8,88;8,00;8,30;8,30;11627;14;94007;8,0853
25/10/2023;8,22;8,90;8,22;8,88;8,88;4637;8;39500;8,5183
24/10/2023;8,90;8,90;8,90;8,90;8,90;1648;5;14667;8,9000
23/10/2023;8,20;8,20;8,20;8,20;8,20;395;6;3239;8,2000
20/10/2023;8,20;8,20;7,60;8,20;8,20;3378;6;27650;8,1853
19/10/2023;8,10;8,10;8,10;8,10;8,10;1375;4;11138;8,1000
18/10/2023;8,20;8,20;7,96;8,20;8,20;490;7;3946;8,0531
17/10/2023;0,00;0,00;0,00;0,00;8,20;0;0;0;0,0000
16/10/2023;8,20;8,20;8,00;8,20;8,20;33582;9;275328;8,1987
13/10/2023;8,10;8,20;8,10;8,20;8,20;6714;13;55045;8,1985
12/10/2023;8,88;8,88;8,02;8,20;8,20;37793;26;309672;8,1939
11/10/2023;8,00;8,50;7,98;8,50;8,50;42769;16;343131;8,0229
10/10/2023;8,30;8,30;8,10;8,10;8,10;92;6;755;8,2065
09/10/2023;7,52;8,30;7,52;7,66;7,66;5634;15;45116;8,0078
06/10/2023;8,30;8,30;7,80;7,80;7,80;753;3;6248;8,2980
05/10/2023;8,30;8,30;8,30;8,30;8,30;22;1;183;8,3000
04/10/2023;7,54;8,08;7,54;8,08;8,08;762;3;5752;7,5485
03/10/2023;7,62;8,28;7,60;8,28;8,28;4875;9;37779;7,7496
02/10/2023;7,98;8,18;7,70;7,98;7,98;12539;20;97690;7,7909
