"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012470089
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;93,58;94,62;92,02;92,02;92,02;413772;1261;38317626;92,6057
03/11/2023;92,34;93,34;89,96;92,44;92,44;655853;1776;60378278;92,0607
02/11/2023;88,36;92,94;87,94;92,22;92,22;566476;2085;51949211;91,7059
01/11/2023;87,22;88,10;85,62;87,22;87,22;556216;1520;48417726;87,0484
31/10/2023;85,66;88,74;85,30;88,30;88,30;770613;1815;67806131;87,9899
30/10/2023;86,38;87,50;84,16;85,22;85,22;527284;1487;45210499;85,7422
27/10/2023;85,00;86,26;83,70;86,00;86,00;483686;1578;41304038;85,3943
26/10/2023;80,88;85,60;80,68;85,12;85,12;603337;2018;50644999;83,9415
25/10/2023;85,78;86,98;81,26;81,78;81,78;757327;2458;62911602;83,0706
24/10/2023;86,48;87,90;84,90;85,30;85,30;853826;2877;73454459;86,0298
23/10/2023;85,50;86,90;84,00;84,38;84,38;1577046;5346;134201757;85,0969
20/10/2023;97,64;97,96;85,00;85,50;85,50;3204573;10071;288340808;89,9779
19/10/2023;105,80;111,70;105,80;110,45;110,45;306424;1032;33718996;110,0403
18/10/2023;108,45;109,30;107,80;108,20;108,20;431255;1184;46786190;108,4885
17/10/2023;111,80;112,60;108,85;109,20;109,20;481539;1050;52851824;109,7561
16/10/2023;110,00;111,80;109,00;111,75;111,75;395385;1195;43910377;111,0573
13/10/2023;115,10;116,90;110,15;111,60;111,60;995975;2759;111715366;112,1668
12/10/2023;120,85;122,25;117,50;118,35;118,35;544886;1381;64906524;119,1195
11/10/2023;120,05;122,10;118,60;119,90;119,90;446780;1101;53724467;120,2481
10/10/2023;120,35;122,70;120,05;121,00;121,00;475930;1442;57642763;121,1161
09/10/2023;120,30;120,85;118,20;120,00;120,00;664465;1717;79622011;119,8288
06/10/2023;117,25;120,90;116,85;120,85;120,85;487827;1728;58537930;119,9973
05/10/2023;114,80;118,05;114,80;116,15;116,15;570539;1296;66332588;116,2630
04/10/2023;110,30;115,35;109,20;115,15;115,15;828793;1926;94913633;114,5203
03/10/2023;112,60;113,00;105,55;112,15;112,15;1811234;5783;199688989;110,2502
02/10/2023;121,05;124,20;117,30;117,30;117,30;1399496;2428;167045633;119,3613
29/09/2023;125,05;125,60;121,75;122,15;122,15;874207;2234;107439685;122,8996
28/09/2023;123,65;123,80;122,05;122,90;122,90;495965;1260;60982625;122,9575
27/09/2023;124,75;125,45;123,55;123,60;123,60;704268;1235;87711819;124,5432
26/09/2023;126,15;126,75;124,40;124,75;124,75;358456;1352;44942865;125,3790
25/09/2023;130,30;131,00;126,10;126,75;126,75;512276;1496;65231289;127,3362
22/09/2023;129,80;131,40;129,60;130,75;130,75;316182;949;41330875;130,7186
