"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006001205
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;193,00;195,00;193,00;194,00;194,00;1132;9;218489;193,0115
03/11/2023;195,00;195,00;195,00;195,00;195,00;34;1;6630;195,0000
02/11/2023;197,00;197,00;193,00;193,00;193,00;363;4;70599;194,4876
01/11/2023;197,00;198,00;193,00;193,00;193,00;61;4;12011;196,9016
31/10/2023;197,00;197,00;197,00;197,00;197,00;27;2;5319;197,0000
30/10/2023;195,00;195,00;195,00;195,00;195,00;239;6;46605;195,0000
27/10/2023;197,00;198,00;197,00;197,00;197,00;56;3;11033;197,0179
26/10/2023;197,00;198,00;193,00;193,00;193,00;1358;16;268818;197,9514
25/10/2023;196,00;196,00;196,00;196,00;196,00;13441;2;2607614;194,0045
24/10/2023;197,00;197,00;197,00;197,00;197,00;26;1;5122;197,0000
23/10/2023;195,00;195,00;194,00;194,00;194,00;88;3;17159;194,9886
20/10/2023;196,00;197,00;192,00;192,00;192,00;1459;6;280792;192,4551
19/10/2023;198,00;198,00;196,00;196,00;196,00;422;9;83227;197,2204
18/10/2023;193,00;197,00;193,00;197,00;197,00;91;3;17693;194,4286
17/10/2023;195,00;195,00;195,00;195,00;195,00;21;3;4095;195,0000
16/10/2023;195,00;195,00;194,00;194,00;194,00;302;2;58862;194,9073
13/10/2023;196,00;197,00;195,00;197,00;197,00;702;5;137024;195,1909
12/10/2023;198,00;198,00;197,00;197,00;197,00;1307;12;258784;197,9985
11/10/2023;198,00;198,00;198,00;198,00;198,00;125;1;24750;198,0000
10/10/2023;198,00;198,00;198,00;198,00;198,00;35;1;6930;198,0000
09/10/2023;195,00;198,00;195,00;198,00;198,00;383;4;74985;195,7833
06/10/2023;196,00;196,00;194,00;195,00;195,00;933;7;181684;194,7310
05/10/2023;196,00;196,00;196,00;196,00;196,00;18;1;3528;196,0000
04/10/2023;197,00;197,00;195,00;196,00;196,00;410;4;80330;195,9268
03/10/2023;199,00;199,00;199,00;199,00;199,00;10;1;1990;199,0000
02/10/2023;198,00;199,00;197,00;197,00;197,00;238;6;47118;197,9748
29/09/2023;196,00;198,00;186,00;198,00;198,00;3290;19;636707;193,5280
28/09/2023;197,00;197,00;195,00;195,00;195,00;505;3;99009;196,0574
27/09/2023;197,00;197,00;197,00;197,00;197,00;58;4;11426;197,0000
26/09/2023;198,00;198,00;198,00;198,00;198,00;146;2;28908;198,0000
25/09/2023;202,00;202,00;199,00;199,00;199,00;142;5;28598;201,3944
22/09/2023;200,00;202,00;199,00;202,00;202,00;415;5;82955;199,8916
21/09/2023;198,00;198,00;198,00;198,00;198,00;54;1;10692;198,0000
20/09/2023;197,00;200,00;197,00;200,00;200,00;317;4;63295;199,6688
19/09/2023;196,00;198,00;195,00;196,00;196,00;270;5;52899;195,9222
18/09/2023;197,00;197,00;196,00;196,00;196,00;42;5;8270;196,9048
15/09/2023;196,00;200,00;196,00;197,00;197,00;20918;12;4080666;195,0792
14/09/2023;196,00;196,00;196,00;196,00;196,00;121;3;23716;196,0000
13/09/2023;194,00;200,00;194,00;196,00;196,00;402;11;78188;194,4975
12/09/2023;199,00;199,00;194,00;194,00;194,00;205;9;40286;196,5171
11/09/2023;202,00;202,00;199,00;199,00;199,00;69;5;13765;199,4928
08/09/2023;197,00;200,00;197,00;200,00;200,00;237;3;46770;197,3418
07/09/2023;196,00;199,00;196,00;197,00;197,00;108;8;21287;197,1019
06/09/2023;200,00;200,00;197,00;197,00;197,00;285;8;56475;198,1579
05/09/2023;0,00;0,00;0,00;0,00;200,00;0;0;0;0,0000
04/09/2023;200,00;200,00;196,00;200,00;200,00;439;5;87474;199,2574
01/09/2023;202,00;202,00;196,00;200,00;200,00;1772;10;348574;196,7122
31/08/2023;202,00;202,00;202,00;202,00;202,00;2159;8;436118;202,0000
30/08/2023;202,00;202,00;202,00;202,00;202,00;15;1;3030;202,0000
29/08/2023;202,00;202,00;202,00;202,00;202,00;110;1;22220;202,0000
28/08/2023;200,00;202,00;200,00;202,00;202,00;52;4;10500;201,9231
25/08/2023;198,00;202,00;198,00;202,00;202,00;37;3;7426;200,7027
24/08/2023;200,00;200,00;198,00;198,00;198,00;477;5;94988;199,1363
23/08/2023;204,00;204,00;200,00;200,00;200,00;1037;7;207516;200,1119
22/08/2023;204,00;204,00;204,00;204,00;204,00;188;3;38352;204,0000
21/08/2023;204,00;204,00;204,00;204,00;204,00;34;3;6936;204,0000
18/08/2023;204,00;204,00;204,00;204,00;204,00;89;3;18156;204,0000
17/08/2023;200,00;200,00;200,00;200,00;200,00;4066;3;813200;200,0000
16/08/2023;206,00;206,00;200,00;200,00;200,00;676;8;136682;202,1923
15/08/2023;202,00;204,00;202,00;204,00;204,00;73;2;14766;202,2740
14/08/2023;208,00;208,00;208,00;208,00;208,00;43;3;8944;208,0000
11/08/2023;202,00;208,00;202,00;206,00;206,00;199;10;40526;203,6482
10/08/2023;202,00;204,00;202,00;204,00;204,00;377;9;76190;202,0955
09/08/2023;202,00;202,00;202,00;202,00;202,00;143;3;28886;202,0000
08/08/2023;200,00;200,00;200,00;200,00;200,00;42;3;8400;200,0000
07/08/2023;200,00;200,00;200,00;200,00;200,00;185;3;37000;200,0000
04/08/2023;200,00;200,00;200,00;200,00;200,00;1;1;200;200,0000
