"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010731615
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;115,00;115,00;115,00;115,00;115,00;143;1;16445;115,0000
03/11/2023;109,00;116,00;109,00;116,00;116,00;730;4;82005;112,3356
02/11/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
01/11/2023;107,00;107,00;107,00;107,00;107,00;8;1;856;107,0000
31/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
30/10/2023;107,00;107,00;107,00;107,00;107,00;8;1;856;107,0000
27/10/2023;109,00;109,00;109,00;109,00;109,00;92;1;10028;109,0000
26/10/2023;109,00;109,00;109,00;109,00;109,00;1;1;109;109,0000
25/10/2023;107,00;107,00;107,00;107,00;107,00;8;1;856;107,0000
24/10/2023;107,00;107,00;107,00;107,00;107,00;1;1;107;107,0000
23/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
20/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
17/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
16/10/2023;107,00;107,00;106,00;107,00;107,00;368;3;39368;106,9783
13/10/2023;107,00;107,00;107,00;107,00;107,00;244;3;26108;107,0000
12/10/2023;107,00;107,00;107,00;107,00;107,00;59;1;6313;107,0000
11/10/2023;108,00;108,00;107,00;107,00;107,00;190;3;20470;107,7368
10/10/2023;109,00;109,00;109,00;109,00;109,00;50;1;5450;109,0000
09/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
06/10/2023;107,00;107,00;107,00;107,00;107,00;9;1;963;107,0000
05/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;107,00;0;0;0;0,0000
03/10/2023;107,00;107,00;107,00;107,00;107,00;6;1;642;107,0000
02/10/2023;107,00;107,00;107,00;107,00;107,00;60;1;6420;107,0000
29/09/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
28/09/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
27/09/2023;109,00;109,00;109,00;109,00;109,00;10;1;1090;109,0000
26/09/2023;108,00;108,00;103,00;103,00;103,00;14869;11;1578694;106,1735
25/09/2023;108,00;108,00;108,00;108,00;108,00;555;2;59940;108,0000
22/09/2023;0,00;0,00;0,00;0,00;108,00;0;0;0;0,0000
21/09/2023;108,00;108,00;108,00;108,00;108,00;470;5;50760;108,0000
20/09/2023;109,00;110,00;109,00;110,00;110,00;100;3;10950;109,5000
19/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
18/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
15/09/2023;110,00;110,00;110,00;110,00;110,00;8;2;880;110,0000
14/09/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
13/09/2023;109,00;109,00;109,00;109,00;109,00;99;2;10791;109,0000
12/09/2023;108,00;108,00;108,00;108,00;108,00;8;1;864;108,0000
11/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
08/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
07/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
06/09/2023;110,00;110,00;110,00;110,00;110,00;55;1;6050;110,0000
05/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
04/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
01/09/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
31/08/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
30/08/2023;109,00;110,00;109,00;110,00;110,00;130;3;14248;109,6000
29/08/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
28/08/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
25/08/2023;110,00;110,00;110,00;110,00;110,00;50;1;5500;110,0000
24/08/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
23/08/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
22/08/2023;109,00;109,00;109,00;109,00;109,00;235;3;25615;109,0000
21/08/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
18/08/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
17/08/2023;110,00;110,00;109,00;109,00;109,00;320;2;34930;109,1563
16/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
15/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
14/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
11/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
10/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
09/08/2023;111,00;111,00;111,00;111,00;111,00;61;1;6771;111,0000
08/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
07/08/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
04/08/2023;111,00;111,00;111,00;111,00;111,00;210;2;23310;111,0000
03/08/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
02/08/2023;110,00;110,00;110,00;110,00;110,00;200;2;22000;110,0000
01/08/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
31/07/2023;110,00;110,00;110,00;110,00;110,00;55;1;6050;110,0000
28/07/2023;110,00;111,00;110,00;111,00;111,00;291;3;32249;110,8213
27/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
26/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
25/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
24/07/2023;111,00;111,00;111,00;111,00;111,00;50;1;5550;111,0000
21/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
20/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
19/07/2023;111,00;111,00;111,00;111,00;111,00;50;1;5550;111,0000
18/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
17/07/2023;111,00;111,00;111,00;111,00;111,00;50;1;5550;111,0000
14/07/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
13/07/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
12/07/2023;110,00;110,00;110,00;110,00;110,00;220;2;24200;110,0000
11/07/2023;109,00;109,00;109,00;109,00;109,00;11;1;1199;109,0000
10/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
07/07/2023;0,00;0,00;0,00;0,00;111,00;0;0;0;0,0000
06/07/2023;110,00;111,00;110,00;111,00;111,00;135;2;14937;110,6444
05/07/2023;110,00;110,00;110,00;110,00;110,00;350;1;38500;110,0000
04/07/2023;109,00;109,00;109,00;109,00;109,00;21;1;2289;109,0000
03/07/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
30/06/2023;0,00;0,00;0,00;0,00;109,00;0;0;0;0,0000
29/06/2023;109,00;109,00;109,00;109,00;109,00;250;1;27250;109,0000
28/06/2023;109,00;109,00;109,00;109,00;109,00;2;1;218;109,0000
27/06/2023;0,00;0,00;0,00;0,00;110,00;0;0;0;0,0000
26/06/2023;110,00;110,00;110,00;110,00;110,00;250;1;27500;110,0000
