"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003055808
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,27;0,3085;0,2525;0,288;0,288;1098765;87;311465;0,2835
03/11/2023;0,24;0,269;0,24;0,267;0,267;500889;34;125983;0,2515
02/11/2023;0,22;0,27;0,215;0,26;0,26;1123191;55;283025;0,2520
01/11/2023;0,29;0,3185;0,247;0,26;0,26;968491;102;264114;0,2727
31/10/2023;0,271;0,34;0,241;0,29;0,29;2266576;247;673079;0,2970
30/10/2023;0,30;0,35;0,225;0,261;0,261;3316916;225;875415;0,2639
27/10/2023;0,43;0,4385;0,3915;0,4135;0,4135;361019;33;147944;0,4098
26/10/2023;0,4005;0,4385;0,4005;0,4385;0,4385;197197;14;82884;0,4203
25/10/2023;0,4035;0,4595;0,4035;0,444;0,444;154404;15;67155;0,4349
24/10/2023;0,406;0,45;0,406;0,43;0,43;67276;26;28680;0,4263
23/10/2023;0,4595;0,4595;0,3965;0,4315;0,4315;196994;32;81859;0,4155
20/10/2023;0,40;0,497;0,39;0,44;0,44;1662097;131;701190;0,4219
19/10/2023;0,417;0,4985;0,40;0,40;0,40;321578;38;136963;0,4259
18/10/2023;0,394;0,407;0,3905;0,407;0,407;139818;24;54925;0,3928
17/10/2023;0,46;0,46;0,3705;0,3935;0,3935;178461;31;72897;0,4085
16/10/2023;0,432;0,48;0,431;0,4595;0,4595;44200;22;19124;0,4327
13/10/2023;0,4305;0,48;0,4305;0,45;0,45;11373;12;5116;0,4499
12/10/2023;0,4305;0,497;0,43;0,483;0,483;256461;33;122735;0,4786
11/10/2023;0,4215;0,454;0,4215;0,4505;0,4505;74872;25;32527;0,4344
10/10/2023;0,4975;0,4975;0,4205;0,454;0,454;32972;15;14819;0,4494
09/10/2023;0,45;0,4975;0,42;0,46;0,46;172370;27;75240;0,4365
06/10/2023;0,4845;0,4845;0,45;0,45;0,45;1382;5;630;0,4557
05/10/2023;0,498;0,498;0,4215;0,4375;0,4375;56664;23;25792;0,4552
04/10/2023;0,4605;0,498;0,42;0,4295;0,4295;628701;63;277028;0,4406
03/10/2023;0,498;0,498;0,4695;0,4695;0,4695;62366;5;29433;0,4719
02/10/2023;0,478;0,478;0,46;0,46;0,46;66475;16;30938;0,4654
29/09/2023;0,498;0,498;0,4525;0,485;0,485;61128;28;28559;0,4672
28/09/2023;0,519;0,519;0,48;0,48;0,48;4420;4;2177;0,4924
27/09/2023;0,4995;0,4995;0,4615;0,48;0,48;193177;27;91235;0,4723
26/09/2023;0,50;0,50;0,47;0,4995;0,4995;10480;7;4966;0,4738
25/09/2023;0,47;0,56;0,4635;0,4845;0,4845;54136;22;27031;0,4993
22/09/2023;0,56;0,56;0,4615;0,481;0,481;59865;30;28395;0,4743
21/09/2023;0,4505;0,50;0,45;0,47;0,47;309708;35;145398;0,4695
20/09/2023;0,521;0,56;0,4515;0,4815;0,4815;610770;67;301814;0,4942
19/09/2023;0,524;0,58;0,519;0,545;0,545;125670;24;66377;0,5282
18/09/2023;0,531;0,60;0,525;0,56;0,56;69505;24;37327;0,5370
15/09/2023;0,521;0,57;0,521;0,57;0,57;142191;25;77533;0,5453
14/09/2023;0,55;0,55;0,52;0,53;0,53;276632;41;149777;0,5414
13/09/2023;0,60;0,60;0,551;0,551;0,551;333264;39;188598;0,5659
12/09/2023;0,64;0,64;0,56;0,585;0,585;191615;48;110377;0,5760
11/09/2023;0,57;0,699;0,57;0,615;0,615;67106;35;40075;0,5972
08/09/2023;0,584;0,584;0,56;0,584;0,584;230156;23;130778;0,5682
07/09/2023;0,59;0,59;0,55;0,583;0,583;299799;27;169892;0,5667
06/09/2023;0,576;0,61;0,56;0,597;0,597;308891;25;182148;0,5897
05/09/2023;0,56;0,597;0,56;0,597;0,597;78050;12;45051;0,5772
04/09/2023;0,56;0,598;0,56;0,589;0,589;118454;23;68842;0,5812
01/09/2023;0,64;0,64;0,588;0,60;0,60;283474;39;169451;0,5978
31/08/2023;0,601;0,66;0,502;0,61;0,61;498966;61;286153;0,5735
30/08/2023;0,60;0,659;0,594;0,606;0,606;186021;25;118450;0,6368
29/08/2023;0,654;0,708;0,60;0,605;0,605;647293;89;401216;0,6198
28/08/2023;0,67;0,714;0,67;0,714;0,714;10135;6;6887;0,6795
25/08/2023;0,72;0,72;0,646;0,694;0,694;45468;16;30421;0,6691
24/08/2023;0,668;0,69;0,652;0,688;0,688;41532;12;27668;0,6662
23/08/2023;0,653;0,709;0,653;0,707;0,707;66770;14;44520;0,6668
22/08/2023;0,698;0,707;0,656;0,687;0,687;29045;10;19610;0,6752
21/08/2023;0,653;0,699;0,65;0,689;0,689;70669;28;47438;0,6713
18/08/2023;0,67;0,709;0,666;0,702;0,702;37873;18;25391;0,6704
17/08/2023;0,691;0,711;0,68;0,709;0,709;146108;13;100297;0,6865
16/08/2023;0,704;0,72;0,702;0,709;0,709;640021;38;454128;0,7096
15/08/2023;0,70;0,709;0,691;0,695;0,695;115527;15;81064;0,7017
14/08/2023;0,718;0,718;0,699;0,70;0,70;166033;16;116188;0,6998
11/08/2023;0,69;0,715;0,69;0,70;0,70;234061;17;162871;0,6958
10/08/2023;0,70;0,71;0,70;0,71;0,71;85770;11;60359;0,7037
09/08/2023;0,701;0,711;0,701;0,711;0,711;18667;3;13228;0,7086
08/08/2023;0,69;0,714;0,69;0,711;0,711;260021;19;184214;0,7085
07/08/2023;0,712;0,718;0,69;0,718;0,718;246423;30;171651;0,6966
04/08/2023;0,712;0,715;0,712;0,715;0,715;17213;4;12266;0,7126
03/08/2023;0,71;0,72;0,71;0,711;0,711;89318;12;64077;0,7174
02/08/2023;0,715;0,719;0,707;0,719;0,719;77686;11;55487;0,7142
01/08/2023;0,72;0,72;0,71;0,72;0,72;168035;13;120288;0,7159
31/07/2023;0,705;0,72;0,705;0,72;0,72;437913;35;314429;0,7180
28/07/2023;0,70;0,719;0,70;0,708;0,708;89107;13;63222;0,7095
27/07/2023;0,71;0,735;0,701;0,735;0,735;63261;15;44976;0,7110
26/07/2023;0,711;0,734;0,71;0,731;0,731;162756;26;118107;0,7257
25/07/2023;0,70;0,725;0,70;0,707;0,707;44235;16;31690;0,7164
24/07/2023;0,702;0,719;0,70;0,70;0,70;90803;17;64541;0,7108
21/07/2023;0,74;0,74;0,702;0,704;0,704;103846;18;74388;0,7163
20/07/2023;0,77;0,77;0,70;0,72;0,72;109388;23;78750;0,7199
19/07/2023;0,738;0,738;0,701;0,729;0,729;127033;20;89260;0,7027
18/07/2023;0,78;0,78;0,704;0,709;0,709;483397;51;349866;0,7238
17/07/2023;0,74;0,74;0,712;0,713;0,713;145169;30;104878;0,7225
14/07/2023;0,70;0,78;0,699;0,712;0,712;505333;82;366138;0,7245
13/07/2023;0,681;0,714;0,681;0,691;0,691;34312;9;23683;0,6902
12/07/2023;0,69;0,726;0,674;0,714;0,714;49175;12;35028;0,7123
11/07/2023;0,685;0,726;0,685;0,69;0,69;63522;14;45536;0,7169
10/07/2023;0,68;0,70;0,675;0,70;0,70;38072;13;25836;0,6786
07/07/2023;0,72;0,732;0,673;0,71;0,71;99768;29;68337;0,6850
06/07/2023;0,753;0,753;0,729;0,729;0,729;83888;10;61340;0,7312
05/07/2023;0,675;0,744;0,675;0,70;0,70;145654;35;102897;0,7064
04/07/2023;0,667;0,744;0,667;0,701;0,701;26207;17;18383;0,7014
03/07/2023;0,681;0,711;0,667;0,711;0,711;45067;19;30482;0,6764
30/06/2023;0,668;0,734;0,668;0,70;0,70;185173;44;130396;0,7042
29/06/2023;0,75;0,75;0,71;0,728;0,728;203294;53;149174;0,7338
28/06/2023;0,743;0,743;0,717;0,717;0,717;3486;3;2513;0,7209
27/06/2023;0,75;0,75;0,682;0,727;0,727;45476;16;31595;0,6948
26/06/2023;0,692;0,75;0,681;0,748;0,748;88041;23;61465;0,6981
23/06/2023;0,69;0,749;0,69;0,719;0,719;71770;23;53016;0,7387
22/06/2023;0,681;0,749;0,677;0,69;0,69;45441;24;31427;0,6916
21/06/2023;0,749;0,749;0,677;0,719;0,719;124945;34;87045;0,6967
20/06/2023;0,745;0,745;0,683;0,729;0,729;68908;18;49207;0,7141
19/06/2023;0,73;0,74;0,681;0,73;0,73;66675;28;46449;0,6966
16/06/2023;0,72;0,739;0,68;0,724;0,724;7495;15;5246;0,7000
15/06/2023;0,698;0,748;0,67;0,72;0,72;129840;32;92018;0,7087
14/06/2023;0,699;0,70;0,664;0,698;0,698;80255;24;55442;0,6908
13/06/2023;0,689;0,73;0,65;0,699;0,699;371793;65;254159;0,6836
12/06/2023;0,73;0,771;0,666;0,672;0,672;604902;141;416237;0,6881
09/06/2023;0,73;0,768;0,722;0,73;0,73;85053;29;62749;0,7378
08/06/2023;0,765;0,765;0,68;0,738;0,738;74896;42;55275;0,7380
07/06/2023;0,67;0,78;0,67;0,777;0,777;322499;43;235683;0,7308
06/06/2023;0,779;0,779;0,68;0,712;0,712;291539;49;202928;0,6961
05/06/2023;0,786;0,786;0,695;0,763;0,763;29746;22;21177;0,7119
02/06/2023;0,67;0,775;0,67;0,739;0,739;439948;83;308610;0,7015
01/06/2023;0,677;0,699;0,655;0,679;0,679;390121;45;261067;0,6692
31/05/2023;0,768;0,768;0,69;0,707;0,707;371053;56;261184;0,7039
30/05/2023;0,77;0,77;0,70;0,735;0,735;29863;31;22126;0,7409
29/05/2023;0,00;0,00;0,00;0,00;0,74;0;0;0;0,0000
26/05/2023;0,724;0,789;0,70;0,74;0,74;203986;45;146142;0,7164
25/05/2023;0,76;0,769;0,719;0,72;0,72;382523;51;279166;0,7298
24/05/2023;0,779;0,796;0,72;0,76;0,76;257401;47;189342;0,7356
23/05/2023;0,78;0,794;0,715;0,76;0,76;377316;54;281420;0,7458
22/05/2023;0,76;0,799;0,725;0,756;0,756;715114;40;547272;0,7653
19/05/2023;0,83;0,83;0,77;0,802;0,802;33106;21;26411;0,7978
18/05/2023;0,00;0,00;0,00;0,00;0,83;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;0,83;0;0;0;0,0000
16/05/2023;0,797;0,83;0,702;0,83;0,83;216138;45;170308;0,7880
15/05/2023;0,731;0,877;0,722;0,798;0,798;130118;47;102876;0,7906
12/05/2023;0,714;0,761;0,714;0,731;0,731;274810;38;203025;0,7388
11/05/2023;0,77;0,789;0,704;0,75;0,75;491251;68;373286;0,7599
10/05/2023;0,81;0,81;0,761;0,789;0,789;230688;33;178572;0,7741
09/05/2023;0,795;0,824;0,761;0,799;0,799;316557;37;249222;0,7873
08/05/2023;0,81;0,833;0,79;0,822;0,822;134028;26;107244;0,8002
05/05/2023;0,815;0,833;0,81;0,833;0,833;61545;17;50309;0,8174
