"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010734122
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;23,50;23,50;22,90;23,10;23,10;13042;17;300778;23,0623
03/11/2023;23,00;23,00;22,70;22,80;22,80;105148;20;2402552;22,8492
02/11/2023;23,40;23,40;22,50;22,80;22,80;15597;20;357541;22,9237
01/11/2023;23,60;23,60;23,00;23,50;23,50;7096;13;166734;23,4969
31/10/2023;22,50;23,60;22,50;23,30;23,30;5750;18;132361;23,0192
30/10/2023;23,00;23,00;22,00;23,00;23,00;15211;22;341935;22,4795
27/10/2023;22,50;23,00;22,50;23,00;23,00;16572;19;373614;22,5449
26/10/2023;23,50;23,90;22,80;22,80;22,80;18792;38;432627;23,0219
25/10/2023;24,60;24,90;22,60;23,30;23,30;39610;65;953804;24,0799
24/10/2023;24,00;24,20;23,50;23,80;23,80;47273;33;1116706;23,6225
23/10/2023;22,60;24,00;22,60;23,50;23,50;9423;30;220317;23,3808
20/10/2023;23,90;24,00;22,80;23,50;23,50;2863;20;67219;23,4786
19/10/2023;23,50;23,70;23,00;23,70;23,70;4377;14;101624;23,2177
18/10/2023;24,00;24,10;23,10;23,70;23,70;10528;28;248272;23,5821
17/10/2023;24,00;24,00;22,90;23,60;23,60;33011;30;783762;23,7425
16/10/2023;24,00;24,00;22,40;23,50;23,50;76204;48;1737485;22,8004
13/10/2023;22,80;23,60;22,80;23,50;23,50;14761;34;340464;23,0651
12/10/2023;22,60;23,60;22,60;23,50;23,50;2505;11;58696;23,4315
11/10/2023;22,80;23,80;22,50;22,50;22,50;8689;19;200263;23,0479
10/10/2023;22,20;23,70;22,20;22,90;22,90;31948;32;736328;23,0477
09/10/2023;23,30;23,30;22,70;22,90;22,90;8376;24;192268;22,9546
06/10/2023;23,30;23,70;23,20;23,40;23,40;9275;11;215908;23,2785
05/10/2023;23,20;23,60;22,60;23,00;23,00;13887;29;321516;23,1523
04/10/2023;24,00;24,00;22,70;23,30;23,30;12792;27;295440;23,0956
03/10/2023;23,40;24,00;23,00;24,00;24,00;9578;24;223981;23,3849
02/10/2023;23,60;24,40;23,20;23,20;23,20;13744;35;323963;23,5712
29/09/2023;24,50;24,50;23,80;24,20;24,20;4956;27;119110;24,0335
28/09/2023;24,40;24,40;23,50;24,00;24,00;5955;27;143091;24,0286
27/09/2023;23,00;24,40;23,00;23,20;23,20;20158;42;473809;23,5048
26/09/2023;24,40;24,40;22,70;23,90;23,90;24960;60;586727;23,5067
25/09/2023;23,70;24,50;23,60;24,40;24,40;28127;34;673234;23,9355
22/09/2023;23,40;23,90;23,20;23,60;23,60;22413;30;530845;23,6847
21/09/2023;24,50;24,50;23,50;23,60;23,60;11702;40;279959;23,9241
20/09/2023;24,40;24,40;23,70;24,10;24,10;33230;60;801339;24,1149
19/09/2023;23,40;24,40;23,40;24,00;24,00;54681;109;1306738;23,8975
18/09/2023;23,40;23,40;22,80;22,80;22,80;104511;26;2454584;23,4864
15/09/2023;23,00;23,30;22,50;23,30;23,30;13416;31;305981;22,8072
14/09/2023;21,50;23,20;21,50;22,50;22,50;71099;58;1613173;22,6891
13/09/2023;23,00;23,00;21,60;22,10;22,10;6893;9;150058;21,7696
12/09/2023;22,30;22,70;21,50;22,70;22,70;21990;37;480257;21,8398
11/09/2023;21,10;22,10;21,10;22,10;22,10;60728;51;1313291;21,6258
08/09/2023;22,10;22,50;21,70;22,00;22,00;5061;17;111912;22,1125
07/09/2023;22,90;22,90;22,20;22,50;22,50;35636;47;797972;22,3923
06/09/2023;23,30;23,30;22,60;22,90;22,90;7616;34;173982;22,8442
05/09/2023;23,20;23,30;22,20;23,30;23,30;34320;57;781640;22,7751
04/09/2023;23,30;23,30;22,50;23,20;23,20;52854;37;1213989;22,9687
01/09/2023;22,00;23,20;21,80;22,80;22,80;8338;30;185416;22,2374
31/08/2023;23,40;23,40;22,10;22,10;22,10;17659;26;396853;22,4731
30/08/2023;22,00;23,40;21,40;23,20;23,20;110033;70;2480954;22,5474
29/08/2023;22,70;23,00;22,40;22,40;22,40;8889;14;199864;22,4844
28/08/2023;21,50;22,70;21,50;22,40;22,40;113681;96;2521155;22,1775
25/08/2023;21,00;21,50;21,00;21,00;21,00;249370;108;5241024;21,0171
24/08/2023;23,30;23,30;21,50;21,80;21,80;23561;45;515738;21,8895
23/08/2023;23,30;23,30;21,80;22,90;22,90;36251;46;815569;22,4978
22/08/2023;22,90;23,10;22,30;23,10;23,10;21191;30;484698;22,8728
21/08/2023;22,50;23,30;21,70;22,70;22,70;28276;44;631430;22,3310
18/08/2023;23,30;23,40;22,30;22,30;22,30;26224;48;596134;22,7324
17/08/2023;23,20;23,40;23,20;23,20;23,20;3552;16;82508;23,2286
16/08/2023;22,90;23,30;22,90;23,20;23,20;5561;22;128138;23,0422
15/08/2023;23,10;23,20;22,80;23,10;23,10;3832;15;88021;22,9701
14/08/2023;23,30;23,30;22,80;23,10;23,10;3408;15;77962;22,8762
11/08/2023;23,30;23,30;23,00;23,30;23,30;2403;10;55554;23,1186
10/08/2023;22,60;23,30;22,60;23,20;23,20;14143;32;324292;22,9295
09/08/2023;23,00;23,30;22,60;22,80;22,80;10623;18;244681;23,0332
08/08/2023;23,40;23,40;22,80;23,00;23,00;31650;28;727426;22,9835
07/08/2023;22,80;23,30;22,80;23,30;23,30;4006;12;91966;22,9571
04/08/2023;23,00;23,40;23,00;23,30;23,30;5183;15;120137;23,1790
03/08/2023;22,30;23,10;22,30;23,10;23,10;6155;14;140386;22,8084
02/08/2023;23,00;23,40;22,70;23,20;23,20;21486;59;494184;23,0003
01/08/2023;23,40;23,40;23,00;23,40;23,40;10464;34;242278;23,1534
31/07/2023;23,50;24,10;23,30;23,40;23,40;27463;27;651107;23,7085
28/07/2023;23,70;24,40;23,70;23,90;23,90;6434;26;154270;23,9773
27/07/2023;23,90;24,50;23,80;24,00;24,00;9431;34;226257;23,9907
26/07/2023;24,30;24,60;24,00;24,20;24,20;39368;63;961875;24,4329
25/07/2023;24,60;24,60;23,80;24,30;24,30;30085;53;724213;24,0722
24/07/2023;22,90;24,60;22,70;23,80;23,80;53369;103;1258825;23,5872
21/07/2023;22,60;23,00;22,60;22,70;22,70;3991;17;90648;22,7132
20/07/2023;22,80;22,80;22,10;22,50;22,50;6311;30;140883;22,3235
19/07/2023;22,90;22,90;22,60;22,90;22,90;708;6;16203;22,8860
18/07/2023;22,90;22,90;22,50;22,60;22,60;5283;36;120202;22,7525
17/07/2023;22,00;22,80;22,00;22,10;22,10;9453;40;211962;22,4227
14/07/2023;23,00;23,00;22,00;22,00;22,00;9933;41;222140;22,3639
13/07/2023;22,00;22,90;22,00;22,40;22,40;4559;19;103062;22,6063
12/07/2023;22,30;23,00;22,30;22,40;22,40;11101;31;251835;22,6858
11/07/2023;22,40;22,90;22,30;22,90;22,90;18010;28;405171;22,4970
10/07/2023;22,90;22,90;22,20;22,90;22,90;15472;46;348098;22,4986
07/07/2023;22,10;22,90;22,10;22,90;22,90;6665;24;149788;22,4738
06/07/2023;22,90;23,00;22,10;22,10;22,10;32737;28;744406;22,7390
05/07/2023;22,70;22,80;22,10;22,70;22,70;5624;26;126823;22,5502
04/07/2023;21,40;22,50;21,40;22,30;22,30;282236;60;6442578;22,8269
03/07/2023;22,30;22,30;20,90;21,80;21,80;11256;29;243459;21,6293
30/06/2023;22,30;22,60;22,30;22,30;22,30;2875;15;64337;22,3781
29/06/2023;21,70;22,60;21,50;22,30;22,30;14698;33;318833;21,6923
28/06/2023;22,40;22,40;21,10;21,10;21,10;17647;17;379755;21,5195
27/06/2023;23,10;23,10;21,00;21,70;21,70;60263;75;1298149;21,5414
26/06/2023;21,90;23,80;21,70;23,10;23,10;42597;49;956596;22,4569
23/06/2023;22,80;23,40;21,40;21,40;21,40;18829;40;428471;22,7559
22/06/2023;21,00;22,70;21,00;22,70;22,70;16334;38;354018;21,6737
21/06/2023;21,60;21,70;21,10;21,10;21,10;25819;40;555968;21,5333
20/06/2023;23,10;23,10;21,00;22,20;22,20;35597;46;786499;22,0945
19/06/2023;23,50;23,80;22,50;22,70;22,70;23116;48;538486;23,2950
16/06/2023;23,90;24,10;23,70;23,70;23,70;8684;17;206530;23,7828
15/06/2023;24,10;24,80;23,80;24,10;24,10;41223;54;990236;24,0214
14/06/2023;24,10;24,80;24,10;24,20;24,20;71501;62;1745626;24,4140
13/06/2023;24,50;24,90;24,10;24,30;24,30;9958;45;245967;24,7004
12/06/2023;24,50;25,00;24,00;24,10;24,10;26765;65;654418;24,4505
09/06/2023;25,00;25,00;24,00;24,20;24,20;38600;95;946880;24,5306
08/06/2023;25,00;25,00;23,60;24,70;24,70;17331;62;421464;24,3185
07/06/2023;24,20;24,80;23,90;24,70;24,70;42193;46;1030716;24,4286
06/06/2023;25,00;25,00;24,40;24,40;24,40;26382;45;652074;24,7166
05/06/2023;24,70;25,10;24,70;25,00;25,00;52918;63;1317688;24,9006
02/06/2023;24,50;24,70;23,70;24,30;24,30;301455;137;7374182;24,4620
01/06/2023;24,50;24,80;23,50;24,70;24,70;64613;116;1576799;24,4037
