"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011037483
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,40;2,40;2,21;2,39;2,39;507296;18;1190168;2,3461
03/11/2023;2,36;2,40;2,30;2,39;2,39;95626;18;228704;2,3917
02/11/2023;2,30;2,40;2,30;2,40;2,40;31220;22;74409;2,3834
01/11/2023;2,24;2,44;2,20;2,44;2,44;75700;31;171446;2,2648
31/10/2023;2,20;2,41;2,20;2,24;2,24;63063;18;149672;2,3734
30/10/2023;2,37;2,60;2,10;2,20;2,20;96677;34;225791;2,3355
27/10/2023;2,59;2,59;2,40;2,40;2,40;13854;7;34056;2,4582
26/10/2023;2,69;2,69;2,50;2,69;2,69;10052;13;25849;2,5716
25/10/2023;2,50;2,70;2,50;2,59;2,59;6990;15;18099;2,5893
24/10/2023;2,85;2,85;2,40;2,70;2,70;32399;13;83080;2,5643
23/10/2023;2,85;2,85;2,40;2,80;2,80;73345;30;183295;2,4991
20/10/2023;2,54;2,76;2,54;2,58;2,58;12894;10;34614;2,6845
19/10/2023;2,61;2,61;2,54;2,54;2,54;24541;11;63472;2,5864
18/10/2023;2,70;2,89;2,55;2,62;2,62;35418;21;92965;2,6248
17/10/2023;2,54;2,82;2,54;2,72;2,72;50291;26;137519;2,7345
16/10/2023;2,62;2,73;2,60;2,60;2,60;7404;15;19907;2,6886
13/10/2023;2,80;2,80;2,57;2,62;2,62;50999;24;135997;2,6667
12/10/2023;2,90;2,90;2,80;2,80;2,80;8253;13;23440;2,8402
11/10/2023;2,80;2,93;2,72;2,72;2,72;41607;20;115677;2,7802
10/10/2023;2,85;2,89;2,75;2,80;2,80;30786;16;85893;2,7900
09/10/2023;2,98;2,98;2,74;2,85;2,85;42928;26;120643;2,8104
06/10/2023;2,75;3,24;2,75;2,90;2,90;329054;107;993279;3,0186
05/10/2023;2,89;2,91;2,70;2,71;2,71;35260;19;97973;2,7786
04/10/2023;2,94;2,94;2,65;2,83;2,83;53866;29;145856;2,7078
03/10/2023;2,88;2,94;2,69;2,90;2,90;42879;20;122178;2,8494
02/10/2023;2,70;3,00;2,66;2,76;2,76;126070;51;356108;2,8247
29/09/2023;2,63;2,70;2,56;2,63;2,63;58406;32;153900;2,6350
28/09/2023;2,42;2,70;2,41;2,60;2,60;10169;14;25794;2,5365
27/09/2023;2,56;2,96;2,50;2,50;2,50;41071;25;105151;2,5602
26/09/2023;2,55;2,70;2,54;2,54;2,54;18445;18;48279;2,6175
25/09/2023;2,56;2,80;2,53;2,53;2,53;23459;14;61337;2,6146
22/09/2023;2,99;2,99;2,60;2,70;2,70;91535;38;250667;2,7385
21/09/2023;2,88;2,88;2,82;2,82;2,82;79705;9;225810;2,8331
20/09/2023;2,90;2,99;2,80;2,97;2,97;105171;25;306273;2,9121
19/09/2023;2,80;2,90;2,80;2,90;2,90;17954;10;50965;2,8386
18/09/2023;2,90;2,90;2,82;2,85;2,85;14280;13;41199;2,8851
15/09/2023;2,85;3,03;2,81;2,99;2,99;25080;16;71445;2,8487
14/09/2023;2,95;2,98;2,85;2,85;2,85;17075;13;49069;2,8737
13/09/2023;2,81;2,99;2,81;2,99;2,99;23071;12;67264;2,9155
12/09/2023;2,77;3,00;2,77;2,99;2,99;69182;28;204798;2,9603
11/09/2023;2,96;2,97;2,77;2,77;2,77;39079;26;111064;2,8420
08/09/2023;2,83;2,96;2,83;2,96;2,96;11848;7;33837;2,8559
07/09/2023;2,97;2,97;2,90;2,92;2,92;8381;5;24418;2,9135
06/09/2023;2,93;3,01;2,90;2,91;2,91;30636;16;89491;2,9211
05/09/2023;2,91;3,04;2,91;2,93;2,93;6312;9;18778;2,9749
04/09/2023;2,81;3,10;2,81;3,10;3,10;61353;40;184488;3,0070
01/09/2023;2,90;2,99;2,81;2,99;2,99;3160;9;9196;2,9100
31/08/2023;2,80;2,99;2,80;2,99;2,99;9777;15;27584;2,8213
30/08/2023;2,80;2,84;2,80;2,82;2,82;6455;8;18204;2,8202
29/08/2023;2,85;3,00;2,75;2,80;2,80;41727;21;117545;2,8170
28/08/2023;3,00;3,00;2,82;2,85;2,85;16672;14;48679;2,9198
25/08/2023;2,67;3,00;2,67;2,95;2,95;75464;31;219859;2,9134
24/08/2023;3,00;3,00;2,70;2,80;2,80;48328;23;135703;2,8080
23/08/2023;2,90;2,95;2,75;2,95;2,95;8500;3;24625;2,8971
22/08/2023;2,90;2,95;2,81;2,94;2,94;18360;15;53242;2,8999
21/08/2023;3,00;3,00;2,85;2,90;2,90;30022;16;88056;2,9331
18/08/2023;2,99;3,00;2,90;3,00;3,00;4446;8;13228;2,9753
17/08/2023;2,82;3,05;2,82;3,04;3,04;10176;13;30510;2,9982
16/08/2023;3,10;3,10;2,81;2,96;2,96;26136;21;77977;2,9835
15/08/2023;3,13;3,13;3,04;3,10;3,10;48029;21;148872;3,0996
14/08/2023;3,14;3,14;2,98;3,00;3,00;31413;14;96380;3,0682
11/08/2023;3,05;3,05;2,84;2,98;2,98;61409;22;178267;2,9029
10/08/2023;3,10;3,10;2,67;3,04;3,04;176828;47;509282;2,8801
