"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010708068
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;10,36;10,58;10,20;10,42;10,42;98677;62;1019176;10,3284
03/11/2023;10,60;10,60;10,40;10,40;10,40;91039;68;951592;10,4526
02/11/2023;10,30;10,44;10,18;10,42;10,42;130013;81;1340134;10,3077
01/11/2023;10,00;10,06;9,63;10,00;10,00;222248;131;2183508;9,8246
31/10/2023;9,40;9,82;9,15;9,52;9,52;338402;219;3205827;9,4734
30/10/2023;10,90;10,90;9,52;9,63;9,63;1358851;706;13577252;9,9917
27/10/2023;11,80;12,06;11,40;11,94;11,94;259822;178;3036976;11,6887
26/10/2023;12,58;12,74;11,94;12,00;12,00;320722;284;3915147;12,2073
25/10/2023;12,86;12,86;12,30;12,52;12,52;154179;170;1931958;12,5306
24/10/2023;12,50;12,88;12,50;12,86;12,86;65993;80;833656;12,6325
23/10/2023;13,02;13,18;12,30;12,58;12,58;177084;188;2234248;12,6169
20/10/2023;13,84;14,08;13,30;13,30;13,30;120732;121;1648448;13,6538
19/10/2023;13,80;14,00;13,80;13,84;13,84;28463;50;394790;13,8703
18/10/2023;14,18;14,20;13,88;14,10;14,10;39170;52;549139;14,0194
17/10/2023;14,18;14,28;13,84;14,24;14,24;39620;58;557254;14,0650
16/10/2023;14,00;14,38;13,82;13,96;13,96;41039;79;573827;13,9825
13/10/2023;14,12;14,48;13,96;14,22;14,22;46486;59;657128;14,1360
12/10/2023;14,04;14,48;13,94;14,44;14,44;117174;100;1664448;14,2049
11/10/2023;13,60;14,04;13,60;13,96;13,96;54263;59;753304;13,8825
10/10/2023;13,80;14,00;13,60;13,78;13,78;35851;95;494547;13,7945
09/10/2023;14,04;14,06;13,54;13,80;13,80;79970;94;1109971;13,8798
06/10/2023;14,04;14,04;13,60;13,72;13,72;42236;58;580106;13,7349
05/10/2023;13,60;14,02;13,60;13,78;13,78;19799;47;270819;13,6784
04/10/2023;13,80;13,82;13,64;13,78;13,78;63869;74;875662;13,7103
03/10/2023;14,10;14,48;13,82;13,98;13,98;39881;77;556655;13,9579
02/10/2023;14,30;14,72;14,18;14,24;14,24;214352;171;3099859;14,4615
29/09/2023;13,90;14,28;13,74;14,02;14,02;157843;157;2212875;14,0195
28/09/2023;13,68;13,98;13,30;13,30;13,30;75536;123;1027548;13,6034
27/09/2023;13,38;13,98;13,38;13,98;13,98;36301;47;498752;13,7393
26/09/2023;13,30;13,94;13,30;13,80;13,80;67855;99;929917;13,7045
25/09/2023;14,00;14,78;13,88;13,96;13,96;56490;87;790274;13,9896
22/09/2023;14,70;14,70;14,08;14,24;14,24;48181;69;687772;14,2748
21/09/2023;14,88;14,88;14,02;14,60;14,60;112825;130;1629739;14,4448
20/09/2023;14,50;14,86;14,26;14,60;14,60;152737;146;2221609;14,5453
19/09/2023;14,02;14,58;14,02;14,16;14,16;40490;70;578596;14,2898
18/09/2023;14,20;14,54;13,98;14,10;14,10;100232;103;1421672;14,1838
15/09/2023;13,42;14,44;13,42;13,96;13,96;61412;68;864484;14,0768
14/09/2023;13,34;14,04;13,22;13,96;13,96;113089;142;1536085;13,5830
13/09/2023;13,20;13,68;12,98;13,30;13,30;82034;124;1083254;13,2049
12/09/2023;13,74;13,74;13,02;13,22;13,22;28088;58;370209;13,1803
11/09/2023;13,10;13,62;13,10;13,12;13,12;49660;89;654692;13,1835
08/09/2023;13,30;13,30;12,92;13,08;13,08;68773;79;898326;13,0622
07/09/2023;13,90;13,90;13,12;13,40;13,40;24897;54;335430;13,4727
06/09/2023;13,00;13,98;13,00;13,50;13,50;32562;76;442901;13,6018
05/09/2023;13,96;13,98;13,70;13,74;13,74;25696;52;355314;13,8276
04/09/2023;13,36;13,98;13,02;13,90;13,90;94881;130;1294184;13,6401
01/09/2023;13,40;13,58;13,26;13,46;13,46;78071;92;1043627;13,3677
31/08/2023;13,34;13,48;13,00;13,48;13,48;131083;118;1736120;13,2444
30/08/2023;13,34;13,40;12,92;12,92;12,92;88492;93;1150877;13,0054
29/08/2023;13,14;13,54;12,88;13,22;13,22;266742;224;3540140;13,2718
28/08/2023;12,50;12,92;12,50;12,54;12,54;34338;57;436515;12,7123
25/08/2023;12,70;13,02;12,50;12,50;12,50;165400;148;2126195;12,8549
24/08/2023;13,00;13,38;12,00;12,78;12,78;632892;372;7942279;12,5492
23/08/2023;13,80;13,80;12,78;12,94;12,94;873812;650;11488904;13,1480
22/08/2023;15,78;15,78;14,90;15,12;15,12;161129;178;2438821;15,1358
21/08/2023;15,10;15,48;15,00;15,40;15,40;123885;126;1888404;15,2432
18/08/2023;15,00;15,38;14,74;15,00;15,00;156478;141;2340433;14,9569
17/08/2023;15,30;15,40;14,96;15,04;15,04;138389;106;2097402;15,1558
16/08/2023;15,70;15,70;15,00;15,30;15,30;121451;102;1850833;15,2393
15/08/2023;15,38;15,76;14,96;15,50;15,50;184987;182;2858649;15,4532
14/08/2023;14,14;14,86;14,14;14,70;14,70;143777;119;2092176;14,5515
11/08/2023;15,58;15,58;14,70;14,78;14,78;137475;133;2037595;14,8216
10/08/2023;15,08;15,26;14,92;15,00;15,00;82830;88;1244430;15,0239
09/08/2023;15,50;15,58;15,02;15,08;15,08;104827;118;1589285;15,1610
08/08/2023;15,50;16,42;14,82;15,02;15,02;575532;404;8711352;15,1362
07/08/2023;16,74;16,98;15,52;15,54;15,54;293383;335;4664726;15,8998
04/08/2023;16,80;17,00;16,68;16,68;16,68;102852;104;1727932;16,8002
03/08/2023;16,60;17,00;16,40;16,82;16,82;159661;134;2663500;16,6822
02/08/2023;17,10;17,28;16,68;16,78;16,78;158900;162;2692261;16,9431
01/08/2023;17,08;17,78;16,82;17,30;17,30;265560;248;4589539;17,2825
31/07/2023;17,80;17,80;17,04;17,24;17,24;136086;156;2346123;17,2400
28/07/2023;17,02;17,44;16,82;17,30;17,30;142868;173;2449093;17,1424
27/07/2023;16,52;17,44;16,50;17,02;17,02;350237;313;5958811;17,0137
26/07/2023;16,80;16,80;15,90;16,52;16,52;182862;176;2945318;16,1068
25/07/2023;16,80;16,80;16,18;16,20;16,20;184270;197;3027355;16,4289
24/07/2023;15,70;16,62;15,16;16,50;16,50;352646;281;5658498;16,0458
21/07/2023;15,38;15,62;15,00;15,14;15,14;165994;178;2522378;15,1956
20/07/2023;15,60;16,16;15,36;15,38;15,38;303636;328;4759441;15,6748
19/07/2023;14,08;15,60;14,08;15,60;15,60;333210;326;5012400;15,0428
18/07/2023;14,48;14,48;13,92;14,30;14,30;135800;140;1929995;14,2120
17/07/2023;14,00;14,64;13,88;14,40;14,40;404443;341;5784632;14,3027
14/07/2023;13,98;14,00;13,34;13,40;13,40;155436;119;2133731;13,7274
13/07/2023;13,94;14,00;13,76;14,00;14,00;118810;149;1654614;13,9266
12/07/2023;13,44;14,00;13,12;13,94;13,94;262038;251;3586936;13,6886
11/07/2023;12,80;13,18;12,80;13,08;13,08;97665;109;1270827;13,0121
10/07/2023;13,10;13,10;12,80;12,94;12,94;56361;77;726168;12,8842
07/07/2023;13,58;13,58;12,80;13,06;13,06;143729;129;1850141;12,8724
06/07/2023;13,00;13,08;12,76;12,90;12,90;148574;126;1909565;12,8526
05/07/2023;13,52;13,52;13,00;13,10;13,10;146486;131;1931039;13,1824
04/07/2023;12,96;13,74;12,96;13,58;13,58;160150;147;2155674;13,4603
03/07/2023;13,10;13,58;13,08;13,44;13,44;188148;143;2514284;13,3633
30/06/2023;13,20;13,40;12,76;13,02;13,02;500356;324;6546474;13,0836
29/06/2023;12,90;12,96;12,20;12,92;12,92;121962;119;1546270;12,6783
28/06/2023;11,80;12,26;11,48;12,24;12,24;178383;152;2142030;12,0080
27/06/2023;11,78;11,78;11,28;11,60;11,60;128524;111;1476660;11,4894
26/06/2023;11,64;11,86;11,28;11,38;11,38;371137;281;4241257;11,4277
23/06/2023;12,10;12,48;11,70;11,72;11,72;233280;195;2777563;11,9066
22/06/2023;12,60;12,64;12,16;12,28;12,28;103841;118;1281724;12,3431
21/06/2023;13,68;13,68;12,60;12,76;12,76;191252;167;2478685;12,9603
20/06/2023;13,10;13,36;12,96;13,36;13,36;62421;86;815857;13,0702
19/06/2023;13,50;13,50;13,04;13,30;13,30;152032;161;2010331;13,2231
16/06/2023;13,30;13,68;13,10;13,66;13,66;184395;214;2475985;13,4276
15/06/2023;13,10;13,66;13,06;13,34;13,34;359896;364;4793765;13,3199
14/06/2023;12,20;13,28;12,06;13,26;13,26;754434;404;9492696;12,5825
13/06/2023;12,20;12,28;12,00;12,16;12,16;135843;147;1648593;12,1360
12/06/2023;12,20;12,28;11,98;12,12;12,12;253445;248;3074215;12,1297
09/06/2023;11,80;12,30;11,80;12,10;12,10;173678;100;2086759;12,0151
08/06/2023;12,00;12,18;11,90;12,00;12,00;105713;122;1270350;12,0170
07/06/2023;11,80;12,26;11,70;12,08;12,08;79482;116;960059;12,0789
06/06/2023;11,92;11,94;11,80;11,80;11,80;52732;64;625190;11,8560
05/06/2023;12,36;12,60;11,86;11,90;11,90;217083;189;2640138;12,1619
02/06/2023;11,60;12,38;11,54;12,32;12,32;520457;424;6281726;12,0696
01/06/2023;11,00;11,56;10,84;11,36;11,36;274405;218;3048215;11,1085
31/05/2023;11,20;11,34;10,90;10,98;10,98;393451;285;4351845;11,0607
30/05/2023;11,52;11,70;11,24;11,42;11,42;177046;203;2024118;11,4327
29/05/2023;0,00;0,00;0,00;0,00;11,78;0;0;0;0,0000
26/05/2023;12,12;12,12;11,56;11,78;11,78;109267;131;1276062;11,6784
25/05/2023;12,16;12,46;11,58;11,60;11,60;349582;289;4155703;11,8876
24/05/2023;12,70;12,94;12,18;12,20;12,20;248526;207;3064548;12,3309
23/05/2023;12,44;12,68;12,18;12,60;12,60;295157;232;3678003;12,4612
22/05/2023;12,50;12,50;12,06;12,44;12,44;274986;231;3356058;12,2045
19/05/2023;12,40;12,74;12,28;12,52;12,52;244637;219;3042934;12,4386
18/05/2023;0,00;0,00;0,00;0,00;12,18;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;12,18;0;0;0;0,0000
16/05/2023;12,60;13,10;12,16;12,18;12,18;392058;262;4971960;12,6817
15/05/2023;12,50;12,92;12,30;12,60;12,60;519148;337;6562370;12,6407
12/05/2023;11,78;12,40;11,28;12,28;12,28;916234;604;10911096;11,9086
11/05/2023;11,00;11,38;11,00;11,30;11,30;554593;468;6232725;11,2384
10/05/2023;11,80;11,80;10,90;11,02;11,02;1215028;862;13527170;11,1332
09/05/2023;12,58;12,78;11,02;11,50;11,50;1540790;904;18017079;11,6934
08/05/2023;11,52;12,12;11,50;11,94;11,94;803645;422;9488104;11,8063
05/05/2023;11,16;11,48;10,88;11,40;11,40;342225;219;3843421;11,2307
04/05/2023;11,04;11,16;10,84;10,84;10,84;503295;276;5562691;11,0525
03/05/2023;11,30;11,30;10,84;11,04;11,04;260985;251;2886959;11,0618
02/05/2023;12,00;12,16;11,24;11,24;11,24;377462;266;4328774;11,4681
28/04/2023;13,20;13,20;11,88;11,98;11,98;768000;579;9407808;12,2498
27/04/2023;11,40;12,68;11,30;12,56;12,56;632758;478;7656459;12,1001
26/04/2023;11,00;11,42;10,62;11,34;11,34;694172;471;7625182;10,9846
25/04/2023;12,00;12,00;10,78;10,80;10,80;854477;624;9530223;11,1533
24/04/2023;13,18;13,18;12,14;12,16;12,16;234888;231;2894626;12,3234
21/04/2023;12,90;12,92;12,50;12,60;12,60;342415;260;4329142;12,6430
20/04/2023;13,22;13,22;12,82;12,90;12,90;80517;111;1042423;12,9466
19/04/2023;13,40;13,40;13,06;13,10;13,10;73985;83;974302;13,1689
18/04/2023;13,50;13,50;13,06;13,24;13,24;72475;113;957309;13,2088
17/04/2023;13,50;13,50;13,12;13,30;13,30;74406;98;991428;13,3246
