"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011202772
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;36,02;36,62;36,01;36,27;36,27;1908171;1578;69472095;36,4077
03/11/2023;37,35;37,47;35,86;36,19;36,19;4837888;3694;177046118;36,5957
02/11/2023;37,65;38,35;37,41;38,13;38,13;5412543;3045;205575907;37,9814
01/11/2023;37,36;37,83;36,69;37,77;37,77;4006388;2869;149369727;37,2829
31/10/2023;37,40;37,63;37,20;37,63;37,63;3209314;2221;120187792;37,4497
30/10/2023;37,04;37,90;36,90;37,28;37,28;3125089;2180;117148276;37,4864
27/10/2023;37,04;37,21;36,45;36,80;36,80;3474769;2507;128183123;36,8897
26/10/2023;37,20;37,64;36,44;36,67;36,67;3921237;3206;145399569;37,0800
25/10/2023;36,49;37,27;36,33;37,10;37,10;4593784;2921;169505208;36,8988
24/10/2023;35,87;36,70;34,49;36,33;36,33;5246226;3518;189976264;36,2120
23/10/2023;36,75;36,75;35,45;35,66;35,66;4711904;3548;169315165;35,9335
20/10/2023;36,12;36,98;36,12;36,80;36,80;8066252;5302;295708344;36,6599
19/10/2023;35,41;35,79;35,12;35,75;35,75;5091306;2653;181139893;35,5783
18/10/2023;35,50;35,80;35,27;35,71;35,71;3673999;2613;130869601;35,6205
17/10/2023;35,12;35,45;34,88;35,18;35,18;3633059;2957;127750209;35,1633
16/10/2023;35,50;35,85;35,06;35,12;35,12;4872991;3742;172878094;35,4768
13/10/2023;34,13;35,20;34,13;34,75;34,75;5684035;4083;198191818;34,8682
12/10/2023;33,24;34,35;33,00;34,21;34,21;5677149;4029;192800172;33,9607
11/10/2023;33,49;33,79;33,00;33,11;33,11;4203546;2331;139904347;33,2825
10/10/2023;32,92;33,41;32,22;33,33;33,33;6092660;4182;201441978;33,0631
09/10/2023;31,22;32,66;31,17;32,66;32,66;10428126;5077;333670366;31,9972
06/10/2023;30,30;30,94;30,21;30,57;30,57;2392627;2228;73283445;30,6289
05/10/2023;30,00;30,46;29,79;30,39;30,39;3543538;2838;106684359;30,1067
04/10/2023;30,81;31,00;30,00;30,00;30,00;4622783;2828;140943040;30,4888
03/10/2023;30,72;31,24;30,33;30,40;30,40;4704864;3398;144299533;30,6703
02/10/2023;31,36;31,65;31,01;31,12;31,12;3545333;2323;111219502;31,3707
29/09/2023;31,16;31,63;30,95;31,22;31,22;2963386;2414;92825938;31,3243
28/09/2023;31,45;31,70;30,86;31,09;31,09;4873553;3929;151937720;31,1760
27/09/2023;30,02;30,95;29,90;30,95;30,95;6049235;3427;185131735;30,6042
26/09/2023;29,85;30,01;29,53;29,83;29,83;9453449;3355;282046875;29,8353
25/09/2023;29,93;30,00;29,33;30,00;30,00;7991396;5757;238117402;29,7967
22/09/2023;29,70;30,23;29,58;29,81;29,81;182268903;14519;5308370361;29,1238
21/09/2023;32,10;32,24;31,51;32,00;32,00;3308058;3019;105263383;31,8203
20/09/2023;32,31;32,61;31,70;32,35;32,35;6038795;4251;194343730;32,1825
19/09/2023;32,28;33,44;32,05;32,85;32,85;7478901;4591;245410032;32,8136
18/09/2023;33,33;33,47;33,07;33,32;33,32;2611958;1744;84796005;32,4645
15/09/2023;33,37;33,75;33,03;33,24;33,24;5342969;2731;175629461;32,8711
14/09/2023;32,75;33,11;32,53;33,08;33,08;2764977;2304;91129671;32,9586
13/09/2023;32,94;33,07;32,26;32,35;32,35;4705267;2437;153633018;32,6513
12/09/2023;32,70;33,01;32,43;32,73;32,73;2127781;1870;69638709;32,7283
11/09/2023;32,25;32,83;32,18;32,66;32,66;1890986;1840;61641110;32,5973
08/09/2023;31,80;32,25;31,67;32,13;32,13;2909060;2228;93323410;32,0803
07/09/2023;31,74;31,79;31,33;31,54;31,54;3482064;1922;109854427;31,5487
06/09/2023;31,76;31,87;31,46;31,60;31,60;2246015;1404;71073493;31,6443
05/09/2023;31,40;31,96;30,90;31,72;31,72;3342442;2606;105364303;31,5232
04/09/2023;31,50;31,63;31,30;31,44;31,44;1824200;1659;57358157;31,4429
01/09/2023;31,04;31,70;31,04;31,30;31,30;2739562;2394;86072300;31,4183
31/08/2023;30,75;31,18;30,49;30,86;30,86;3350823;1767;103420894;30,8643
30/08/2023;31,00;31,00;30,53;30,74;30,74;2137450;1268;65836886;30,8016
29/08/2023;31,16;31,16;30,53;30,64;30,64;1711793;1196;52683753;30,7769
28/08/2023;30,70;31,10;30,64;31,10;31,10;2086473;1759;64569503;30,9467
25/08/2023;30,16;30,84;30,16;30,53;30,53;2859916;1981;87510592;30,5990
24/08/2023;30,41;30,41;29,95;30,16;30,16;2499496;1848;75457010;30,1889
23/08/2023;31,10;31,25;30,39;30,48;30,48;5096643;2301;156002059;30,6088
22/08/2023;31,40;31,53;31,05;31,18;31,18;2408243;1401;73740356;30,6200
21/08/2023;31,38;31,84;31,24;31,39;31,39;3170933;2483;99999002;31,5361
18/08/2023;31,36;31,40;30,77;30,92;30,92;2765984;2262;85731112;30,9948
17/08/2023;31,00;31,40;30,80;31,35;31,35;2375419;2045;74251487;31,2583
16/08/2023;30,98;31,16;30,81;31,10;31,10;1906347;1706;59099361;31,0014
15/08/2023;31,25;31,48;30,96;31,07;31,07;2156979;1953;67372710;31,2348
14/08/2023;30,99;31,34;30,76;31,22;31,22;2209295;2313;68841573;31,1600
11/08/2023;30,80;31,13;30,57;31,13;31,13;1817978;1521;56344421;30,9929
10/08/2023;31,35;31,48;30,74;30,78;30,78;3387228;2405;105148648;31,0427
09/08/2023;29,96;31,33;29,96;31,16;31,16;6858757;4282;211603974;30,8517
08/08/2023;29,80;29,81;29,09;29,73;29,73;3577224;2134;105704947;29,5494
07/08/2023;30,00;30,10;29,54;29,92;29,92;2769016;2200;82720064;29,8735
04/08/2023;30,06;30,17;29,61;29,71;29,71;3116115;2599;93287640;29,9372
03/08/2023;30,45;30,73;30,11;30,67;30,67;2793828;2860;85256369;30,5160
02/08/2023;30,90;30,95;30,30;30,45;30,45;2264216;2006;69239342;30,5798
01/08/2023;31,01;31,39;30,73;30,76;30,76;2737723;2539;84852340;30,9938
31/07/2023;30,43;31,19;30,40;30,90;30,90;3787388;2696;116793591;30,8375
28/07/2023;30,12;30,27;29,87;29,98;29,98;1779777;1617;53392130;29,9993
27/07/2023;30,06;30,36;29,91;29,95;29,95;2510575;1997;75647626;30,1316
26/07/2023;30,68;30,70;29,70;29,98;29,98;3998714;2993;120244394;30,0708
25/07/2023;30,33;31,14;30,08;30,51;30,51;5337892;3962;163221220;30,5778
24/07/2023;30,50;30,72;29,92;30,66;30,66;2926356;2279;89001441;30,4137
21/07/2023;29,99;30,32;29,80;30,30;30,30;2330779;1749;70240105;30,1359
20/07/2023;29,50;29,74;29,38;29,74;29,74;1755829;1283;52051923;29,6452
19/07/2023;29,22;29,51;28,78;29,48;29,48;1065711;1179;31237597;29,3115
18/07/2023;28,60;29,25;28,55;29,13;29,13;722428;859;20939539;28,9850
17/07/2023;28,80;29,17;28,43;28,60;28,60;1439414;1312;41269484;28,6710
14/07/2023;29,90;29,90;28,84;28,84;28,84;1841652;1621;53708659;29,1633
13/07/2023;29,06;29,83;28,70;29,79;29,79;3886547;2303;115177935;29,6350
12/07/2023;29,87;30,03;29,60;29,72;29,72;3469768;2463;103356876;29,7878
11/07/2023;29,85;30,07;29,50;29,71;29,71;3613831;2032;107352615;29,7060
10/07/2023;29,80;29,98;29,41;29,53;29,53;2239025;1881;66214865;29,5731
07/07/2023;28,70;29,69;28,64;29,56;29,56;1916263;1283;56293259;29,3766
06/07/2023;29,03;29,16;28,54;28,54;28,54;2006530;1260;57597555;28,7051
05/07/2023;29,34;29,37;28,96;29,16;29,16;1599011;1273;46603367;29,1451
04/07/2023;29,50;29,54;29,18;29,38;29,38;747580;604;21955914;29,3693
03/07/2023;29,22;29,63;29,06;29,40;29,40;1998558;1701;58760425;29,4014
30/06/2023;28,49;29,40;28,39;29,19;29,19;5105485;2992;148820572;29,1492
29/06/2023;28,20;28,40;27,93;28,08;28,08;3049221;1868;85721356;28,1125
28/06/2023;28,22;28,77;27,85;28,03;28,03;2166588;1672;61043778;28,1751
27/06/2023;28,34;28,49;28,03;28,31;28,31;3176769;1957;89918527;28,3050
26/06/2023;27,33;28,02;27,14;27,96;27,96;4059068;2057;112755595;27,7787
23/06/2023;27,10;27,49;26,75;27,21;27,21;5943806;3431;161245745;27,1284
22/06/2023;27,11;27,33;26,22;26,35;26,35;2347897;1539;62601399;26,6628
21/06/2023;27,67;27,87;26,94;27,31;27,31;3237192;1773;88251204;27,2617
20/06/2023;27,84;27,85;27,36;27,68;27,68;2270814;1222;62765289;27,6400
19/06/2023;27,96;27,96;27,10;27,77;27,77;1765440;1238;48486674;27,4644
16/06/2023;28,92;29,06;27,89;27,97;27,97;3546018;2263;100255568;28,2727
15/06/2023;28,49;29,36;28,12;28,76;28,76;3610625;2624;104164547;28,8495
14/06/2023;28,74;28,91;28,20;28,49;28,49;3782476;2704;108196461;28,6047
