"Historical Data"
"From 2021-11-15 to 2023-11-12"
NO0010571680
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;95,00;95,00;93,05;93,25;93,25;165187;747;15482581;93,7276
09/11/2023;93,75;95,55;91,10;95,45;95,45;307065;1084;28940808;94,2498
08/11/2023;94,25;97,75;93,70;97,55;97,55;571366;1463;55391820;96,9463
07/11/2023;97,25;97,25;94,10;95,25;95,25;345080;1309;32902562;95,3476
06/11/2023;100,00;100,10;97,00;97,65;97,65;392259;1569;38489611;98,1230
03/11/2023;101,90;103,60;100,10;100,50;100,50;465964;1417;47319104;101,5510
02/11/2023;100,00;102,80;99,30;101,30;101,30;444732;1501;45119178;101,4525
01/11/2023;96,30;101,70;96,30;99,90;99,90;891606;2644;88276876;99,0088
31/10/2023;93,50;94,00;92,20;93,75;93,75;331073;899;30837074;93,1428
30/10/2023;93,20;94,00;92,20;93,40;93,40;219115;833;20417652;93,1824
27/10/2023;90,25;94,80;89,70;92,50;92,50;340176;1140;31502376;92,6061
26/10/2023;92,05;93,45;88,95;90,20;90,20;265759;1033;24196562;91,0470
25/10/2023;89,90;92,50;89,45;91,50;91,50;795148;1822;72703704;91,4342
24/10/2023;84,45;89,10;84,00;89,10;89,10;606482;1255;53026014;87,4321
23/10/2023;84,00;84,90;82,30;82,90;82,90;350453;599;29280104;83,5493
20/10/2023;84,30;84,30;82,25;83,35;83,35;134985;573;11223934;83,1495
19/10/2023;86,55;86,55;84,45;85,00;85,00;134039;697;11401089;85,0580
18/10/2023;86,00;86,85;85,30;86,15;86,15;84565;445;7287414;86,1753
17/10/2023;86,00;86,45;84,60;85,55;85,55;140593;552;12009688;85,4217
16/10/2023;85,80;86,00;84,75;85,95;85,95;155755;420;13352748;85,7292
13/10/2023;88,15;88,15;85,75;86,45;86,45;114249;433;9891797;86,5810
12/10/2023;85,65;87,65;85,65;86,90;86,90;115380;449;10022928;86,8689
11/10/2023;87,50;87,50;85,40;85,60;85,60;149776;531;12865592;85,8989
10/10/2023;84,65;87,10;84,15;87,00;87,00;313154;962;26826738;85,6663
