"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010609662
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;23,60;23,60;23,00;23,00;23,00;23845;23;550845;23,1011
03/11/2023;23,20;23,40;23,00;23,40;23,40;6548;9;151396;23,1210
02/11/2023;22,80;23,20;22,80;23,20;23,20;2686;2;62315;23,1999
01/11/2023;23,00;23,00;22,90;22,90;22,90;4500;5;103477;22,9949
31/10/2023;22,90;22,90;22,70;22,70;22,70;3932;8;89490;22,7594
30/10/2023;23,00;23,30;23,00;23,30;23,30;1153;4;26546;23,0234
27/10/2023;23,40;23,40;23,00;23,00;23,00;26;2;598;23,0154
26/10/2023;23,00;23,40;22,90;23,40;23,40;1374;4;31640;23,0277
25/10/2023;23,00;23,40;23,00;23,40;23,40;610342;10;14158285;23,1973
24/10/2023;23,00;23,00;22,70;22,70;22,70;11106;17;254326;22,8999
23/10/2023;23,00;23,00;23,00;23,00;23,00;50;1;1150;23,0000
20/10/2023;22,90;23,00;22,90;23,00;23,00;2847;3;65396;22,9702
19/10/2023;0,00;0,00;0,00;0,00;22,80;0;0;0;0,0000
18/10/2023;22,70;22,90;22,70;22,80;22,80;7683;8;175748;22,8749
17/10/2023;23,00;23,00;22,30;22,70;22,70;11958;19;268988;22,4944
16/10/2023;23,80;23,80;22,80;22,80;22,80;11310;10;262460;23,2060
13/10/2023;23,90;23,90;23,80;23,90;23,90;2088;4;49720;23,8122
12/10/2023;23,40;24,00;23,40;24,00;24,00;2577;6;61595;23,9019
11/10/2023;23,50;23,90;23,50;23,90;23,90;1405;3;33026;23,5063
10/10/2023;23,90;23,90;23,90;23,90;23,90;2500;4;59750;23,9000
09/10/2023;23,90;23,90;23,80;23,90;23,90;3929;7;93794;23,8721
06/10/2023;24,20;24,20;24,20;24,20;24,20;600;4;14520;24,2000
05/10/2023;24,10;24,10;24,10;24,10;24,10;65;1;1567;24,1000
04/10/2023;24,50;24,50;24,10;24,10;24,10;4588;2;110619;24,1105
03/10/2023;24,00;24,50;24,00;24,10;24,10;1633;5;39273;24,0495
02/10/2023;24,50;24,50;24,00;24,00;24,00;9652;16;234446;24,2899
29/09/2023;24,60;24,70;24,60;24,70;24,70;3582;8;88143;24,6073
28/09/2023;24,80;24,80;24,80;24,80;24,80;50;1;1240;24,8000
27/09/2023;25,00;25,10;24,80;25,00;25,00;1261;5;31489;24,9715
26/09/2023;24,50;24,50;24,50;24,50;24,50;71693;4;1777479;24,7929
25/09/2023;25,00;25,00;24,60;24,60;24,60;125;3;3095;24,7600
22/09/2023;24,80;25,00;24,70;24,90;24,90;5760;7;142919;24,8124
21/09/2023;25,00;25,00;24,80;24,80;24,80;11654;7;291220;24,9888
20/09/2023;25,20;25,20;25,00;25,20;25,20;21205;4;532356;25,1052
19/09/2023;25,00;25,00;24,80;24,90;24,90;7632;13;189765;24,8643
18/09/2023;25,20;25,20;25,20;25,20;25,20;158;1;3982;25,2000
15/09/2023;25,30;25,30;24,90;25,20;25,20;62652;10;1572562;25,1000
14/09/2023;25,20;25,30;24,90;25,20;25,20;46367;16;1163204;25,0869
13/09/2023;24,80;25,30;24,80;25,30;25,30;201478;5;5056683;25,0979
12/09/2023;25,30;25,30;25,20;25,20;25,20;858;2;21642;25,2233
11/09/2023;25,10;25,10;25,10;25,10;25,10;1745;2;43800;25,1000
08/09/2023;25,10;25,20;25,10;25,20;25,20;700;6;17600;25,1429
07/09/2023;25,50;25,50;25,10;25,10;25,10;2885;4;72938;25,2819
06/09/2023;25,40;25,50;25,40;25,50;25,50;3693;5;94002;25,4542
05/09/2023;25,20;25,40;25,20;25,40;25,40;1827;4;46106;25,2358
04/09/2023;25,00;25,40;25,00;25,40;25,40;7160;8;180593;25,2224
01/09/2023;25,20;25,30;25,00;25,00;25,00;5763;11;144679;25,1048
31/08/2023;25,80;25,80;25,30;25,30;25,30;2486;6;63620;25,5914
30/08/2023;26,00;26,00;25,80;25,90;25,90;7160;4;185580;25,9190
29/08/2023;26,00;26,40;26,00;26,40;26,40;41;2;1082;26,3902
