"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010768096
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;24,50;24,95;24,30;24,35;24,35;12212;17;302808;24,7960
03/11/2023;24,20;24,90;23,60;24,40;24,40;30652;47;759859;24,7899
02/11/2023;24,20;24,20;23,50;23,80;23,80;7730;30;185143;23,9513
01/11/2023;23,05;24,75;23,05;23,90;23,90;16997;39;410418;24,1465
31/10/2023;24,00;25,30;23,40;23,95;23,95;6192;19;151193;24,4175
30/10/2023;22,80;23,70;22,80;23,70;23,70;14346;29;334222;23,2972
27/10/2023;23,25;23,25;22,80;23,00;23,00;9552;18;220158;23,0483
26/10/2023;23,00;23,70;23,00;23,00;23,00;3302;18;76134;23,0568
25/10/2023;24,00;24,00;22,80;23,00;23,00;13371;38;309078;23,1155
24/10/2023;23,45;23,45;23,05;23,10;23,10;15276;39;353182;23,1201
23/10/2023;24,00;24,00;22,00;23,50;23,50;47681;73;1104476;23,1639
20/10/2023;24,60;24,85;23,00;23,30;23,30;48080;75;1141415;23,7399
19/10/2023;24,95;24,95;24,50;24,55;24,55;11676;41;287513;24,6242
18/10/2023;26,00;26,00;24,70;25,00;25,00;24761;53;622690;25,1480
17/10/2023;26,50;26,50;24,55;24,90;24,90;21275;46;531082;24,9627
16/10/2023;26,10;26,10;24,70;25,00;25,00;73603;117;1845318;25,0712
13/10/2023;26,00;28,00;24,25;26,05;26,05;221303;247;5733782;25,9092
12/10/2023;28,40;31,10;28,25;28,50;28,50;24108;45;697199;28,9198
11/10/2023;27,80;28,30;27,50;27,80;27,80;12475;29;347022;27,8174
10/10/2023;27,80;28,20;26,75;27,70;27,70;11921;30;328352;27,5440
09/10/2023;28,00;28,45;27,55;27,60;27,60;19314;36;537894;27,8500
06/10/2023;27,50;28,00;27,05;27,90;27,90;25173;39;701962;27,8855
05/10/2023;27,00;28,40;27,00;27,50;27,50;4969;21;135731;27,3156
04/10/2023;27,95;28,85;26,95;27,05;27,05;24772;60;680043;27,4521
03/10/2023;27,50;28,85;27,50;28,00;28,00;19760;42;559501;28,3148
02/10/2023;27,90;28,00;27,20;27,45;27,45;27444;54;756276;27,5571
29/09/2023;27,75;27,90;27,20;27,90;27,90;21000;43;580524;27,6440
28/09/2023;27,90;27,90;27,05;27,70;27,70;8546;42;234316;27,4182
27/09/2023;27,00;27,60;26,95;26,95;26,95;25494;48;692075;27,1466
26/09/2023;27,90;27,95;26,95;27,00;27,00;30564;51;835613;27,3398
25/09/2023;27,00;27,85;27,00;27,20;27,20;23448;39;641653;27,3649
22/09/2023;27,90;27,95;26,90;26,95;26,95;10287;41;280809;27,2974
21/09/2023;27,00;27,95;27,00;27,30;27,30;19368;45;532560;27,4969
20/09/2023;27,95;28,00;26,55;28,00;28,00;26069;79;721032;27,6586
19/09/2023;27,25;27,40;26,45;27,30;27,30;21855;54;589062;26,9532
18/09/2023;26,70;28,30;26,70;27,00;27,00;8451;42;232774;27,5439
15/09/2023;26,50;28,00;26,50;28,00;28,00;16313;36;438616;26,8875
14/09/2023;28,00;28,00;26,65;26,85;26,85;8929;32;244539;27,3871
13/09/2023;26,90;27,80;26,90;27,75;27,75;13380;43;368230;27,5209
12/09/2023;26,80;26,95;26,30;26,95;26,95;7760;18;207182;26,6987
11/09/2023;27,35;27,60;26,95;26,95;26,95;12193;41;330392;27,0969
08/09/2023;27,10;27,95;27,10;27,10;27,10;21358;52;582945;27,2940
07/09/2023;26,25;27,70;26,25;27,70;27,70;4103;19;109838;26,7702
06/09/2023;28,15;28,15;26,85;27,05;27,05;38339;48;1043139;27,2083
05/09/2023;27,10;28,35;27,10;27,10;27,10;7375;27;205276;27,8340
04/09/2023;27,00;28,00;26,05;27,50;27,50;20719;50;569779;27,5003
01/09/2023;28,10;29,10;26,50;27,00;27,00;38049;63;1037491;27,2672
31/08/2023;27,00;28,10;27,00;28,00;28,00;23662;40;650619;27,4964
30/08/2023;26,10;26,90;25,00;26,50;26,50;26155;57;679517;25,9804
29/08/2023;26,50;26,90;26,05;26,10;26,10;36361;63;960762;26,4229
28/08/2023;27,00;27,00;26,55;26,70;26,70;22811;62;609963;26,7398
25/08/2023;27,50;27,50;26,70;27,00;27,00;12957;36;352559;27,2099
24/08/2023;27,70;27,70;26,85;27,10;27,10;35177;55;955926;27,1747
23/08/2023;27,70;28,80;27,20;27,65;27,65;24989;40;687276;27,5031
22/08/2023;27,20;28,10;27,20;27,85;27,85;17709;41;489075;27,6173
21/08/2023;28,65;28,65;27,20;27,20;27,20;12057;33;330902;27,4448
18/08/2023;27,70;28,05;27,45;27,70;27,70;53961;63;1490089;27,6142
17/08/2023;28,00;28,45;27,00;27,60;27,60;35786;107;989033;27,6374
16/08/2023;29,00;30,00;27,05;28,10;28,10;92667;220;2637512;28,4623
15/08/2023;32,85;32,85;31,25;31,35;31,35;15500;44;492814;31,7944
14/08/2023;31,20;32,35;31,20;31,50;31,50;44347;88;1396115;31,4816
11/08/2023;31,20;31,40;31,20;31,35;31,35;10489;34;328843;31,3513
10/08/2023;31,50;31,65;31,30;31,50;31,50;12427;37;391665;31,5172
09/08/2023;31,55;32,10;31,50;31,50;31,50;5286;28;168536;31,8834
08/08/2023;31,60;32,15;31,15;31,50;31,50;9674;40;304872;31,5145
07/08/2023;33,70;33,70;31,20;31,60;31,60;3879;30;123366;31,8036
04/08/2023;31,35;31,90;31,35;31,50;31,50;11873;48;375937;31,6631
03/08/2023;33,20;33,20;31,35;31,50;31,50;3337;36;106833;32,0147
02/08/2023;33,90;33,90;31,50;32,95;32,95;11549;46;372414;32,2464
01/08/2023;31,65;33,00;31,00;33,00;33,00;24357;67;770328;31,6266
31/07/2023;31,80;31,80;31,05;31,35;31,35;8824;37;278234;31,5315
28/07/2023;31,00;31,75;31,00;31,45;31,45;9857;39;308493;31,2968
27/07/2023;30,80;31,75;30,80;31,20;31,20;4913;24;153666;31,2775
26/07/2023;31,00;31,85;31,00;31,00;31,00;4298;33;134125;31,2064
25/07/2023;31,70;31,95;30,75;31,00;31,00;17945;39;562848;31,3652
24/07/2023;31,10;31,80;30,70;30,70;30,70;28711;56;896503;31,2251
21/07/2023;31,50;31,60;31,10;31,55;31,55;5691;15;179264;31,4995
20/07/2023;30,60;32,15;30,60;31,60;31,60;5908;21;186321;31,5371
19/07/2023;31,15;31,95;30,65;31,90;31,90;21942;46;684579;31,1995
18/07/2023;31,45;32,20;31,40;32,20;32,20;20809;41;656963;31,5711
17/07/2023;31,80;31,95;30,65;31,85;31,85;11958;50;371972;31,1065
14/07/2023;32,40;32,40;31,20;31,50;31,50;8579;39;271222;31,6146
13/07/2023;31,20;32,50;31,20;31,40;31,40;6226;30;197472;31,7173
12/07/2023;32,10;32,80;31,15;32,50;32,50;5749;30;183874;31,9836
11/07/2023;32,00;32,35;31,00;32,35;32,35;10164;36;321916;31,6722
10/07/2023;31,00;32,90;30,50;31,95;31,95;2254;21;71512;31,7269
07/07/2023;29,95;31,40;29,85;31,35;31,35;20643;69;631985;30,6150
06/07/2023;32,00;32,00;28,95;31,45;31,45;27508;74;848438;30,8433
05/07/2023;31,90;32,00;31,30;31,80;31,80;22484;47;712814;31,7032
04/07/2023;32,00;32,00;31,20;31,90;31,90;37799;78;1197727;31,6867
03/07/2023;32,00;32,00;31,65;32,00;32,00;19469;52;620762;31,8847
30/06/2023;32,00;32,00;31,65;32,00;32,00;8646;39;276168;31,9417
29/06/2023;31,85;32,00;31,65;31,90;31,90;5437;36;173067;31,8314
28/06/2023;33,90;33,95;31,85;31,85;31,85;21910;75;709964;32,4037
27/06/2023;33,50;33,50;32,40;32,40;32,40;6357;43;209037;32,8829
26/06/2023;32,50;33,70;32,50;32,70;32,70;16868;65;555554;32,9354
23/06/2023;32,50;33,80;32,50;32,90;32,90;11650;30;388107;33,3139
22/06/2023;32,50;33,85;32,50;33,20;33,20;37229;88;1234761;33,1666
21/06/2023;32,80;33,30;32,50;32,65;32,65;2077;29;68066;32,7712
20/06/2023;32,85;33,90;32,80;32,80;32,80;9884;37;326398;33,0228
19/06/2023;33,40;33,90;32,85;32,85;32,85;17765;34;588998;33,1550
16/06/2023;33,30;33,70;32,65;33,40;33,40;14503;45;482237;33,2509
15/06/2023;33,90;33,90;32,15;32,40;32,40;22727;57;747194;32,8769
14/06/2023;32,10;33,60;32,10;33,50;33,50;19968;49;660292;33,0675
13/06/2023;33,90;33,90;31,85;32,70;32,70;21558;64;701075;32,5204
12/06/2023;33,60;33,60;31,75;32,20;32,20;45012;101;1458852;32,4103
09/06/2023;33,60;33,60;32,00;32,70;32,70;11201;42;365982;32,6741
08/06/2023;32,60;33,85;32,60;33,00;33,00;15029;59;499960;33,2663
07/06/2023;32,05;33,30;31,20;32,60;32,60;10919;52;351387;32,1813
