"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010716863
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,776;0,84;0,771;0,84;0,84;5065239;314;4066189;0,8028
03/11/2023;0,789;0,789;0,752;0,776;0,776;1875761;129;1433671;0,7643
02/11/2023;0,745;0,798;0,731;0,751;0,751;5654410;286;4315300;0,7632
01/11/2023;0,75;0,75;0,693;0,729;0,729;3988875;232;2869898;0,7195
31/10/2023;0,70;0,737;0,70;0,729;0,729;944382;117;680576;0,7207
30/10/2023;0,751;0,751;0,66;0,735;0,735;3510608;299;2433206;0,6931
27/10/2023;0,659;0,79;0,605;0,756;0,756;6433942;569;4455122;0,6924
26/10/2023;0,75;0,75;0,669;0,681;0,681;1786771;174;1258576;0,7044
25/10/2023;0,81;0,81;0,712;0,726;0,726;1103389;159;816660;0,7401
24/10/2023;0,71;0,795;0,71;0,787;0,787;1831409;201;1370045;0,7481
23/10/2023;0,77;0,77;0,70;0,715;0,715;2857796;251;2069444;0,7241
20/10/2023;0,829;0,843;0,741;0,764;0,764;5506526;374;4340173;0,7882
19/10/2023;0,898;0,899;0,84;0,844;0,844;2948071;178;2552205;0,8657
18/10/2023;0,94;0,94;0,88;0,904;0,904;1953098;182;1760253;0,9013
17/10/2023;0,93;0,962;0,898;0,91;0,91;1971150;222;1825815;0,9263
16/10/2023;0,922;0,933;0,876;0,929;0,929;4903909;389;4489563;0,9155
13/10/2023;0,98;0,98;0,905;0,92;0,92;6905595;817;6430014;0,9311
12/10/2023;1,08;1,134;0,947;0,961;0,961;17370087;1463;17870880;1,0288
11/10/2023;1,00;1,13;0,956;1,106;1,106;57068427;3852;59992284;1,0512
10/10/2023;0,679;0,68;0,653;0,68;0,68;118701708;117;106534017;0,8975
09/10/2023;0,66;0,68;0,622;0,653;0,653;2565559;149;1681174;0,6553
06/10/2023;0,63;0,63;0,61;0,621;0,621;983662;70;601342;0,6113
05/10/2023;0,62;0,629;0,61;0,62;0,62;713504;94;442080;0,6196
04/10/2023;0,615;0,617;0,61;0,611;0,611;301440;53;184771;0,6130
03/10/2023;0,62;0,624;0,61;0,617;0,617;755509;83;465345;0,6159
02/10/2023;0,63;0,63;0,61;0,62;0,62;1607342;110;996648;0,6201
29/09/2023;0,63;0,633;0,61;0,618;0,618;1663583;127;1024464;0,6158
28/09/2023;0,614;0,624;0,61;0,613;0,613;2613199;97;1595973;0,6107
27/09/2023;0,59;0,62;0,59;0,611;0,611;1712792;101;1032264;0,6027
26/09/2023;0,59;0,593;0,59;0,59;0,59;3120947;149;1842430;0,5903
25/09/2023;0,615;0,629;0,57;0,577;0,577;3883732;235;2264492;0,5831
22/09/2023;0,63;0,638;0,603;0,61;0,61;1731793;127;1056556;0,6101
21/09/2023;0,623;0,633;0,622;0,622;0,622;856459;100;538500;0,6288
20/09/2023;0,622;0,638;0,62;0,623;0,623;1664319;126;1040921;0,6254
19/09/2023;0,634;0,637;0,619;0,625;0,625;2143363;176;1339230;0,6248
18/09/2023;0,665;0,665;0,627;0,63;0,63;2768855;173;1755732;0,6341
15/09/2023;0,639;0,662;0,62;0,635;0,635;5769939;225;3684703;0,6386
14/09/2023;0,64;0,658;0,632;0,635;0,635;1959359;179;1249391;0,6377
13/09/2023;0,683;0,685;0,627;0,638;0,638;5076106;379;3284870;0,6471
12/09/2023;0,591;0,698;0,584;0,698;0,698;46527308;1104;25096923;0,5394
11/09/2023;0,68;0,706;0,629;0,654;0,654;2873597;242;1896776;0,6601
08/09/2023;0,74;0,74;0,661;0,676;0,676;2637938;155;1808005;0,6854
07/09/2023;0,70;0,748;0,68;0,705;0,705;3084518;228;2185623;0,7086
06/09/2023;0,68;0,735;0,65;0,693;0,693;2427511;280;1687298;0,6951
05/09/2023;0,72;0,72;0,67;0,67;0,67;1581519;228;1099446;0,6952
04/09/2023;0,769;0,769;0,71;0,71;0,71;753841;106;547167;0,7258
01/09/2023;0,75;0,775;0,721;0,721;0,721;1263365;131;930684;0,7367
31/08/2023;0,798;0,818;0,711;0,77;0,77;2909645;308;2206551;0,7584
30/08/2023;0,683;0,79;0,683;0,79;0,79;4130848;408;3045082;0,7372
29/08/2023;0,612;0,683;0,605;0,677;0,677;1884699;1674;1271801;0,6748
28/08/2023;0,69;0,714;0,66;0,661;0,661;1122207;183;755481;0,6732
25/08/2023;0,67;0,71;0,669;0,669;0,669;1346984;139;918196;0,6817
24/08/2023;0,71;0,726;0,669;0,68;0,68;2069059;194;1443804;0,6978
23/08/2023;0,76;0,76;0,70;0,71;0,71;1849523;252;1328412;0,7182
22/08/2023;0,84;0,843;0,70;0,753;0,753;2781078;451;2072643;0,7453
21/08/2023;0,80;0,864;0,771;0,845;0,845;1667540;277;1347458;0,8081
18/08/2023;0,999;0,999;0,755;0,838;0,838;5668973;946;4570574;0,8062
17/08/2023;0,62493365;0,72492303;0,62493365;0,69575946;0,69575946;9184889;414;6089875;0,6630
16/08/2023;0,6332661;0,63993206;0,62493365;0,62576689;0,62576689;543417;62;341685;0,6288
15/08/2023;0,63993206;0,64159855;0,62493365;0,64159855;0,64159855;584109;81;369407;0,6324
14/08/2023;0,62493365;0,64409828;0,60826875;0,60826875;0,60826875;545921;86;345314;0,6325
11/08/2023;0,61243497;0,62493365;0,60076955;0,62493365;0,62493365;3552365;147;2198294;0,6188
10/08/2023;0,62076742;0,62076742;0,58910412;0,60993524;0,60993524;1350570;118;817343;0,6052
09/08/2023;0,62076742;0,62076742;0,59160385;0,60410253;0,60410253;1145209;141;684222;0,5975
08/08/2023;0,64576477;0,64576477;0,5924371;0,5924371;0,5924371;1601001;154;970815;0,6064
07/08/2023;0,65826344;0,65826344;0,62743338;0,63743232;0,63743232;1660846;111;1067226;0,6426
