"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010208051
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;367,70;369,40;365,50;367,00;367,00;368668;1974;135413887;367,3058
03/11/2023;369,20;370,90;367,10;368,20;368,20;249227;1246;91809569;368,3773
02/11/2023;365,10;371,20;365,10;367,70;367,70;294609;1410;108473508;368,1948
01/11/2023;366,00;367,40;362,90;363,20;363,20;283092;1519;103064367;364,0667
31/10/2023;364,50;367,20;363,40;365,00;365,00;412157;1505;150466359;365,0705
30/10/2023;360,00;366,50;359,00;364,50;364,50;454724;1906;165702055;364,4014
27/10/2023;357,40;362,80;356,70;359,20;359,20;464585;2002;167214519;359,9223
26/10/2023;356,20;361,10;354,30;356,70;356,70;571587;2462;203978975;356,8643
25/10/2023;361,60;362,70;356,50;360,20;360,20;381740;2280;137428670;360,0059
24/10/2023;359,40;363,70;358,00;361,70;361,70;375406;2255;135566030;361,1184
23/10/2023;359,40;362,10;356,10;361,40;361,40;534368;3442;192726915;360,6633
20/10/2023;366,30;371,10;358,30;361,60;361,60;1684802;9669;615210503;365,1530
19/10/2023;387,80;388,00;383,50;386,00;386,00;442832;2079;170704073;385,4827
18/10/2023;392,80;393,40;387,40;387,90;387,90;415764;2238;161911712;389,4318
17/10/2023;393,50;396,70;387,00;392,00;392,00;535661;2984;209937123;391,9216
16/10/2023;400,10;404,80;392,70;394,50;394,50;471041;2342;186808817;396,5872
13/10/2023;397,90;402,40;396,80;399,90;399,90;430328;2163;171981200;399,6514
12/10/2023;397,80;402,50;397,10;398,70;398,70;256489;1454;102432800;399,3653
11/10/2023;401,10;405,40;397,80;397,80;397,80;557364;1422;222228931;398,7142
10/10/2023;397,80;403,50;397,40;401,60;401,60;470429;2301;188761623;401,2542
09/10/2023;392,10;394,50;387,50;394,50;394,50;393107;1749;154683192;393,4888
06/10/2023;395,00;397,20;389,30;390,00;390,00;360058;1946;141274856;392,3669
05/10/2023;393,50;394,90;391,70;394,20;394,20;268486;1489;105762097;393,9203
04/10/2023;395,00;399,90;391,50;392,50;392,50;305096;2028;120420166;394,6960
03/10/2023;400,20;400,20;393,20;394,90;394,90;430132;1927;170239617;395,7846
02/10/2023;405,50;408,80;399,90;400,20;400,20;479840;1799;192747774;401,6918
29/09/2023;404,00;411,50;402,30;405,30;405,30;594462;2362;241571398;406,3698
28/09/2023;403,70;404,50;398,30;401,70;401,70;333112;1574;133755989;401,5346
27/09/2023;402,10;407,40;402,10;404,50;404,50;282743;1723;114556414;405,1609
26/09/2023;406,10;407,50;402,10;402,30;402,30;350343;1618;141172590;402,9554
25/09/2023;407,00;409,30;402,30;405,90;405,90;283552;1448;115048113;405,7390
22/09/2023;407,90;410,70;405,70;407,50;407,50;421567;2191;171924421;407,8223
21/09/2023;405,90;406,90;402,00;405,10;405,10;349219;1933;141324609;404,6876
20/09/2023;403,90;409,90;402,30;406,40;406,40;580142;3279;235705498;406,2893
19/09/2023;406,40;408,00;401,00;401,00;401,00;666379;2412;268231985;402,5217
18/09/2023;405,00;410,90;403,70;405,30;405,30;431224;2284;175278291;406,4669
15/09/2023;417,70;418,90;405,20;406,60;406,60;1333312;4525;544715712;408,5433
14/09/2023;413,10;417,10;409,70;415,30;415,30;498690;2460;206690828;414,4676
13/09/2023;408,90;412,90;408,20;411,40;411,40;379379;1612;155980341;411,1465
12/09/2023;413,70;414,90;408,30;409,50;409,50;367204;1558;150620193;410,1812
11/09/2023;411,00;415,70;411,00;413,00;413,00;368825;2037;152436968;413,3043
08/09/2023;412,00;412,50;407,40;409,50;409,50;307791;1790;126207932;410,0443
07/09/2023;408,30;414,70;407,40;412,30;412,30;547299;2873;225451537;411,9349
06/09/2023;409,00;411,80;406,10;408,40;408,40;508024;2306;207577283;408,5974
05/09/2023;405,00;412,70;401,80;410,90;410,90;865071;4141;354124346;409,3587
04/09/2023;389,40;405,00;388,80;405,00;405,00;1079040;4161;432218778;400,5586
01/09/2023;390,20;391,70;385,60;387,60;387,60;386729;1897;149982036;387,8221
31/08/2023;390,80;391,60;388,90;388,90;388,90;572578;1506;222907768;389,3055
30/08/2023;388,60;391,40;388,50;389,60;389,60;258101;1436;100552483;389,5858
29/08/2023;384,80;388,10;384,50;386,40;386,40;373774;1923;144425992;386,3992
28/08/2023;382,70;385,20;381,90;384,10;384,10;240894;1577;92427026;383,6834
25/08/2023;380,90;383,80;378,80;381,60;381,60;232516;1543;88776709;381,8090
24/08/2023;384,00;387,40;379,20;380,60;380,60;419609;2531;160058641;381,4471
23/08/2023;390,00;392,60;381,60;383,10;383,10;568645;2115;218413731;384,0951
22/08/2023;391,80;391,80;387,40;389,10;389,10;383852;1573;149396906;389,2044
21/08/2023;389,00;393,40;387,50;388,60;388,60;348765;2328;136028851;390,0301
18/08/2023;392,20;394,00;388,00;389,90;389,90;324831;1924;126666893;389,9471
17/08/2023;393,40;394,70;391,70;394,30;394,30;270790;1885;106630383;393,7752
16/08/2023;392,50;395,10;390,80;393,90;393,90;299920;1772;117985658;393,3904
15/08/2023;399,90;400,30;391,70;392,90;392,90;578976;3037;227872790;393,5790
14/08/2023;398,80;402,60;397,90;398,40;398,40;293969;1721;117430445;399,4654
11/08/2023;405,00;405,20;397,10;400,80;400,80;499987;3132;200560308;401,1310
10/08/2023;407,80;408,00;404,30;405,60;405,60;398312;2572;161739491;406,0623
09/08/2023;410,70;411,20;402,10;406,90;406,90;718581;5069;291704042;405,9446
08/08/2023;412,00;413,20;408,80;409,50;409,50;311140;2235;127623996;410,1819
07/08/2023;413,00;417,90;411,10;412,20;412,20;213356;1672;88226395;413,5173
04/08/2023;407,90;412,70;406,60;411,90;411,90;241145;1763;99101700;410,9631
03/08/2023;407,40;409,60;403,30;407,60;407,60;208010;1695;84699940;407,1917
02/08/2023;410,00;410,20;404,00;408,90;408,90;359020;2113;146437363;407,8808
01/08/2023;415,60;416,70;412,30;412,30;412,30;202442;1606;83618078;413,0471
31/07/2023;415,00;419,00;414,40;414,40;414,40;381665;1718;158422468;415,0825
28/07/2023;413,70;415,30;412,10;414,40;414,40;211077;1576;87398455;414,0596
27/07/2023;411,80;415,00;410,80;413,60;413,60;283556;1603;117308014;413,7032
26/07/2023;411,40;413,40;408,70;410,60;410,60;389012;2588;159808626;410,8064
