"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010713936
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;18,53;19,30;18,44;18,73;18,73;244024;481;4603897;18,8666
03/11/2023;20,90;20,90;18,05;18,68;18,68;1569426;2183;29622509;18,8747
02/11/2023;20,56;21,12;19,60;20,94;20,94;410070;694;8352393;20,3682
01/11/2023;20,34;20,66;20,00;20,52;20,52;139607;332;2836736;20,3194
31/10/2023;20,22;20,96;20,22;20,60;20,60;164597;365;3387539;20,5808
30/10/2023;20,50;20,68;20,04;20,26;20,26;115931;325;2366539;20,4133
27/10/2023;20,00;20,84;19,73;20,50;20,50;236736;555;4786675;20,2195
26/10/2023;20,62;20,62;19,71;20,00;20,00;443789;677;8877340;20,0035
25/10/2023;21,00;21,12;20,26;20,62;20,62;283851;520;5851651;20,6152
24/10/2023;20,12;21,20;20,12;20,90;20,90;291872;415;6072320;20,8047
23/10/2023;20,64;21,00;20,24;20,56;20,56;258432;526;5302556;20,5182
20/10/2023;20,62;21,18;20,20;21,12;21,12;447812;956;9321923;20,8166
19/10/2023;21,00;21,70;20,50;20,64;20,64;584922;1276;12325026;21,0712
18/10/2023;21,10;21,76;20,86;21,50;21,50;605309;972;12892831;21,2996
17/10/2023;21,40;21,60;21,00;21,32;21,32;496300;1017;10516206;21,1892
16/10/2023;21,70;21,82;21,00;21,58;21,58;297492;702;6363313;21,3899
13/10/2023;22,10;22,40;21,82;21,84;21,84;272797;476;6002432;22,0033
12/10/2023;22,74;23,30;22,22;22,22;22,22;328183;620;7411575;22,5837
11/10/2023;22,90;23,20;22,48;22,86;22,86;223581;372;5103828;22,8276
10/10/2023;22,04;23,40;22,04;22,96;22,96;368942;783;8398953;22,7650
09/10/2023;22,80;23,16;22,00;22,02;22,02;197561;502;4439951;22,4738
06/10/2023;22,88;23,32;22,70;23,14;23,14;913303;715;21002151;22,9958
05/10/2023;23,20;23,68;23,00;23,18;23,18;260801;628;6055880;23,2203
04/10/2023;23,52;23,70;22,42;23,28;23,28;518783;838;11991820;23,1153
03/10/2023;24,36;24,68;23,60;23,62;23,62;526574;1072;12697983;24,1143
02/10/2023;26,10;26,10;24,08;24,18;24,18;1516469;2278;37283199;24,5855
29/09/2023;25,70;26,90;25,70;26,58;26,58;198995;345;5283663;26,5517
28/09/2023;26,56;26,56;25,16;25,70;25,70;399404;413;10233176;25,6211
27/09/2023;25,42;26,66;25,42;26,56;26,56;222068;620;5825862;26,2346
26/09/2023;25,52;26,14;25,04;25,42;25,42;878693;954;22307102;25,3867
25/09/2023;25,68;26,54;25,40;26,40;26,40;774790;637;19886600;25,6671
22/09/2023;25,90;26,28;25,60;25,88;25,88;355467;455;9178832;25,8219
21/09/2023;26,40;26,88;25,98;26,12;26,12;250134;508;6595584;26,3682
20/09/2023;26,80;27,28;26,60;26,84;26,84;206562;390;5560752;26,9205
19/09/2023;26,20;27,00;26,20;26,40;26,40;266191;428;7060745;26,5251
18/09/2023;26,50;27,02;26,22;26,40;26,40;156810;444;4158450;26,5190
15/09/2023;26,26;27,18;26,26;26,66;26,66;167482;444;4468067;26,6779
14/09/2023;26,00;26,82;25,50;26,60;26,60;305572;660;8052673;26,3528
13/09/2023;26,72;26,72;25,82;25,94;25,94;350214;641;9156212;26,1446
12/09/2023;27,50;28,00;26,56;26,76;26,76;353257;646;9498971;26,8897
11/09/2023;26,72;27,62;26,60;27,20;27,20;435840;867;11869274;27,2331
08/09/2023;27,70;28,58;26,92;27,30;27,30;418978;865;11482771;27,4066
07/09/2023;28,44;28,80;27,60;27,96;27,96;274097;912;7701154;28,0965
06/09/2023;28,70;29,68;27,96;28,74;28,74;298109;936;8657906;29,0428
05/09/2023;30,00;30,00;28,88;28,88;28,88;119305;480;3491713;29,2671
04/09/2023;30,50;30,50;29,10;29,26;29,26;194242;578;5711003;29,4015
01/09/2023;30,12;30,64;29,54;29,70;29,70;344039;801;10306442;29,9572
31/08/2023;31,06;31,80;30,22;30,28;30,28;237637;639;7325369;30,8259
30/08/2023;31,62;32,40;31,40;31,56;31,56;237668;623;7539645;31,7234
29/08/2023;30,74;32,30;30,74;31,62;31,62;297185;832;9436189;31,7519
28/08/2023;31,30;31,78;30,66;30,92;30,92;154745;490;4814399;31,1118
25/08/2023;30,84;31,40;29,96;31,00;31,00;251124;666;7745852;30,8447
24/08/2023;32,82;32,90;29,96;30,26;30,26;856209;1681;26446837;30,8883
23/08/2023;32,18;32,74;30,92;32,74;32,74;2392963;4155;76128713;31,8136
22/08/2023;29,46;29,90;29,08;29,38;29,38;634012;683;18799834;29,6522
21/08/2023;29,48;30,26;29,20;29,28;29,28;296033;675;8748127;29,5512
18/08/2023;30,08;30,42;29,06;29,50;29,50;311307;883;9226962;29,6394
17/08/2023;30,22;30,60;29,80;30,46;30,46;478058;781;14400438;30,1228
16/08/2023;30,34;30,98;30,00;30,42;30,42;229686;605;7007101;30,5073
15/08/2023;30,54;30,82;29,62;30,38;30,38;336417;647;10140158;30,1416
14/08/2023;29,60;31,50;29,40;30,54;30,54;340582;892;10487414;30,7926
11/08/2023;30,42;30,74;29,90;30,00;30,00;145035;413;4402412;30,3541
10/08/2023;30,40;30,70;29,80;30,50;30,50;141957;516;4314045;30,3898
09/08/2023;29,90;30,72;29,70;30,36;30,36;203124;571;6170445;30,3777
08/08/2023;30,40;30,60;29,30;29,78;29,78;261974;620;7806543;29,7989
07/08/2023;31,30;31,60;30,22;30,46;30,46;170246;543;5236731;30,7598
04/08/2023;30,74;31,46;30,16;31,34;31,34;82776;311;2568121;31,0250
03/08/2023;30,50;31,00;30,08;30,74;30,74;145354;455;4417548;30,3916
02/08/2023;31,18;31,24;30,22;30,78;30,78;221485;721;6820241;30,7932
01/08/2023;29,70;31,78;29,50;31,42;31,42;328222;787;10235332;31,1842
31/07/2023;29,80;30,00;29,16;29,60;29,60;174462;674;5154167;29,5432
28/07/2023;30,68;30,80;29,36;29,40;29,40;179068;576;5351296;29,8842
27/07/2023;29,66;30,90;29,30;30,36;30,36;270866;689;8176016;30,1847
26/07/2023;28,90;30,42;28,90;29,58;29,58;264992;739;7893444;29,7875
25/07/2023;29,30;29,84;28,72;29,20;29,20;192168;641;5599774;29,1400
24/07/2023;29,32;29,56;28,84;29,16;29,16;288021;597;8363991;29,0395
21/07/2023;30,00;30,00;29,20;29,20;29,20;331025;875;9762971;29,4932
20/07/2023;31,78;31,82;30,38;30,40;30,40;280198;602;8637856;30,8277
19/07/2023;31,82;32,20;30,82;31,00;31,00;243386;645;7678228;31,5475
