"Historical Data"
"From 2021-11-08 to 2023-11-07"
CA98936C8584
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,42;0,4599;0,415;0,4599;0,4599;298359;19;125603;0,4210
03/11/2023;0,402;0,4599;0,402;0,4599;0,4599;419735;16;176736;0,4211
02/11/2023;0,4749;0,4749;0,4102;0,4499;0,4499;430988;19;183185;0,4250
01/11/2023;0,42;0,4684;0,42;0,421;0,421;310155;13;134989;0,4352
31/10/2023;0,498;0,498;0,42;0,4693;0,4693;582261;17;274253;0,4710
30/10/2023;0,4599;0,4599;0,4193;0,45;0,45;86550;16;37134;0,4290
27/10/2023;0,46;0,46;0,4279;0,431;0,431;308051;15;132887;0,4314
26/10/2023;0,47;0,47;0,4206;0,4499;0,4499;429552;19;185227;0,4312
25/10/2023;0,4674;0,4674;0,4122;0,4599;0,4599;774563;31;333936;0,4311
24/10/2023;0,459;0,459;0,41;0,4295;0,4295;713441;28;302629;0,4242
23/10/2023;0,4995;0,4995;0,42;0,4599;0,4599;703967;29;308761;0,4386
20/10/2023;0,4601;0,4601;0,4501;0,452;0,452;776059;29;352056;0,4536
19/10/2023;0,46;0,4799;0,4599;0,4601;0,4601;260853;14;120659;0,4626
18/10/2023;0,58;0,58;0,46;0,47;0,47;618847;30;289020;0,4670
17/10/2023;0,451;0,4797;0,4504;0,4795;0,4795;853513;29;389608;0,4565
16/10/2023;0,48;0,4946;0,4502;0,4799;0,4799;1258150;37;579353;0,4605
13/10/2023;0,4738;0,4741;0,4612;0,4719;0,4719;568416;27;266977;0,4697
12/10/2023;0,4851;0,4851;0,4602;0,4788;0,4788;25385;6;12059;0,4751
11/10/2023;0,46;0,4899;0,46;0,4892;0,4892;149111;7;70804;0,4748
10/10/2023;0,4999;0,4999;0,4502;0,4745;0,4745;365915;31;168029;0,4592
09/10/2023;0,515;0,515;0,465;0,4745;0,4745;490697;26;237416;0,4838
06/10/2023;0,50;0,50;0,4501;0,4994;0,4994;343653;26;159901;0,4653
05/10/2023;0,4601;0,4902;0,4501;0,4779;0,4779;126000;9;59062;0,4687
04/10/2023;0,46;0,50;0,4509;0,4984;0,4984;415172;32;198184;0,4774
03/10/2023;0,488;0,488;0,441;0,4879;0,4879;855873;37;392298;0,4584
02/10/2023;0,48;0,4879;0,455;0,475;0,475;73077;20;34770;0,4758
29/09/2023;0,4702;0,53;0,4702;0,4949;0,4949;645284;33;316530;0,4905
28/09/2023;0,519;0,519;0,47;0,4999;0,4999;910782;43;437390;0,4802
27/09/2023;0,539;0,539;0,4804;0,5135;0,5135;1102543;42;554752;0,5032
26/09/2023;0,549;0,549;0,48;0,52;0,52;454162;30;223682;0,4925
25/09/2023;0,57;0,57;0,46;0,549;0,549;165043;26;91218;0,5527
22/09/2023;0,525;0,525;0,492;0,51;0,51;419217;31;211137;0,5036
21/09/2023;0,519;0,543;0,486;0,524;0,524;1601497;52;827036;0,5164
20/09/2023;0,501;0,524;0,501;0,52;0,52;594718;34;301238;0,5065
19/09/2023;0,548;0,548;0,502;0,52;0,52;1101821;41;561757;0,5098
18/09/2023;0,55;0,55;0,513;0,513;0,513;286440;34;150148;0,5242
15/09/2023;0,517;0,55;0,501;0,55;0,55;772622;74;403530;0,5223
14/09/2023;0,554;0,554;0,50;0,518;0,518;810277;30;416871;0,5145
13/09/2023;0,558;0,558;0,495;0,553;0,553;747035;35;385070;0,5155
12/09/2023;0,49;0,578;0,49;0,534;0,534;131508;13;65585;0,4987
11/09/2023;0,518;0,518;0,482;0,495;0,495;643698;34;319596;0,4965
08/09/2023;0,501;0,521;0,48;0,517;0,517;421967;27;211401;0,5010
07/09/2023;0,50;0,519;0,498;0,519;0,519;299125;19;150264;0,5023
06/09/2023;0,515;0,525;0,488;0,518;0,518;777036;41;387379;0,4985
05/09/2023;0,502;0,53;0,49;0,51;0,51;1104782;71;560146;0,5070
04/09/2023;0,542;0,542;0,451;0,538;0,538;1891999;100;972917;0,5142
01/09/2023;0,535;0,547;0,526;0,547;0,547;221622;19;117696;0,5311
31/08/2023;0,513;0,538;0,513;0,536;0,536;315144;23;163564;0,5190
30/08/2023;0,542;0,542;0,521;0,534;0,534;271614;25;144975;0,5338
29/08/2023;0,551;0,556;0,52;0,546;0,546;1523401;67;811169;0,5325
28/08/2023;0,555;0,559;0,534;0,546;0,546;677744;42;368703;0,5440
25/08/2023;0,538;0,554;0,535;0,554;0,554;680479;25;369488;0,5430
24/08/2023;0,541;0,552;0,53;0,55;0,55;803103;35;436930;0,5441
23/08/2023;0,535;0,555;0,534;0,549;0,549;253853;21;136731;0,5386
22/08/2023;0,526;0,56;0,526;0,56;0,56;446635;35;243896;0,5461
21/08/2023;0,552;0,577;0,53;0,55;0,55;782686;45;428430;0,5474
18/08/2023;0,54;0,567;0,54;0,56;0,56;594900;25;333905;0,5613
17/08/2023;0,568;0,569;0,551;0,557;0,557;526261;31;293352;0,5574
16/08/2023;0,587;0,587;0,55;0,569;0,569;716872;40;402325;0,5612
15/08/2023;0,54;0,596;0,54;0,545;0,545;446060;32;247095;0,5539
14/08/2023;0,567;0,57;0,54;0,56;0,56;1382170;50;772614;0,5590
11/08/2023;0,58;0,58;0,554;0,567;0,567;931196;35;521888;0,5604
10/08/2023;0,535;0,588;0,535;0,579;0,579;559206;40;312092;0,5581
09/08/2023;0,57;0,57;0,55;0,569;0,569;999295;63;561904;0,5623
08/08/2023;0,61;0,61;0,563;0,576;0,576;845935;41;486025;0,5745
07/08/2023;0,60;0,60;0,575;0,594;0,594;1380508;82;806343;0,5841
04/08/2023;0,601;0,618;0,575;0,597;0,597;3077962;166;1845242;0,5995
03/08/2023;0,619;0,629;0,60;0,626;0,626;866902;62;532659;0,6144
02/08/2023;0,647;0,647;0,604;0,626;0,626;971142;48;602942;0,6209
01/08/2023;0,65;0,65;0,609;0,641;0,641;2287699;134;1446627;0,6324
31/07/2023;0,65;0,687;0,61;0,636;0,636;5966462;341;3906436;0,6547
28/07/2023;0,586;0,61;0,572;0,605;0,605;1268736;59;752321;0,5930
27/07/2023;0,59;0,59;0,56;0,586;0,586;269268;24;155017;0,5757
26/07/2023;0,62;0,62;0,571;0,595;0,595;322486;26;190399;0,5904
25/07/2023;0,62;0,62;0,58;0,609;0,609;93287;25;54643;0,5857
24/07/2023;0,588;0,60;0,588;0,599;0,599;221049;29;131196;0,5935
21/07/2023;0,588;0,60;0,588;0,60;0,60;450999;30;266722;0,5914
20/07/2023;0,60;0,60;0,586;0,60;0,60;138139;28;81985;0,5935
19/07/2023;0,60;0,625;0,58;0,601;0,601;625150;34;370764;0,5931
18/07/2023;0,60;0,60;0,585;0,598;0,598;1129576;44;668884;0,5922
17/07/2023;0,58;0,648;0,58;0,60;0,60;1137715;50;668672;0,5877
14/07/2023;0,601;0,639;0,58;0,599;0,599;747763;40;446243;0,5968
13/07/2023;0,602;0,63;0,574;0,598;0,598;868094;45;520616;0,5997
12/07/2023;0,544;0,641;0,544;0,602;0,602;2165722;140;1295000;0,5980
11/07/2023;0,54;0,577;0,54;0,559;0,559;748588;58;413667;0,5526
10/07/2023;0,54;0,579;0,521;0,568;0,568;302779;30;169302;0,5592
07/07/2023;0,529;0,545;0,523;0,54;0,54;566328;22;299269;0,5284
06/07/2023;0,528;0,546;0,511;0,546;0,546;772682;44;407770;0,5277
05/07/2023;0,546;0,546;0,512;0,543;0,543;874429;89;463198;0,5297
04/07/2023;0,56;0,56;0,529;0,545;0,545;268068;30;143853;0,5366
03/07/2023;0,574;0,574;0,53;0,549;0,549;339373;20;180562;0,5320
30/06/2023;0,534;0,549;0,522;0,549;0,549;652903;34;346957;0,5314
29/06/2023;0,53;0,55;0,512;0,538;0,538;498255;39;265353;0,5326
28/06/2023;0,585;0,585;0,52;0,543;0,543;1008056;61;531999;0,5277
27/06/2023;0,541;0,577;0,524;0,566;0,566;927877;76;499517;0,5383
26/06/2023;0,56;0,58;0,549;0,579;0,579;512138;21;283836;0,5542
23/06/2023;0,595;0,595;0,54;0,565;0,565;742376;40;416562;0,5611
22/06/2023;0,563;0,59;0,555;0,59;0,59;100756;10;56817;0,5639
21/06/2023;0,57;0,594;0,57;0,579;0,579;612988;31;354306;0,5780
20/06/2023;0,573;0,593;0,571;0,591;0,591;207681;21;121083;0,5830
19/06/2023;0,581;0,599;0,571;0,583;0,583;427347;25;248194;0,5808
16/06/2023;0,625;0,625;0,578;0,59;0,59;150902;19;88443;0,5861
15/06/2023;0,60;0,60;0,56;0,599;0,599;523902;42;307676;0,5873
14/06/2023;0,60;0,616;0,585;0,598;0,598;824027;40;490955;0,5958
13/06/2023;0,61;0,647;0,58;0,628;0,628;541660;44;326159;0,6021
12/06/2023;0,649;0,649;0,57;0,608;0,608;293673;27;171284;0,5832
09/06/2023;0,58;0,628;0,58;0,608;0,608;722118;37;434232;0,6013
08/06/2023;0,598;0,627;0,58;0,60;0,60;985232;62;582611;0,5913
07/06/2023;0,609;0,638;0,558;0,61;0,61;1408286;80;826722;0,5870
06/06/2023;0,648;0,648;0,609;0,609;0,609;192505;13;119815;0,6224
05/06/2023;0,65;0,65;0,62;0,64;0,64;390825;37;249322;0,6379
02/06/2023;0,649;0,68;0,627;0,66;0,66;1470448;119;951957;0,6474
01/06/2023;0,575;0,588;0,556;0,588;0,588;520181;33;296762;0,5705
31/05/2023;0,616;0,616;0,561;0,593;0,593;232457;25;136225;0,5860
30/05/2023;0,636;0,636;0,53;0,617;0,617;1159959;117;673786;0,5809
29/05/2023;0,00;0,00;0,00;0,00;0,609;0;0;0;0,0000
26/05/2023;0,59;0,66;0,59;0,609;0,609;1035201;66;629646;0,6082
25/05/2023;0,608;0,608;0,57;0,599;0,599;1059467;62;620486;0,5857
24/05/2023;0,60;0,607;0,576;0,607;0,607;493694;54;291435;0,5903
23/05/2023;0,61;0,63;0,582;0,612;0,612;424927;46;258560;0,6085
22/05/2023;0,645;0,645;0,59;0,609;0,609;874085;69;533473;0,6103
19/05/2023;0,68;0,70;0,64;0,669;0,669;221263;32;142818;0,6455
18/05/2023;0,00;0,00;0,00;0,00;0,666;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;0,666;0;0;0;0,0000
16/05/2023;0,66;0,672;0,64;0,666;0,666;5735;9;3770;0,6573
