"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010721277
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,12;1,25;1,12;1,25;1,25;8599;9;10622;1,2352
03/11/2023;1,20;1,25;1,20;1,20;1,20;2426;3;3011;1,2412
02/11/2023;1,10;1,25;1,10;1,25;1,25;7522;6;9378;1,2467
01/11/2023;1,036;1,424;1,036;1,13;1,13;19650;12;25512;1,2983
31/10/2023;1,33;1,366;1,20;1,20;1,20;28836;10;36999;1,2831
30/10/2023;1,476;1,476;1,33;1,394;1,394;41755;16;57140;1,3684
27/10/2023;1,506;1,596;1,476;1,476;1,476;10796;8;16225;1,5029
26/10/2023;1,774;1,774;1,38;1,42;1,42;45848;21;67081;1,4631
25/10/2023;1,60;1,70;1,462;1,70;1,70;36747;25;55471;1,5095
24/10/2023;1,72;1,72;1,52;1,52;1,52;48573;14;75708;1,5586
23/10/2023;2,12;2,12;1,42;1,72;1,72;124367;43;188116;1,5126
20/10/2023;0,00;0,00;0,00;0,00;2,18;0;0;0;0,0000
19/10/2023;1,868;2,18;1,868;2,18;2,18;2815;5;5425;1,9272
18/10/2023;2,18;2,18;2,12;2,15;2,15;5187;9;11109;2,1418
17/10/2023;1,852;1,91;1,85;1,86;1,86;28234;9;52610;1,8634
16/10/2023;1,852;1,94;1,85;1,918;1,918;14210;9;26841;1,8889
13/10/2023;2,015;2,015;1,90;1,906;1,906;21234;9;42314;1,9928
12/10/2023;2,055;2,06;2,00;2,015;2,015;31552;15;64028;2,0293
11/10/2023;2,08;2,115;2,00;2,115;2,115;41156;18;82811;2,0121
10/10/2023;2,085;2,155;1,93;2,065;2,065;61559;15;125815;2,0438
09/10/2023;1,99;2,155;1,99;2,155;2,155;5130;6;10937;2,1320
06/10/2023;2,485;2,485;1,98;1,98;1,98;27368;10;55543;2,0295
05/10/2023;2,50;2,50;1,996;2,25;2,25;59389;29;126050;2,1224
04/10/2023;2,50;2,50;2,30;2,30;2,30;839;3;1982;2,3620
03/10/2023;2,17;2,475;2,14;2,30;2,30;19011;10;43854;2,3068
02/10/2023;2,315;2,315;2,20;2,285;2,285;2689;7;6156;2,2892
29/09/2023;2,50;2,50;2,21;2,21;2,21;20674;13;47941;2,3189
28/09/2023;2,50;2,84;2,33;2,495;2,495;103305;34;253566;2,4545
27/09/2023;2,84;2,84;2,335;2,435;2,435;22785;26;54065;2,3728
26/09/2023;3,00;3,00;2,455;2,455;2,455;10983;16;28249;2,5721
25/09/2023;2,58;2,58;2,30;2,50;2,50;26547;12;62822;2,3664
22/09/2023;2,28;2,435;2,28;2,42;2,42;9099;8;21152;2,3247
21/09/2023;2,25;2,38;2,25;2,38;2,38;2851;2;6421;2,2523
20/09/2023;2,29;2,38;2,29;2,38;2,38;14423;9;33441;2,3186
19/09/2023;2,31;2,48;2,31;2,38;2,38;972;5;2350;2,4173
18/09/2023;2,28;2,32;2,28;2,31;2,31;3500;4;8018;2,2909
15/09/2023;2,41;2,41;2,28;2,28;2,28;5145;5;12116;2,3550
14/09/2023;2,25;2,55;2,25;2,255;2,255;4438;12;10188;2,2955
13/09/2023;2,27;2,27;2,235;2,235;2,235;9414;4;21306;2,2632
12/09/2023;2,35;2,39;2,15;2,265;2,265;26873;20;60132;2,2376
11/09/2023;2,48;2,48;2,38;2,38;2,38;13381;5;31849;2,3801
08/09/2023;2,75;2,75;2,07;2,07;2,07;21200;11;45370;2,1401
07/09/2023;2,75;2,75;2,50;2,50;2,50;10899;13;29308;2,6891
06/09/2023;2,435;2,70;2,39;2,70;2,70;63979;12;158365;2,4753
05/09/2023;2,275;2,48;2,21;2,21;2,21;20195;11;47642;2,3591
04/09/2023;2,33;2,33;2,00;2,20;2,20;51001;17;111315;2,1826
01/09/2023;2,70;2,70;2,25;2,25;2,25;68860;22;168303;2,4441
31/08/2023;1,902;2,70;1,902;2,60;2,60;75424;49;182083;2,4141
30/08/2023;1,944;1,944;1,80;1,81;1,81;53060;14;98072;1,8483
29/08/2023;1,812;2,00;1,81;2,00;2,00;34762;10;64930;1,8679
28/08/2023;1,80;2,00;1,80;1,892;1,892;20300;6;38430;1,8931
25/08/2023;2,19;2,19;1,80;1,90;1,90;79494;31;148314;1,8657
24/08/2023;2,20;2,20;1,82;2,07;2,07;220974;79;431334;1,9520
23/08/2023;2,365;2,365;2,365;2,365;2,365;10000;1;23650;2,3650
22/08/2023;2,40;2,50;2,40;2,50;2,50;2003;2;4857;2,4250
21/08/2023;2,40;2,70;2,40;2,595;2,595;8727;8;22398;2,5665
18/08/2023;2,50;2,575;2,20;2,575;2,575;87759;44;206393;2,3518
17/08/2023;2,80;2,89;2,60;2,78;2,78;11968;12;31535;2,6350
16/08/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
15/08/2023;2,80;3,00;2,80;3,00;3,00;3678;4;10420;2,8331
14/08/2023;2,90;2,995;2,90;2,995;2,995;10324;6;30894;2,9925
11/08/2023;2,75;3,00;2,75;2,99;2,99;22709;11;62705;2,7612
10/08/2023;2,75;2,95;2,75;2,90;2,90;1056;5;3047;2,8849
09/08/2023;2,80;2,805;2,80;2,805;2,805;14048;8;39354;2,8014
08/08/2023;3,00;3,00;2,72;2,87;2,87;15703;13;44596;2,8399
07/08/2023;3,00;3,00;2,80;2,90;2,90;1707;5;4864;2,8493
04/08/2023;2,90;3,155;2,895;3,00;3,00;12794;7;38447;3,0051
03/08/2023;0,00;0,00;0,00;0,00;3,175;0;0;0;0,0000
02/08/2023;2,95;3,175;2,81;3,175;3,175;62292;29;183237;2,9416
01/08/2023;3,06;3,155;2,95;3,155;3,155;7302;12;22301;3,0541
31/07/2023;3,285;3,295;3,05;3,175;3,175;28533;18;88030;3,0852
28/07/2023;3,28;3,285;3,05;3,285;3,285;7533;8;23716;3,1482
