AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN
percent/trade;0,97; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hitrate;0,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of trades;767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Return;321,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.2017;100000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.2017;100000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.01.2017;100000;0,269633904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.01.2017;100010,0504;0,269707301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.2017;99914,54991;0,467430027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.2017;99792,2091;0,503589211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01.2017;100052,1589;0,357790474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.01.2017;99939,48962;0,245491754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.01.2017;100013,9681;0,246053622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.01.2017;99670,44886;0,36678434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.01.2017;99865,10024;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.01.2017;99865,10024;0,159338146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.01.2017;100154,2004;0,161764759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.01.2017;100037,3001;0,243335633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.01.2017;100316,9406;0,166620712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.01.2017;100684,0605;0,169659427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.01.2017;100753,7403;0,061885542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.01.2017;100762,3805;0,373165172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2017;100552,4623;0,387573585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.01.2017;100388,9245;0,675106394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.2017;100173,7561;0,83689102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.02.2017;100001,6409;0,836610289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.02.2017;100701,0416;0,837745083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.02.2017;100586,3068;0,720099998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.02.2017;100530,6466;0,826910221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.02.2017;100355,8865;0,685781983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.02.2017;101074,9851;0,470610588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.02.2017;101053,926;0,602549758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.02.2017;101706,0179;0,295268757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.02.2017;101842,3489;0,296212143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.2017;101881,5978;0,296483271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.02.2017;101862,8785;0,361794782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.02.2017;101944,0713;0,124798139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.2017;102054,0512;0,125741312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.2017;102061,1006;0,125801698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.02.2017;102070,9705;0,495320257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.02.2017;101918,5596;0,999767425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.02.2017;102038,3828;0,999767698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.02.2017;101884,582;0,999767347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.2017;102994,5124;0,478389035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.03.2017;102686,1339;0,803144934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.03.2017;102853,2165;0,999939894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.03.2017;102621,7976;0,999939758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.03.2017;102849,6215;0,798037314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.03.2017;103092,4816;0,861040093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.03.2017;103153,4782;0,861122263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.03.2017;103281,9458;0,722858517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.03.2017;103377,5806;0,392207572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.03.2017;103276,3602;0,451536825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.03.2017;103431,851;0,452361338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.03.2017;103353,4112;0,45194571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.03.2017;103051,2921;0,701039751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.03.2017;103176,4929;0,897527534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.03.2017;101607,0288;0,947764148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.03.2017;102021,0102;0,817670999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.03.2017;101894,4978;0,999145123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.03.2017;101393,0777;0,999140895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.2017;101251,5698;0,999139695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.2017;101870,0737;0,556670126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.03.2017;102201,3257;0,281486947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.03.2017;102413,1464;0,679281573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.03.2017;102199,903;0,999809468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.04.2017;102213,9708;0,999809494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
