AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,13
hitrate;0,62
Number of trades;135
Return;25,87
2017-01-03;100000,0;0,0
2017-01-04;100000,0;0,0
2017-01-05;100000,0;0,0
2017-01-06;100000,0;0,0
2017-01-09;100000,0;0,0
2017-01-10;100000,0;0,0
2017-01-11;100000,0;0,0
2017-01-12;100000,0;0,0
2017-01-13;100000,0;0,0
2017-01-17;100000,0;0,0
2017-01-18;100000,0;0,0
2017-01-19;100000,0;0,0
2017-01-20;100000,0;0,0
2017-01-23;100000,0;0,0
2017-01-24;100000,0;0,0
2017-01-25;100000,0;0,0
2017-01-26;100000,0;0,0
2017-01-27;100000,0;0,0
2017-01-30;100000,0;0,0
2017-01-31;100000,0;0,08312475
2017-02-01;100506,9;0,08774895056956289
2017-02-02;100491,82999999999;0,08761214717654163
2017-02-03;100529,50499999999;0,08795407875528684
2017-02-06;100612,389452;0,08870542187309706
2017-02-07;100697,32999999999;0,0
2017-02-08;100697,32999999999;0,0
2017-02-09;100697,32999999999;0,0
2017-02-10;100697,32999999999;0,0
2017-02-13;100697,32999999999;0,0
2017-02-14;100697,32999999999;0,0
2017-02-15;100697,32999999999;0,0
2017-02-16;100697,32999999999;0,0
2017-02-17;100697,32999999999;0,0
2017-02-21;100697,32999999999;0,0
2017-02-22;100697,32999999999;0,0
2017-02-23;100697,32999999999;0,0
2017-02-24;100697,32999999999;0,0
2017-02-27;100697,32999999999;0,0
2017-02-28;100697,32999999999;0,0
2017-03-01;100697,32999999999;0,0
2017-03-02;100697,32999999999;0,0
2017-03-03;100697,32999999999;0,0
2017-03-06;100697,32999999999;0,0
2017-03-07;100697,32999999999;0,0
2017-03-08;100697,32999999999;0,22004545664716238
2017-03-09;100747,32924999998;0,2204325353170591
2017-03-10;100798,47975299999;0,2208281292589387
2017-03-13;100853,50974999998;0,2212532788230506
2017-03-14;100773,169753;0,22063243391565646
2017-03-15;100812,11011099999;0,12301666778272125
2017-03-16;100770,22039499998;0,12265210985499903
2017-03-17;100680,76074999999;0,12187254452186887
2017-03-20;100627,51074999999;0,24452568504980138
2017-03-21;100255,70989199998;0,24172398927807898
2017-03-22;100231,40017799998;0,24154008011467337
2017-03-23;100315,76960599999;0,24217797413525435
2017-03-24;100139,88032099998;0,3661516346381215
2017-03-27;99997,42003499999;0,4702197350445873
2017-03-28;100139,15002699998;0,23062069755708176
2017-03-29;100046,58896299999;0,22990888351532537
2017-03-30;99974,18944699998;0,22935119733234363
2017-03-31;99922,58946299998;0,3224381039977974
2017-04-03;99927,36952;0,32247051538318133
2017-04-04;99952,299634;0,32263950486468107
2017-04-05;99980,25981099998;0,32282893345161007
2017-04-06;99957,88992699998;0,10374769054822569
2017-04-07;99938,17004299998;0,10357084128663209
2017-04-10;99968,32946299999;0,0
2017-04-11;99968,32946299999;0,0
2017-04-12;99968,32946299999;0,0
2017-04-13;99968,32946299999;0,0
2017-04-17;99968,32946299999;0,0
2017-04-18;99968,32946299999;0,0
2017-04-19;99968,32946299999;0,0
2017-04-20;99968,32946299999;0,0
2017-04-21;99968,32946299999;0,0
2017-04-24;99968,32946299999;0,0
2017-04-25;99968,32946299999;0,0
2017-04-26;99968,32946299999;0,0
2017-04-27;99968,32946299999;0,0
2017-04-28;99968,32946299999;0,0
2017-05-01;99968,32946299999;0,0
2017-05-02;99968,329463;0,2211590533798295
2017-05-03;99914,132325;0,34505928884870596
2017-05-04;99824,147516;0,34446890349340076
2017-05-05;99740,685379;0,34392036078009874
2017-05-08;100138,637215;0,2497258270682169
2017-05-09;100238,239688;0,25047134258489634
2017-05-10;100136,264661;0,5302014314767811
2017-05-11;100206,985615;0,5305329912253344
2017-05-12;100799,877347;0,5332943349419649
