AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,28
hitrate;0,72
Number of trades;591
Return;181,42
2017-01-03;100000,0;0,0
2017-01-04;100000,0;0,0
2017-01-05;100000,0;0,06199920072
2017-01-06;100000,720144;0,0620059556278309
2017-01-09;100005,03992800001;0,06204647290243918
2017-01-10;100023,03992800001;0,24654559399265688
2017-01-11;100139,600088;0,18481239980723418
2017-01-12;100111,75996;0,1845857038911655
2017-01-13;100157,040248;0,07759014935702614
2017-01-17;100048,560488;0,07659000703882271
2017-01-18;100089,360776;0,0
2017-01-19;100089,360776;0,0
2017-01-20;100089,360776;0,0
2017-01-23;100089,360776;0,0
2017-01-24;100089,360776;0,0
2017-01-25;100089,360776;0,0
2017-01-26;100089,360776;0,0
2017-01-27;100089,360776;0,0
2017-01-30;100089,36077599999;0,1393528388817972
2017-01-31;100022,93897199997;0,5236804016792894
2017-02-01;100423,51694299997;0,5868714298609128
2017-02-02;100277,60865799998;0,5862703098106823
2017-02-03;100430,477529;0,640144056702666
2017-02-06;100448,49291299998;0,45494256715807585
2017-02-07;100511,98245499999;0,6691013611945179
2017-02-08;100681,178672;0,48319526797047196
2017-02-09;101259,10772799999;0,48614489371397
2017-02-10;101182,55903899999;0,48575614159012837
2017-02-13;101797,81092799999;0,17106704428366176
2017-02-14;101913,309983;0,06829530228348997
2017-02-15;101891,989775;0,17025087348187473
2017-02-16;101943,98899499999;0,17067410890556162
2017-02-17;101903,689385;0,23941076374405698
2017-02-21;101989,229567;0,2400486834731577
2017-02-22;102305,128475;0,24239526955933471
2017-02-23;102211,78917700001;0,33621091906033135
2017-02-24;102151,310333;0,22584674253118275
2017-02-27;102130,94947300002;0,2189242327558205
2017-02-28;102175,22971900001;0,3053305608981539
2017-03-01;102425,37030300002;0,0868827691193551
2017-03-02;102379,37040300001;0,1621245576786007
2017-03-03;102434,41036100002;0,15275872575293886
2017-03-06;102425,52025900003;0,33532761968062397
2017-03-07;102476,99451600002;0,5782280332367509
2017-03-08;102503,90458000002;0,6332967647816405
2017-03-09;102716,54352800002;0,5271563542560173
2017-03-10;102898,66467200003;0,21999741030808462
2017-03-13;102918,50516800002;0,2201477781961093
2017-03-14;102955,70541600003;0,0
2017-03-15;102955,70541600003;0,0
2017-03-16;102955,70541600003;0,0
2017-03-17;102955,70541600003;0,08279210914595243
2017-03-20;102894,60532200003;0,0822474597139113
2017-03-21;102646,44532200003;0,5287529367991414
2017-03-22;103008,92754700003;0,5304112268916755
2017-03-23;102911,91677000004;0,52996856511664
2017-03-24;102855,81065200003;0,5297121708596495
2017-03-27;102907,08441300003;0,5299464931698199
2017-03-28;103569,10546800002;0,4270438485892436
2017-03-29;103935,35927600003;0,23113346047332325
2017-03-30;104113,62987300003;0,06912140179704057
2017-03-31;104084,38952900002;0,5244304191628227
2017-04-03;104187,89900300003;0,5249028920472355
2017-04-04;103960,14870500003;0,5238620748758189
2017-04-05;103803,91998000004;0,37936786003445105
2017-04-06;103875,13977100002;0,46567535984682806
2017-04-07;103707,83826500003;0,7137708946536008
2017-04-10;103870,98096000004;0,7806676925793806
2017-04-11;103542,12799900003;0,84648522877419
2017-04-12;103343,30661000003;0,9609946105439404
2017-04-13;102769,39196100003;0,9999445619859053
2017-04-17;104519,83271200002;0,6941574048718324
2017-04-18;104325,17071500003;0,6935867283042575
2017-04-19;104107,72964800002;0,4226848421129253
2017-04-20;104479,31867400002;0,0
2017-04-21;104479,31867400004;0,15966183712443374
2017-04-24;104869,95898300003;0,16279209447166335
2017-04-25;104988,73891900002;0,08658814554400579
2017-04-26;105006,24871300004;0,0
2017-04-27;105006,24871300004;0,061935360397222125
2017-04-28;104979,26892600002;0,36847780415833675
