AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,70
hitrate;0,71
Number of trades;360
Return;54,05
2017-01-03;100000,0;0,08313815326
2017-01-04;100193,969674;0,08491314425091334
2017-01-05;99977,99434800001;0,08293634742399562
2017-01-06;100088,834674;0,08395192158414398
2017-01-09;100429,504674;0,08705927633897353
2017-01-10;100363,48967400001;0,08645878125786143
2017-01-11;100256,725;0,14793311804270487
2017-01-12;100072,683182;0,29200761975028305
2017-01-13;100040,474431;0,35407931686121175
2017-01-17;99400,59367599999;0,4747672183309547
2017-01-18;99747,735652;0,30939435148351874
2017-01-19;99429,64373899999;0,3071849895306402
2017-01-20;99443,68226;0,30728279461843006
2017-01-23;99187,11193099999;0,3675309385896792
2017-01-24;99185,68949799999;0,3675218682805552
2017-01-25;99205,66718799999;0,36764923451280207
2017-01-26;99204,47236700001;0,3676416184652999
2017-01-27;99298,969086;0,3682433950279088
2017-01-30;99284,197154;0,2420532009915315
2017-01-31;99606,56990100001;0,0
2017-02-01;99606,56990100001;0,0
2017-02-02;99606,56990100001;0,0
2017-02-03;99606,56990100001;0,0
2017-02-06;99606,56990100001;0,0
2017-02-07;99606,56990100001;0,0
2017-02-08;99606,56990100001;0,0
2017-02-09;99606,56990100001;0,0
2017-02-10;99606,56990100001;0,0832702130014491
2017-02-13;99224,04931700003;0,16302211524669777
2017-02-14;99283,74991400001;0,24579022677062418
2017-02-15;99400,68474000003;0,2466774780891715
2017-02-16;99124,41671800002;0,24457790535071658
2017-02-17;99133,612663;0,24464798067479257
2017-02-21;99728,77235600002;0,24915575777169446
2017-02-22;99755,58516300001;0,1657143363951859
2017-02-23;98222,78646900001;0,15269503586862246
2017-02-24;98367,55956600001;0,0
2017-02-27;98367,55956600001;0,0
2017-02-28;98367,55956600001;0,0
2017-03-01;98367,55956600001;0,0
2017-03-02;98367,55956600001;0,0
2017-03-03;98367,55956600001;0,0
2017-03-06;98367,55956600001;0,06223088208153381
2017-03-07;98373,71972000001;0,1235010737072899
2017-03-08;98316,29990700001;0,18407527881052277
2017-03-09;98333,43948500001;0,24527830871490233
2017-03-10;98209,99988700001;0,30502739317246813
2017-03-13;98175,789945;0,30478522580529466
2017-03-14;98170,509888;0,24224301292853848
2017-03-15;98080,269696;0,24154582748834125
2017-03-16;98218,509888;0,24261333350681752
2017-03-17;97807,629984;0,23943162916667038
2017-03-20;97634,829696;0,23808552722812135
2017-03-21;96757,389792;0,45906126482416215
2017-03-22;96608,650387;0,45822843147757053
2017-03-23;96675,65898499999;0,45860394847558333
2017-03-24;96349,94039;0,4567737162976775
2017-03-27;96013,259147;0,45486883251337484
2017-03-28;96713,1798;0,39620328794111265
2017-03-29;96567,97913600001;0,39529541263610607
2017-03-30;96973,739888;0,16892738008165786
2017-03-31;96754,77933599999;0,16704662420728938
2017-04-03;96695,89951999999;0,16653942440102348
2017-04-04;96657,259704;0,2285504457052779
2017-04-05;96412,68044;0,5173939903791352
2017-04-06;96620,09998999999;0,18726082769395408
2017-04-07;96675,33552999998;0,18772518695182855
2017-04-10;96833,15578599999;0,1856060016335695
2017-04-11;96778,21977299999;0,3719239006403169
2017-04-12;96408,250309;0,6396426160038217
2017-04-13;96305,13021199999;0,7849288357078704
2017-04-17;96834,04051999998;0,786103560578761
2017-04-18;96268,03112599999;0,7848459531192595
2017-04-19;96107,85163099998;0,784487363618072
2017-04-20;97672,02199299999;0,7879386946296206
2017-04-21;97396,06395599998;0,6624572395671773
2017-04-24;98296,85282899998;0,41183431931868336
2017-04-25;98454,68575899999;0,0
2017-04-26;98454,68575899999;0,0
