AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,04
hitrate;0,66
Number of trades;666
Return;120,04
2017-01-03;100000,0;0,12496225489999999
2017-01-04;100291,54951;0,12750600686177394
2017-01-05;99966,92402;0,24957354544597696
2017-01-06;100134,9748;0,3751816103717639
2017-01-09;100644,323415;0,5032509306873758
2017-01-10;100378,888797;0,5019373636511686
2017-01-11;100429,174768;0,3764603321429136
2017-01-12;99966,353431;0,49851933101068685
2017-01-13;100827,240722;0,502801093870839
2017-01-17;100108,191104;0,49922985080291876
2017-01-18;100626,439367;0,3763427277386038
2017-01-19;101457,45166899999;0,24405176771816758
2017-01-20;101541,98091999999;0,24468106150671304
2017-01-23;101592,27102699998;0,3694726903390539
2017-01-24;101950,58067599998;0,37168870536821313
2017-01-25;102278,291701;0,2496342117899332
2017-01-26;102175,81224999999;0,2488816161184958
2017-01-27;102814,48041999999;0,2535474511421939
2017-01-30;102589,391152;0,500977832189796
2017-01-31;102096,15149399999;0,7465220760596362
2017-02-01;102722,15074699999;0,7480667963549644
2017-02-02;102213,31957699999;0,7468126401715721
2017-02-03;102693,03009699998;0,49806846215061884
2017-02-06;102988,329651;0,0
2017-02-07;102988,329651;0,0
2017-02-08;102988,329651;0,0
2017-02-09;102988,329651;0,12456226792367864
2017-02-10;103048,850363;0,24994404095989728
2017-02-13;102311,238567;0,4941047948304817
2017-02-14;101980,101272;0,49246211387896455
2017-02-15;102289,075738;0,4939951832337085
2017-02-16;101838,10663600001;0,491754445013384
2017-02-17;101870,863629;0,491917873451054
2017-02-21;102826,50359400001;0,2497890777402523
2017-02-22;102754,81701900001;0,2492656954492357
2017-02-23;100379,87766900001;0,4790242100568902
2017-02-24;100632,690768;0,2471818999886051
2017-02-27;100818,30135200001;0,24856786866011665
2017-02-28;100568,291085;0,6196847920118956
2017-03-01;101318,181873;0,6224996359592936
2017-03-02;100556,86954000001;0,7444291905807869
2017-03-03;100467,376192;0,6110884615088485
