AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,00
hitrate;0,65
Number of trades;697
Return;225,88
2015-01-02;100000,0;0,33245188986
2015-01-05;99466,65068200002;0,8276776104907912
2015-01-06;98302,32994200001;0,9921865484525831
2015-01-07;99846,57138600001;0,9923073924188076
2015-01-08;103138,28012200001;0,9925529057582552
2015-01-09;102943,619598;0,9925388237270129
2015-01-12;101879,12225700001;0,9924608646503407
2015-01-13;101270,370577;0,9924155457551525
2015-01-14;101010,37972900001;0,6505275967409783
2015-01-15;99736,910741;0,8126157058791149
2015-01-16;100404,38037200001;0,4878549150696212
2015-01-20;100693,87905500001;0,65598941824379
2015-01-21;101268,73905499998;0,33285217446711896
2015-01-22;101666,05905499999;0,502055848249089
2015-01-23;101527,600945;0,5013767776762078
2015-01-26;100895,990945;0,6643334512125297
2015-01-27;98782,18846099998;0,823620537715878
2015-01-28;98569,947926;0,8232407579531219
2015-01-29;99835,728042;0,5088613132628014
2015-01-30;98221,498274;0,8334607260890254
2015-02-02;97979,72649500001;0,8330497788658886
2015-02-03;98429,63741;0,5004011256674201
2015-02-04;98479,49376499999;0,3353875692417356
2015-02-05;98813,714748;0,33763551043581497
2015-02-06;98184,59474799999;0,49949617210187647
2015-02-09;97814,31594999999;0,6086016945457156
2015-02-10;98806,968933;0,166654342460053
2015-02-11;99096,048933;0,3356570751724827
2015-02-12;99320,09013599998;0,33715566612099157
2015-02-13;99325,93904099999;0,33719469835744537
2015-02-17;99482,23953299999;0,4491869378471002
2015-02-18;99433,525356;0,7263435767908428
2015-02-19;100300,40266200001;0,33254850568647665
2015-02-20;100495,40363700001;0,0
2015-02-23;100495,40363700002;0,27733793928201594
2015-02-24;100367,23193600003;0,3875018946900928
2015-02-25;101001,21379600001;0,3332241099990908
2015-02-26;103650,34506800002;0,4612689983485698
2015-02-27;102963,458281;0,9011467138737489
2015-03-02;104024,00553300002;0,6798950950755637
2015-03-03;103733,253826;0,7900429737166779
2015-03-04;104568,28866;0,7366188697459743
2015-03-05;105381,18564100002;0,16608667379796915
2015-03-06;105160,72458400001;0,441922614691367
2015-03-09;105109,724037;0,5527602487715396
2015-03-10;103732,597685;0,8237496209290075
2015-03-11;103527,350518;0,823400197411396
2015-03-12;105314,187362;0,33051700698551517
2015-03-13;104926,10868499998;0,49363358626492654
2015-03-16;105611,85666699999;0,4969214722782012
2015-03-17;106073,71863699998;0,33469649321426015
2015-03-18;106442,21753699997;0,3369997485962843
2015-03-19;106882,21506199997;0,0
2015-03-20;106882,21506199997;0,0
2015-03-23;106882,21506199997;0,0
2015-03-24;106882,21506199997;0,16564925534832667
2015-03-25;105726,44572699997;0,48874110181880454
2015-03-26;105822,24630099996;0,6548564507021353
2015-03-27;107075,16839299996;0,6588950899526419
2015-03-30;107815,24540099996;0,3294587770392493
2015-03-31;107448,36687299996;0,6598492194097363
2015-04-01;106947,18411599996;0,9899632069056097
2015-04-02;107169,30536799997;0,6554570644532204
2015-04-06;107775,24849399997;0,6573941829133838
2015-04-07;107673,00763599997;0,6570688617074122
2015-04-08;107977,32692499997;0,6580353660945198
2015-04-09;108051,39649599997;0,32624223550229614
2015-04-10;107995,62778299997;0,491471567123526
2015-04-13;108204,48792999997;0,49561413262907356
2015-04-14;107945,07279299997;0,494401985325826
2015-04-15;108412,08350899996;0,4965799684730789
2015-04-16;108372,32106599997;0,32843921970004697
2015-04-17;107383,99992999996;0,48850647438347866
2015-04-20;108229,62955099996;0,4925029222878599
2015-04-21;108366,64081399997;0,17053237531574894
2015-04-22;108589,84948799996;0,172237363116217
2015-04-23;108099,23103499998;0,5010964577394786
2015-04-24;107050,25883999998;0,6625361800106042
2015-04-27;107408,18162299998;0,3288771865814348
2015-04-28;106614,38015299996;0,6568707478062414
2015-04-29;106447,18196099998;0,6563317895216518
2015-04-30;105715,23481999997;0,8201129360741652
2015-05-01;107598,24687299997;0,6607521224757086
2015-05-04;107036,34716699996;0,6589712014363852
2015-05-05;105197,81628499996;0,6530110779285747
2015-05-06;105434,09569699997;0,8203409745986093
2015-05-07;107582,06975899996;0,4892149976097396
2015-05-08;107902,84964499997;0,0
2015-05-11;107902,84964499997;0,16617040019786777
2015-05-12;107923,28949899996;0,33286823041409314
2015-05-13;107776,51366499996;0,498506958844483
2015-05-14;108785,86189499998;0,33279554318320836
2015-05-15;108259,91021999996;0,49595069650335816
2015-05-18;108299,29999599996;0,4961340253813696
2015-05-19;107947,66584599997;0,6600068012831428
2015-05-20;108060,12968999997;0,663914348750214
2015-05-21;108163,00894499998;0,8299246764635207
2015-05-22;109069,29996799998;0,8313378856708793
2015-05-26;108033,48001999999;0,99567469002282
2015-05-27;111798,71230399997;0,6452552193431569
2015-05-28;111628,31121399997;0,32310352551026106
2015-05-29;111196,31121399999;0,3204737685175421
2015-06-01;111691,31076399997;0,1654033715213102
2015-06-02;111381,35189799996;0,32875019374457337
2015-06-03;111101,95037399998;0,32706212059895234
2015-06-04;110629,51011999996;0,32418835805290475
2015-06-05;111292,45037399996;0,6613164661993484
2015-06-08;109753,08077999997;0,9893350033303734
2015-06-09;110192,17168499996;0,9893775009322255
2015-06-10;111807,42099699996;0,3315282713031597
2015-06-11;111910,96032899996;0,49835646861612787
2015-06-12;111481,37880299999;0,6627475403364116
2015-06-15;111981,26856099998;0,8309118484607485
2015-06-16;111915,70190599997;0,5018435683240704
2015-06-17;111598,02685499997;0,33156025754896407
2015-06-18;112205,55632899997;0,3351794797908756
2015-06-19;112176,62606599997;0,3350080231053614
2015-06-22;112279,19606599997;0,0
2015-06-23;112279,19606599997;0,16651775683368655
2015-06-24;112058,75632999997;0,33100537146573566
2015-06-25;111862,65500499998;0,49644971407587063
2015-06-26;110696,75616899997;0,8244053144581357
2015-06-29;108572,08776499997;0,9873101630597536
2015-06-30;108983,29919599998;0,6509863174393968
2015-07-01;110131,18310299996;0,6546240445412608
2015-07-02;110636,72129899997;0,3265232243855959
2015-07-06;109990,34437699996;0,4884999855972405
2015-07-07;110369,68321499997;0,3297840298508101
2015-07-08;109057,22513299996;0,6542830234125285
2015-07-09;108331,37325099995;0,6519666185653938
2015-07-10;110492,03215499996;0,49072822003976857
2015-07-13;110766,99154499995;0,49199239681309176
2015-07-14;111532,83470899996;0,4954806444773406
2015-07-15;111390,87458499995;0,3240057177795074
2015-07-16;112207,39348899997;0,0
2015-07-17;112207,39348899997;0,33186182800557157
2015-07-20;112170,83328299996;0,4974557960911285
2015-07-21;112299,91174599997;0,6645241102752524
2015-07-22;111272,23235099998;0,8279959679641677
2015-07-23;111526,90196999996;0,9944057243680291
2015-07-24;110811,02865499997;0,9943695836274342
2015-07-27;108505,95201599998;0,9942499722972987
2015-07-28;110564,00075099997;0,3318137018903795
2015-07-29;111218,49959599998;0,33574584593067996
2015-07-30;110533,19998099997;0,4979268664298204
2015-07-31;109709,76070399997;0,6606928136099494
2015-08-03;109951,21070899998;0,33180172036990396
2015-08-04;109275,51012899997;0,32766994404995764
2015-08-05;109646,70983899997;0,329946060881547
2015-08-06;109217,50896899997;0,4936591230834924
2015-08-07;108852,09070899998;0,49195932842631546
2015-08-10;110195,13935799999;0,3295832479235695
2015-08-11;110844,88244299998;0,4442443686592562
2015-08-12;110763,10481099997;0,5548098123184527
2015-08-13;111131,23952499998;0,556284554822165
2015-08-14;111330,72622899998;0,6679115571118099
2015-08-17;111963,14042699998;0,4983725008890869
2015-08-18;111804,36064899998;0,6638475439523375
2015-08-19;111110,03898699996;0,6640526738779445
2015-08-20;106268,21959499997;0,8149218932249301
2015-08-21;101726,33928899997;0,9733195816740311
2015-08-24;97572,89942099998;0,9721838614707002
2015-08-25;98896,18098899997;0,9725560556549514
2015-08-26;105476,64025299998;0,6589447645022347
2015-08-27;109530,56216499998;0,6715678284677415
2015-08-28;110445,76207699998;0,11076495338473107
2015-08-31;110175,36228499998;0,5523096202633014
2015-09-01;107198,632604;0,9829248189968826
2015-09-02;109179,08878999998;0,6477127719120251
2015-09-03;107057,06872899996;0,8072101241698851
2015-09-04;105993,84041499997;0,9710099314736678
2015-09-08;107591,67847799997;0,9714404613770544
2015-09-09;108750,818937;0,797787642153395
2015-09-10;109380,91044099999;0,7989524915605654
2015-09-11;109665,49073699997;0,2863090333430348
2015-09-14;109079,45073699998;0,2824746589372809
2015-09-15;110196,79138099997;0,2897500089417781
2015-09-16;111781,03073699996;0,16586079572500448
2015-09-17;111656,95017299998;0,4972471445169894
2015-09-18;110766,87004599997;0,7696416850417142
2015-09-21;110882,10981799997;0,8802379464748942
2015-09-22;109527,20920499996;0,9893390961344182
2015-09-23;109445,98933099996;0,9893311846771415
2015-09-24;110904,18920999998;0,9894714613008082
2015-09-25;114375,43775399998;0,6389726687926415
2015-09-28;111700,28884599998;0,7968416552862602
2015-09-29;110663,83675399999;0,9614702855596965
2015-09-30;115133,77182299996;0,6556902812500331
2015-10-01;116777,71220599997;0,49664426402438244
2015-10-02;117014,24195499998;0,1675819113158994
2015-10-05;116678,75179599997;0,3314157867116099
2015-10-06;115367,66179599996;0,4348228086801644
2015-10-07;115800,53101999995;0,436935474400038
2015-10-08;115188,14183899996;0,43394198376656407
2015-10-09;115364,58206299997;0,11153440244748025
2015-10-12;115505,34261499996;0,11261713078811947
2015-10-13;115486,02275299997;0,22268704167779427
2015-10-14;115537,12233899996;0,3894924777679858
2015-10-15;115359,33368299998;0,38417273762851967
2015-10-16;115144,83016699998;0,31894865974213155
2015-10-19;116146,53165099997;0,3248223619398556
2015-10-20;115144,83016699998;0,5954219011011137
2015-10-21;114791,561536;0,5941768204591384
2015-10-22;114880,81180299998;0,7610407649619072
2015-10-23;115676,73096399999;0,7626849351617369
2015-10-26;117242,36204299999;0,3238489953151447
2015-10-27;117080,52319899999;0,3229143608090993
2015-10-28;117216,34915299999;0,0
2015-10-29;117216,34915299999;0,27642116487272234
2015-10-30;117603,963712;0,5563574313126974
2015-11-02;117732,14476599998;0,6674681774649358
2015-11-03;118213,68265;0,6688227302256369
2015-11-04;119129,48565799999;0,6713686418290102
2015-11-05;120059,244926;0,45723076377695926
2015-11-06;120048,92369200001;0,3911227835200407
2015-11-09;119698,25338899999;0,7214967289400437
2015-11-10;118867,69627399999;0,6571585280994978
2015-11-11;118112,35437800002;0,6549660180206284
2015-11-12;117642,39652399998;0,6535876762448808
2015-11-13;115646,09627400001;0,814241235596037
2015-11-16;117561,75567399999;0,8172681597953455
2015-11-17;117348,916516;0,48200974399527446
2015-11-18;118928,9135;0,32151239145054494
2015-11-19;118928,9135;0,5424865816923485
2015-11-20;121543,411491;0,22054868491152177
2015-11-23;121627,241446;0,22108591134115818
2015-11-24;121289,72146100001;0,4404521538882223
2015-11-25;121392,19427500002;0,4409244943274175
2015-11-27;121681,27208200001;0,2175186764086709
2015-11-30;121377,56233300001;0,6594932327639663
2015-12-01;123135,86692100001;0,6643554603670763
2015-12-02;122421,42501300003;0,8289714312280172
2015-12-03;121097,02048100001;0,9935299926960387
2015-12-04;123253,115635;0,3352905183377355
2015-12-07;122816,21614900001;0,4431628278139487
2015-12-08;122744,45482300001;0,4428372784936166
2015-12-09;121832,55263300001;0,6595192813044275
2015-12-10;121783,057229;0,7703988118115532
2015-12-11;119020,21684600001;0,8757517449902295
2015-12-14;120639,936176;0,5499066269665165
2015-12-15;119936,735918;0,5472676875821929
2015-12-16;121831,695728;0,554309447377078
2015-12-17;121642,256706;0,7198678633169487
2015-12-18;119006,98456200001;0,9907909173647783
2015-12-21;119273,49199000001;0,652626972609524
2015-12-22;119254,71180000002;0,8180466594863717
2015-12-23;120681,272776;0,5010082914871626
2015-12-24;120500,63647200001;0,7776153380963529
2015-12-28;120623,06453700001;0,5525861253968913
2015-12-29;121515,413901;0,22350547812911242
2015-12-30;120965,93298900002;0,49661791127972194
2015-12-31;119864,82216700002;0,8245191029717234
2016-01-04;116415,76099100003;0,9859328290855167
2016-01-05;114135,38407100004;0,9856517729332622
2016-01-06;116349,04849600003;0,9859247632174978
2016-01-07;112638,76934000003;0,9854611301544248
2016-01-08;111266,01044500002;0,9852817549541822
2016-01-11;113091,66763900004;0,9855193539790434
2016-01-12;114166,14174700002;0,31067143823253546
2016-01-13;112361,61174700002;0,520981753197065
2016-01-14;113314,25296900001;0,5250088946734288
2016-01-15;111093,85278700001;0,7363003326910622
2016-01-19;112101,01230300002;0,44626260954524144
2016-01-20;111830,07103200002;0,5557150076763978
2016-01-21;109894,36258600003;0,5478892539995536
2016-01-22;110302,88311800003;0,7154974460420159
2016-01-25;109499,07323000002;0,8793970409205077
2016-01-26;109103,74161900002;0,6478858502749109
2016-01-27;106168,02132600002;0,7484631318313921
2016-01-28;110304,72398700003;0,7578963926590545
2016-01-29;111940,242111;0,7614336803245507
2016-02-01;114248,06763700001;0,1249137932848344
2016-02-02;114188,54825700002;0,40159110127918507
2016-02-03;113122,48419200002;0,7838824938505996
2016-02-04;112684,245427;0,9997253428650763
2016-02-05;105232,41484000003;0,9997058935495582
2016-02-08;102964,425931;0,9996994152910564
2016-02-09;103618,835153;0,9997013136467485
2016-02-10;105664,07430500002;0,3423684824851406
2016-02-11;104805,17471400002;0,503154060149244
2016-02-12;105365,24572800001;0,16653137623098732
2016-02-16;105791,316661;0,16988814279145498
2016-02-17;105909,49572800001;0,0
2016-02-18;105909,49572800001;0,11039718424330933
2016-02-19;106033,79561500001;0,11144003599479181
2016-02-22;106326,466067;0,11388585457518778
2016-02-23;106134,365502;0,22257672775699444
2016-02-24;106452,44505400001;0,22489966591049568
2016-02-25;106719,005726;0,0
2016-02-26;106719,005726;0,0
2016-02-29;106719,005726;0,16621144358805157
2016-03-01;107102,04515;0,16919340241001923
2016-03-02;106900,44601400002;0,4445733621052991
2016-03-03;106508,66589300001;0,4425302878298254
2016-03-04;106829,774413;0,610601110864671
2016-03-07;104502,905733;0,8784207468310817
2016-03-08;105069,02653300001;0,8790758261283642
2016-03-09;105166,08703700002;0,653677470949489
2016-03-10;105419,465807;0,44473911683288786
2016-03-11;106140,987479;0,4485136507837633
2016-03-14;106354,824999;0,11071993809505794
2016-03-15;106322,42547900001;0,2208978974491026
2016-03-16;106680,024759;0,22350950493183508
2016-03-17;106768,82547900002;0,16637065585678643
2016-03-18;106837,62547900001;0,1669074863846076
2016-03-21;106901,625639;0,27801279230647635
2016-03-22;106822,88572500001;0,3877670854786299
2016-03-23;106810,53588500002;0,4966762675558314
2016-03-24;106149,96851000004;0,6596477839689939
2016-03-28;106981,85666000002;0,6622943539966787
2016-03-29;108101,18709400002;0,6657911167748382
2016-03-30;107728,47829300002;0,8307302045759527
2016-03-31;107323,56880300003;0,8300915848645326
2016-04-01;108926,22610800002;0,16621671690019438
2016-04-04;108378,66688800002;0,6054422231158234
2016-04-05;108251,93581300002;0,7714469834909979
2016-04-06;109096,04699;0,8837184609982905
2016-04-07;108980,49463400003;0,9938144289924179
2016-04-08;107277,89374400003;0,9937162581732947
2016-04-11;105465,30475000004;0,9936082620763487
2016-04-12;107840,61733600002;0,9937490473937134
2016-04-13;109351,25911600002;0,6652910255457254
2016-04-14;109721,18584;0,16645309175415307
2016-04-15;109724,25522600001;0,332348939246743
2016-04-18;109880,204894;0,4437877575223081
2016-04-19;108607,855193;0,713751318283986
2016-04-20;109246,80371400001;0,38252605596043293
2016-04-21;108988,31581200002;0,3189578702910143
2016-04-22;109325,03544600001;0,6532522044255418
2016-04-25;108325,83367600001;0,8162176586099905
2016-04-26;107893,79628400001;0,9818064144222618
2016-04-27;107263,12505300003;0,9816994422358095
2016-04-28;109119,026247;0,9820106989265405
2016-04-29;109551,17469800002;0,9820816616397647
2016-05-02;111400,665382;0,3059071527907259
2016-05-03;110826,04538200001;0,46879630313361637
2016-05-04;110424,445692;0,6333421059868334
2016-05-05;109333,405182;0,7963274749567014
2016-05-06;110313,317005;0,4967457171242187
2016-05-09;109975,74586200001;0,49520097539813673
2016-05-10;110254,01562600001;0,1630341141040591
2016-05-11;110277,271626;0,44069244727797563
2016-05-12;110138,04905;0,43998544148898744
2016-05-13;109966,552592;0,6053616343142769
2016-05-16;110084,79236200001;0,4428137503925285
2016-05-17;109992,510905;0,6087812474417846
2016-05-18;109665,45257800001;0,6076145048834415
2016-05-19;109994,933644;0,6087898643925654
2016-05-20;110120,05232300001;0,4950077532483592
2016-05-23;109590,684073;0,6587074641026454
2016-05-24;110516,77153900001;0,3333439671461954
2016-05-25;110576,242165;0,1665883222049898
2016-05-26;110526,89150700001;0,3324324017352191
2016-05-27;110757,190849;0,33382048658499197
2016-05-31;110118,932165;0,3299592535419497
2016-06-01;109928,11150700001;0,49501205482398297
2016-06-02;109618,11048900001;0,6598429677298466
2016-06-03;108309,87036500001;0,6557343202300675
2016-06-06;109283,169769;0,65880042438541
2016-06-07;108483,670129;0,6562858621702153
2016-06-08;108127,93084900001;0,32581406194850726
2016-06-09;107850,72904900002;0,3240812451450376
2016-06-10;106648,33048900001;0,4826727265206406
2016-06-13;106278,488857;0,813625031593631
2016-06-14;106780,10669700001;0,8145005599291416
2016-06-15;106612,18524400001;0,6623023082811615
2016-06-16;106708,91455900001;0,6626084239091955
2016-06-17;105736,77194500001;0,6595064498022774
2016-06-20;106222,17578700001;0,6610624043495992
2016-06-21;106622,01994500001;0,32933777747892584
2016-06-22;106477,732094;0,4949376709345749
2016-06-23;107123,34797900001;0,16817898562628716
2016-06-24;106546,504977;0,4965088093825293
2016-06-27;105672,46381200002;0,6583683659517322
2016-06-28;107697,63702200001;0,6647924923494334
2016-06-29;108548,55675500001;0,6674202074608687
2016-06-30;108587,84115300002;0,3357219306868302
2016-07-01;108559,13211000004;0,3355462587992128
2016-07-05;108562,32051500003;0,16664344787564064
2016-07-06;108546,72171500004;0,16652368965558673
2016-07-07;108589,92171500003;0,1668552690143174
2016-07-08;109087,92099500002;0,17065867339110155
2016-07-11;109354,32123500004;0,17267904831506767
2016-07-12;109501,92063500003;0,0
2016-07-13;109501,92063500003;0,0
2016-07-14;109501,92063500003;0,0
2016-07-15;109501,92063500003;0,0
2016-07-18;109501,92063500002;0,1661061292854281
2016-07-19;109501,92063500002;0,1661061292854281
2016-07-20;109615,38082100003;0,1669692723312935
2016-07-21;109232,21970500002;0,49548254901500066
2016-07-22;109934,00030300001;0,498703213754552
2016-07-25;109751,74060100003;0,49787073308158647
2016-07-26;109910,90269700001;0,1654339988465612
2016-07-27;110228,90194700002;0,16784163747630912
2016-07-28;110477,90254700002;0,0
2016-07-29;110477,90254700002;0,1665281451209048
2016-08-01;110451,58254700001;0,33265906679395035
2016-08-02;109823,663299;0,4954009729112305
2016-08-03;109913,92393800002;0,662309439130416
2016-08-04;110367,92605000001;0,663698540414858
2016-08-05;111352,76899800003;0,3322488909159007
2016-08-08;111380,78203200002;0,4986584368032442
2016-08-09;111536,74990400003;0,16664965206533597
2016-08-10;111865,74990400003;0,16910055651737596
2016-08-11;112063,14896400002;0,0
2016-08-12;112063,14896400002;0,16590074753273643
2016-08-15;112042,90878000003;0,4987290414757116
2016-08-16;111813,22554200003;0,6640873018559715
2016-08-17;111509,79820100003;0,6631732557501553
2016-08-18;111859,46754200003;0,6642261660516351
2016-08-19;111382,82925200003;0,6627892958705249
2016-08-22;111458,76857000003;0,6630190449626998
2016-08-23;111935,21288300003;0,6644533805527402
2016-08-24;111682,49093900002;0,6636940852213381
2016-08-25;111981,18404600002;0,0
2016-08-26;111981,18404600002;0,0
2016-08-29;111981,18404600002;0,0
2016-08-30;111981,18404600002;0,33234328864313667
2016-08-31;112075,99671000002;0,3329081046010533
2016-09-01;112218,85446600002;0,33375733133461755
2016-09-02;112385,02204600003;0,3333733659336279
2016-09-06;112567,19110000004;0,3305785663154918
2016-09-07;112239,08980400003;0,6610693565456524
2016-09-08;111767,49390600005;0,8262478496714551
2016-09-09;108904,29820900004;0,9870300572316317
2016-09-12;110598,27208600004;0,9872287108255932
2016-09-13;109706,04707800003;0,9871248435922974
2016-09-14;110678,49354800004;0,987237967650983
2016-09-15;112072,08427200004;0,3265644668673642
2016-09-16;112491,94887000004;0,16621429522576636
2016-09-19;112633,69887000004;0,1672636181623074
2016-09-20;112811,35943700004;0,3350604106682075
2016-09-21;114354,39911900004;0,16589864874597482
2016-09-22;114374,83911900004;0,16604771152718578
2016-09-23;114065,31868100003;0,32960833726459005
2016-09-26;113933,45871100001;0,828547480116883
2016-09-27;115604,44062600003;0,8310257072373507
2016-09-28;115989,09718400003;0,5029099388235134
2016-09-29;115400,36549900004;0,5003739618528362
2016-09-30;115857,76074300002;0,33070396067804997
2016-10-03;115825,98933100002;0,6636904737788893
2016-10-04;115700,04587100004;0,9964596862177848
2016-10-05;116282,00836000004;0,6661907024702508
