AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN
percent/trade;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hitrate;0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of trades;1711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Return;484,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.2007;100000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.2007;100000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.01.2007;99950,05417;0,499707883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.01.2007;100270,6987;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.01.2007;100220,6179;0,499705226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.01.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.02.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.02.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.02.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.02.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.02.2007;100470,4939;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.02.2007;100420,3108;0,499730111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.02.2007;101475,6612;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
