AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;percent/trade;1,95
hitrate;0,74
Number of trades;121
Return;40,67
20190102;100000,0;0,0
20190103;100000,0;0,4515275967
20190104;101521,29959400001;0,4597464714366056
20190107;102189,01972899999;0,7310122015858876
20190108;102649,108762;0,7322178461117266
20190109;103315,27860399999;0,9980390089274545
20190110;104040,659155;0,7126114898171225
20190111;104481,808795;0,5243658091380767
20190114;104111,67178;0,5226748381198648
20190115;104625,09178;0,5250171852609102
20190116;104243,012377;0,5232762421880601
20190117;103807,19998900002;0,5212748191718303
20190118;104272,85939200001;0,12483910921693502
20190122;104129,01586400002;0,12363016443767894
20190123;103641,07139200001;0,11950419573678811
20190124;103809,89251000002;0,12093610441597016
20190125;104048,05203800002;0,14602791715361413
20190128;103941,46139200003;0,14515217964946964
20190129;103886,55203800002;0,4646922954603564
20190130;105366,38753500002;0,47221051224208116
20190131;106303,09650800002;0,4768612248297499
20190201;107428,67561900002;0,7931644823137879
20190204;108420,99509400003;0,6103106614510481
20190205;108798,99555800002;0,35196307794575304
20190206;109272,68611200002;0,5159949087113
20190207;108404,27587600003;0,8369303490554131
20190208;108871,42746200002;0,6312129986720902
20190211;109780,49772000003;0,6342668497786802
20190212;110948,11539400004;0,16726790839210237
20190213;110675,65550800003;0,30425439086345374
20190214;110349,92988900005;0,7746506995879943
20190215;110827,94165600004;0,7756226531916848
20190219;110768,31621700004;0,6240212802060415
20190220;110581,25525300004;0,2750680237297703
20190221;109442,21007300005;0,38948748986855614
20190222;109920,85686800005;0,5430727177980933
20190225;110520,21092000004;0,423020753062457
20190226;110212,72472400006;0,4214110192113426
20190227;111699,13081200005;0,5773738046587511
20190228;112684,13902700004;0,3999104841649666
20190301;112564,24097900005;0,39927129750188317
20190304;112614,94210900004;0,29097467096580976
20190305;112272,61142000003;0,5281622018318596
20190306;112147,64816100005;0,7669829106582398
20190307;111951,64194400003;0,6669981967960048
20190308;112523,45078200003;0,9417351863594927
20190311;114451,67286100003;0,9427168015450295
20190312;113805,33662500003;0,9994422239599431
20190313;114999,79461400004;0,562050112949778
20190314;115292,23511300003;0,0
20190315;115292,23511300003;0,12497633065988938
20190318;115461,55461500003;0,12625951598010185
20190319;115439,97494700004;0,2506731370418754
20190320;115109,97494700004;0,37241056329599365
20190321;115828,30440800004;0,12555825181358288
20190322;115624,95470200005;0,4515517408898658
20190325;115485,10550800004;0,6338440229846716
20190326;116797,42398300004;0,7267898471061776
20190327;116378,08633500004;0,9977163820752728
20190328;116845,86066100006;0,9977255241863373
20190329;118498,83520500005;0,99775725150766
20190401;120892,30781100004;0,5373008287719169
20190402;120622,29861700005;0,5362650913359686
20190403;121472,62861700004;0,0
20190404;121472,62861700004;0,0
20190405;121472,62861700004;0,0
20190408;121472,62861700004;0,0
20190409;121472,62861700004;0,1240536264635594
20190410;121786,54900100004;0,1263114901127027
20190411;121833,58813700004;0,12664881542066303
20190412;121831,66919300004;0,12663505945699083
20190415;121772,14813700005;0,4554568773197824
20190416;121962,79719200006;0,45630809288826674
20190417;121143,31547700005;0,5614138029754724
20190418;121336,20388300004;0,6706370850324649
20190422;121204,47671300004;0,5643474046174687
20190423;121781,15042800005;0,5664103626347455
20190424;122179,94347200004;0,7112835080981675
20190425;122145,99743400005;0,9482458082720572
20190426;120685,61794700005;0,6668581762604343
20190429;121946,48684300006;0,5979551548941211
20190430;122293,19653300007;0,4455426942765133
20190501;121742,23599600008;0,8178253484458035
20190502;122880,67230700007;0,8577658701904382
20190503;125481,13673900008;0,8607135227635542
20190506;124739,06638700006;0,9888905286760709
20190507;122350,14686800007;0,9995308951033627
20190508;121815,48173200007;0,999933054067643
20190509;120238,00797300007;0,9999321757642401
20190510;120147,80847600006;0,999932124846025
20190513;115802,02231200007;0,9999295776460786
20190514;116830,58470300007;0,9999301976359974
20190515;118527,20947400006;0,6033186334542554
20190516;119962,07567300009;0,2695693627221753
20190517;119204,87629300007;0,6562270311805486
20190520;116590,95486400007;0,8234278648372519
20190521;117582,30364400009;0,9977033681121125
20190522;117066,48397300008;0,8742167415107793
20190523;115852,74481800008;0,9344469237571303
20190524;115171,73384600008;0,9340593081271578
20190528;113667,5727060001;0,9331867160246029
20190529;113705,34484700007;0,9957203095012388
20190530;114867,61510700009;0,6992734262148447
20190531;113254,89544100009;0,7965952470637268
20190603;112652,72486600009;0,8972622849046311
20190604;115640,93398600009;0,43419963131808287
20190605;116825,60349500009;0,21021248403866405
20190606;116960,45287500009;0,2111230683792783
20190607;117264,25380500009;0,0
20190610;117264,25380500009;0,0
20190611;117264,25380500009;0,12420280644278464
20190612;117373,86429000009;0,27073198514183444
20190613;117509,88461900009;0,2715761292377274
20190614;116781,02421200009;0,869591174201783
20190617;116730,68646600009;0,8695349380350308
20190618;119657,90465100008;0,7506516101713242
20190619;120797,88489500008;0,8756138306224432
20190620;122439,97316800008;0,41133469980343534
