SAAB B;ABB Ltd;Addtech B;AFRY;Alfa Laval;Alimak Group;Alligo B;AQ Group;Arla Plast;ASSA ABLOY B;Atlas Copco A;Atlas Copco B;Balco Group;Beijer Ref B;Bergman & Beving B;Bong;Bravida Holding;BTS Group B;Bufab;Cavotec;Christian Berner Tech Trade B;Concejo B;Concentric;Concordia Maritime B;Coor Service Management Hold.;CTT Systems;Elanders B;Electrolux Professional B;Infrea;Instalco;Inwido;INVISIO;ITAB Shop Concept;Lifco B;Lindab International;Loomis;Malmbergs Elektriska B;Mildef Group;Momentum Group B;Munters Group;NCC A;NCC B;Nederman Holding;Netel Holding;NGS Group;NIBE Industrier B;Nolato B;Nordic Waterproofing Holding;Norva24 Group;NOTE;OEM International B;Peab B;PION Group B;PowerCell Sweden;Profoto Holding;Projektengagemang Sweden B;Railcare Group;Rejlers B;Sandvik;Sdiptech B;Sdiptech Pref;Securitas B;SinterCast;Skanska B;Studsvik;SWECO A;SWECO B;Svedbergs B;Systemair;Transtema Group;Trelleborg B;Wall to Wall Group A;Wise Group;Volati;Volati Pref;Volvo A;Volvo B;Wästbygg Gruppen B;XANO Industri B;Eltel;engcon B;Ependion;Epiroc A;Epiroc B;Ework Group;Fagerhult Group;Fasadgruppen Group;Ferronordic;FM Mattsson Mora Group B;Green Landscaping Group;HAKI Safety A;HAKI Safety B;HANZA;Image Systems;Indutrade;
percent/trade;0,27
hitrate;0,44
Number of trades;543
Return;20,69
2010-01-04;998503,442200036;0,9992005613698138
2010-01-05;996776,1695235681;0,9991991760552922
2010-01-07;1004077,6938365411;0,9992049995443892
2010-01-08;1011542,1031230402;0,9992108660414588
2010-01-11;1016528,8287795496;0,9992147372494816
2010-01-12;1002920,0165751886;0,9992040818700633
2010-01-13;1007186,4284499597;0,9992074533556841
2010-01-14;1016110,7064498377;0,9992144141194441
2010-01-15;1009104,9092067194;0,9992089601221976
2010-01-18;1016653,2924064111;0,9992148333851562
2010-01-19;1021251,5329478693;0,9992183686405205
2010-01-20;1006117,4605506372;0,9992066113000049
2010-01-21;983536,9231322717;0,999188396281528
2010-01-22;979560,5414393854;0,9991851016958118
2010-01-25;978833,4955771875;0,9991844964157076
2010-01-26;965344,951385827;0,9991731015706637
2010-01-27;969979,1826556635;0,9991770522106638
2010-01-28;953906,3527625513;0,9991631859649986
2010-01-29;964460,3302749109;0,9991723431239095
2010-02-01;973527,0194475831;0,9999505538437258
2010-02-02;984491,4181292237;0,9999511045314826
2010-02-03;983325,4825365724;0,999951046555799
2010-02-04;963094,6678087892;0,9999500182373035
2010-02-05;952457,1482966127;0,9999494600158896
2010-02-08;946573,8697359742;0,9999491458926981
2010-02-09;962783,9382670106;0,9999500021061554
2010-02-10;966244,6191790284;0,9999501811775349
2010-02-11;974894,4676745118;0,999950623200011
2010-02-12;927971,769572072;0,8098800539089008
2010-02-15;917338,1267993974;0,8076762126734488
2010-02-16;916386,0221184588;0,628067264145758
2010-02-17;924508,1586846209;0,6313348269527024
2010-02-18;928819,5774926043;0,6330461065159685
2010-02-19;935074,7183617449;0,6355008283164292
2010-02-22;932540,0252617693;0,6345101002936252
2010-02-23;929417,9743737078;0,6332823662736061
2010-02-24;929451,6234291887;0,6332956425987984
2010-02-25;921269,5399254656;0,630038826278052
2010-02-26;927734,6689995623;0,6326169844739681
2010-03-01;942314,4971252566;0,9999833780356333
2010-03-02;948322,5468994265;0,9999834833432522
