AKER BP;AKER SOLUTIONS;DNO;EQUINOR;SEADRILL;SUBSEA 7;TGS;VÅR ENERGI;AKASTOR;BLUENORD;BORR DRILLING;BW ENERGY LIMITED;BW OFFSHORE LTD;NORTHERN OCEAN LTD;ODFJELL DRILLING;OKEA;PANORO ENERGY;PGS;SEACREST PETROLEO;SHELF DRILLING;SIEM OFFSHORE;SOLSTAD OFFSHORE;2020 BULKERS;AMSC;AVANCE GAS HOLDING;AWILCO LNG;BELSHIPS;BW LPG;EQVA;FLEX LNG;FRONTLINE;GC RIEBER SHIPPING;GOLDEN OCEAN GROUP;GRAM CAR CARRIERS;HAFNIA LIMITED;JINHUI SHIPP TRANS;KLAVENESS COMBINAT;MPC CONTAINER SHIP;ODFJELL SER. A;ODFJELL SER. B;OKEANIS ECO TANKER;PHILLY SHIPYARD;SAGA PURE;STOLT-NIELSEN;WALLENIUS WILHELMS;MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;AKER BIOMARINE;ATLANTIC SAPPHIRE;AcadeMedia;Actic Group;Autoliv SDB;Besqab;Betsson B;BHG Group;Bilia A;Björn Borg;Bonava A;Bonava B;Boozt;Bulten;Byggmax Group;Catena Media;Clas Ohlson B;Dometic Group;Dustin Group;Electrolux A;Electrolux B;Elon;Embracer Group B;Eniro Group;Evolution;Fenix Outdoor International B;G5 Entertainment;Gaming Innovation Group;Gränges;Hennes & Mauritz B;Husqvarna A;Husqvarna B;KABE Group B;Karnov Group;Kindred Group;Lammhults Design Group B;MEKO;Mips;Modern Times Group A;Modern Times Group B;Moment Group;Nelly Group;New Wave B;Nilörngruppen B;Nobia;Pierce Group;Rizzo Group B;Rusta;RVRC Holding;SAS;Scandic Hotels Group;SkiStar B;Starbreeze A;Starbreeze B;Stillfront Group;Strax;Synsam;Thule Group;VBG GROUP B;Vestum;Volvo Car B;ABB Ltd;Addtech B;AFRY;Alfa Laval;Alimak Group;Alligo B;AQ Group;Arla Plast;ASSA ABLOY B;Atlas Copco A;Atlas Copco B;Balco Group;Beijer Ref B;Bergman & Beving B;Bong;Bravida Holding;BTS Group B;Bufab;Cavotec;Christian Berner Tech Trade B;Concejo B;Concentric;Concordia Maritime B;Coor Service Management Hold.;CTT Systems;Elanders B;Electrolux Professional B;Eltel;engcon B;Ependion;Epiroc A;Epiroc B;Ework Group;Fagerhult Group;Fasadgruppen Group;Ferronordic;FM Mattsson Mora Group B;Green Landscaping Group;HAKI Safety A;HAKI Safety B;HANZA;Image Systems;Indutrade;Infrea;Instalco;Inwido;INVISIO;ITAB Shop Concept;Lifco B;Lindab International;Loomis;Malmbergs Elektriska B;Mildef Group;Momentum Group B;Munters Group;NCC A;NCC B;Nederman Holding;Netel Holding;NGS Group;NIBE Industrier B;Nolato B;Nordic Waterproofing Holding;Norva24 Group;NOTE;OEM International B;Peab B;PION Group B;PowerCell Sweden;Profoto Holding;Projektengagemang Sweden B;Railcare Group;Rejlers B;SAAB B;Sandvik;Sdiptech B;Sdiptech Pref;Securitas B;SinterCast;Skanska B;Studsvik;SWECO A;SWECO B;Svedbergs B;Systemair;Transtema Group;Trelleborg B;Wall to Wall Group A;Wise Group;Volati;Volati Pref;Volvo A;Volvo B;Wästbygg Gruppen B;XANO Industri B;
percent/trade;0,86
hitrate;0,48
Number of trades;526
Return;57,52
2011-01-04;1000000,0;0,0
2011-01-05;1000000,0;0,0
2011-01-06;1000000,0;0,0
2011-01-07;1000000,0;0,0
2011-01-10;1000000,0;0,0
2011-01-11;1000000,0;0,0
2011-01-12;1000000,0;0,0
2011-01-13;1000000,0;0,0
2011-01-14;1000000,0;0,0
2011-01-17;1000000,0;0,0
2011-01-18;1000000,0;0,0
2011-01-19;1000000,0;0,0
2011-01-20;1000000,0;0,0
2011-01-21;1000000,0;0,0
2011-01-24;1000000,0;0,0
2011-01-25;1000000,0;0,0
2011-01-26;1000000,0;0,0
2011-01-27;1000000,0;0,0
2011-01-28;1000000,0;0,0
2011-01-31;1000000,0;0,0
2011-02-01;1000000,0;0,1999810406036377
2011-02-02;1002155,3140945435;0,2017016243443395
2011-02-03;1000923,7093963623;0,20071934365623306
2011-02-04;1008621,2093963623;0,20681921821259724
2011-02-07;1010006,75;0,20790731408838375
2011-02-08;1008621,2093963623;0,20681921821259724
2011-02-09;1015395,0;0,2121105979482248
2011-02-10;1012469,9593963623;0,20983437387778295
2011-02-11;1014625,25;0,2115128621169616
2011-02-14;1014933,1687927246;0,21175207984581426
2011-02-15;1010314,6687927246;0,20814872424613526
2011-02-16;1007851,4593963623;0,20621342367701506
2011-02-17;1005696,1687927246;0,20451227296934515
2011-02-18;1005234,3140945435;0,2041467862973094
2011-02-21;1001231,6046981812;0,20096513569652438
2011-02-22;1003232,9593963623;0,20255913454266128
2011-02-23;999692,1046981812;0,1997346426599043
2011-02-24;996613,1046981812;0,19726225189599159
2011-02-25;1001693,4593963623;0,2013335498082742
2011-02-28;1002463,2093963623;0,20194681271335904
2011-03-01;999230,25;0,9998726333819701
2011-03-02;1007661,9024658203;0,9998736991273915
2011-03-03;1009574,4910964966;0,9998739383981092
2011-03-04;1015509,0573577881;0,9998746750935863
2011-03-07;1009957,4773254395;0,999873986201961
2011-03-08;1013188,0375976562;0,9998743879982265
2011-03-09;998259,6442871094;0,9998725095436803
2011-03-10;959005,9546279907;0,9998672911497979
2011-03-11;949234,6764831543;0,9998659250649721
2011-03-14;942526,8804550171;0,9998649708775263
2011-03-15;928222,8667526245;0,9998628900643001
2011-03-16;915482,5677490234;0,9998609819759992
2011-03-17;943751,8718032837;0,9998651461455302
2011-03-18;967341,7635345459;0,9998684347328181
2011-03-21;979250,5728912354;0,9998700347172635
2011-03-22;984107,0275421143;0,9998706760809406
2011-03-23;988114,4924240112;0,9998712005758933
2011-03-24;994110,2147979736;0,9998719773967905
2011-03-25;997790,674369812;0,9998724496221053
2011-03-28;997878,5705337524;0,9998724608571286
2011-03-29;999421,8256454468;0,999872657796428
2011-03-30;1015817,5284042358;0,9998747131507214
2011-03-31;1012884,7710342407;0,9998743503888939
2011-04-01;1028329,3949356079;0,9997853695431763
2011-04-04;1026846,2625961304;0,9997850595402253
2011-04-05;1025072,4478187561;0,9997846876010862
2011-04-06;1035959,6763381958;0,9997869503873158
2011-04-07;1022254,572719574;0,9997840940860621
2011-04-08;1024084,1068458557;0,9997844798036364
2011-04-11;1015440,7971725464;0,9997826453217018
2011-04-12;991616,3731956482;0,9997774231913003
2011-04-13;993171,1096916199;0,9997777716189622
2011-04-14;978836,412033081;0,8130357146750227
2011-04-15;975178,63854599;0,8123344349516334
2011-04-18;961679,3240470886;0,8097001301268809
2011-04-19;983622,8729095459;0,8139455117747557
2011-04-20;1012504,2107849121;0,819252652703578
2011-04-21;1006182,4038772583;0,8181170237914887
2011-04-26;1021460,1934738159;0,8208374135428105
2011-04-27;1018223,8611755371;0,8202679614927229
2011-04-28;1020171,8151245117;0,8206111485215909
2011-04-29;1033376,718208313;0,8229034513733465
2011-05-02;1030092,2627563477;0,0
2011-05-03;1030092,2627563477;0,0
2011-05-04;1030092,2627563477;0,0
2011-05-05;1030092,2627563477;0,0
2011-05-06;1030092,2627563477;0,0
2011-05-09;1030092,2627563477;0,0
2011-05-10;1030092,2627563477;0,0
2011-05-11;1030092,2627563477;0,0
