AKER BP;AKER SOLUTIONS;DNO;EQUINOR;SEADRILL;SUBSEA 7;TGS;VÅR ENERGI;AKASTOR;BLUENORD;BORR DRILLING;BW ENERGY LIMITED;BW OFFSHORE LTD;NORTHERN OCEAN LTD;ODFJELL DRILLING;OKEA;PANORO ENERGY;PGS;SEACREST PETROLEO;SHELF DRILLING;SIEM OFFSHORE;SOLSTAD OFFSHORE;2020 BULKERS;AMSC;AVANCE GAS HOLDING;AWILCO LNG;BELSHIPS;BW LPG;EQVA;FLEX LNG;FRONTLINE;GC RIEBER SHIPPING;GOLDEN OCEAN GROUP;GRAM CAR CARRIERS;HAFNIA LIMITED;JINHUI SHIPP TRANS;KLAVENESS COMBINAT;MPC CONTAINER SHIP;ODFJELL SER. A;ODFJELL SER. B;OKEANIS ECO TANKER;PHILLY SHIPYARD;SAGA PURE;STOLT-NIELSEN;WALLENIUS WILHELMS;MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;AKER BIOMARINE;ATLANTIC SAPPHIRE;
percent/trade;5,57
hitrate;0,49
Number of trades;531
Return;392,89
2011-01-04;1000000,0;0,9997041642227172
2011-01-05;993687,0994720459;0,9997022847761233
2011-01-06;1009147,3449630737;0,9997068458052639
2011-01-07;1002842,2858352661;0,9997050026893947
2011-01-10;1009465,557762146;0,999706938215962
2011-01-11;1019602,9809036255;0,9997098519886432
2011-01-12;1023193,5766448975;0,9997108701774177
2011-01-13;1010206,4540863037;0,9997071531506396
2011-01-14;1008400,6989974976;0,999706628746314
2011-01-17;1001927,809715271;0,9997047334404594
2011-01-18;1012570,5503234863;0,9997078368739954
2011-01-19;993708,4983291626;0,9997022911872243
2011-01-20;956801,966758728;0,9996908077245233
2011-01-21;984611,365776062;0,9996995405623319
2011-01-24;972916,2904052734;0,9996959288479387
2011-01-25;952556,077331543;0,19999562945047433
2011-01-26;953747,6705131531;0,3195902039705071
2011-01-27;957302,7276954651;0,32211698642114645
2011-01-28;957340,6558952332;0,32214384298698856
2011-01-31;956832,8701057434;0,3217841085604201
2011-02-01;968605,0431480408;0,9298701994542481
2011-02-02;963604,557548523;0,9295062710616528
2011-02-03;968249,4331436157;0,9298444428074288
2011-02-04;975176,6788063049;0,9303427984283514
2011-02-07;984896,720500946;0,9310302521374714
2011-02-08;975195,9094276428;0,9303441720510809
2011-02-09;964839,1108093262;0,9295964708285901
2011-02-10;940515,1480140686;0,6003920063615361
2011-02-11;943292,2185020447;0,6015684600034997
2011-02-14;942418,9882888794;0,7347693813573022
2011-02-15;939049,0078544617;0,7338175439260731
2011-02-16;941194,9270019531;0,7344244384309498
2011-02-17;940088,2064094543;0,7341117891062918
2011-02-18;947401,116104126;0,7361641578887346
2011-02-21;930358,878982544;0,5853808894785821
2011-02-22;928028,5788764954;0,3399431227962377
2011-02-23;928009,6147766113;0,339929634375052
2011-02-24;933782,6341552734;0,34401045454952506
2011-02-25;934727,0910644531;0,5446067052583249
2011-02-28;938176,3708763123;0,34749705835994305
2011-03-01;938448,5269546509;0,9473844932046092
