AKER BP;AKER SOLUTIONS;DNO;EQUINOR;SEADRILL;SUBSEA 7;TGS;VÅR ENERGI;AKASTOR;BLUENORD;BORR DRILLING;BW ENERGY LIMITED;BW OFFSHORE LTD;NORTHERN OCEAN LTD;ODFJELL DRILLING;OKEA;PANORO ENERGY;PGS;SHELF DRILLING;SIEM OFFSHORE;SOLSTAD OFFSHORE;2020 BULKERS;AMSC;AVANCE GAS HOLDING;AWILCO LNG;BELSHIPS;BW LPG;EQVA;FLEX LNG;FRONTLINE;GC RIEBER SHIPPING;GOLDEN OCEAN GROUP;GRAM CAR CARRIERS;HAFNIA LIMITED;JINHUI SHIPP TRANS;KLAVENESS COMBINAT;MPC CONTAINER SHIP;ODFJELL SER. A;ODFJELL SER. B;OKEANIS ECO TANKER;PHILLY SHIPYARD;SAGA PURE;STOLT-NIELSEN;WALLENIUS WILHELMS;MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;AKER BIOMARINE;ATLANTIC SAPPHIRE;
percent/trade;1,79
hitrate;0,55
Number of trades;101
Return;19,49
2022-10-03;1000000,0;0,799941268245697
2022-10-04;1008448,6777801514;0,9999782467099695
2022-10-05;989577,5873908997;0,9999778318781184
2022-10-06;1001689,5425415039;0,9999780999245406
2022-10-07;1008225,4841880798;0,9999782418943851
2022-10-10;1006452,8302116394;0,99997820357208
2022-10-11;968570,4964599609;0,9999773510790916
2022-10-12;971482,7909660339;0,9999774189756395
2022-10-13;1002545,892742157;0,9999781186310498
2022-10-14;1010964,7471733093;0,9999783008491345
2022-10-17;1066505,2983436584;0,9999794308789627
2022-10-18;1086231,8326454163;0,9999798044248849
2022-10-19;1076442,4425125122;0,9999796207621493
2022-10-20;1069092,5351867676;0,9999794806568687
2022-10-21;1077787,0373039246;0,9999796461862972
2022-10-24;1088564,8291282654;0,999979847707751
2022-10-25;1076558,6385383606;0,9999796229617381
2022-10-26;1076284,5383377075;0,9999796177722645
2022-10-27;1065268,9281272888;0,999979407006072
2022-10-28;1067982,6322174072;0,9999794593321025
2022-10-31;1065255,723690033;0,9999794067508104
2022-11-01;1100838,332496643;0,9999439031117777
2022-11-02;1143651,143863678;0,8111375529471467
2022-11-03;1183279,7496376038;0,9999797479243522
2022-11-04;1160985,3783035278;0,9999793590242823
2022-11-07;1181024,5629196167;0,9999797092526653
2022-11-08;1179830,676612854;0,999979688720189
2022-11-09;1177674,0598487854;0,9999796515251382
2022-11-10;1139991,1613731384;0,999978978897544
2022-11-11;1134634,065738678;0,9999788796478744
2022-11-14;1132577,2544937134;0,9999788412923647
2022-11-15;1121753,0788955688;0,9999786371248245
2022-11-16;1138417,3681755066;0,9999789498371405
2022-11-17;1145783,348575592;0,999979085163847
2022-11-18;1132776,3949241638;0,9999788450120345
2022-11-21;1144091,8556022644;0,999979054242118
2022-11-22;1155596,0654563904;0,9999792627616877
2022-11-23;1134112,156867981;0,999978869928466
2022-11-24;1083933,555152893;0,9999778917527847
2022-11-25;1100809,5448303223;0,9999782306838502
2022-11-28;1101726,654018402;0,9999782488052597
2022-11-29;1120477,5736122131;0,9999786128062118
2022-11-30;1131468,6687316895;0,9999788205615724
2022-12-01;1111127,3700332642;0,8392634647269462
2022-12-02;1098177,081653595;0,9999974868941546
2022-12-05;1102474,0799264908;0,9999974966892252
2022-12-06;1086158,055765152;0,9940020148995223
2022-12-07;1050851,3452129364;0,9938004934142962
2022-12-08;1061490,4484643936;0,9938626298101242
2022-12-09;1072967,61668396;0,9939282791633756
2022-12-12;1089359,5787887573;0,9940196424008252
2022-12-13;1098424,95835495;0,9940689987188565
2022-12-14;1083588,62114048;0,9939877923151441
2022-12-15;1092255,8191156387;0,9940354999980517
2022-12-16;1097812,1708898544;0,9940656880949292
2022-12-19;1097249,840514183;0,9940626468150678
2022-12-20;1110633,5038604736;0,9941341947522757
2022-12-21;1110480,876578331;0,9941333885412625
2022-12-22;1100269,074429512;0,9940789394279567
2022-12-23;1105091,3695964813;0,9941047772026108
2022-12-27;1113124,4098262787;0,9941473210202443
2022-12-28;1086135,9904432297;0,9940018930478635
2022-12-29;1091981,265545845;0,9940340003617308
2022-12-30;1080196,790444374;0,9939689139119149
2023-01-02;1102097,1715726852;0,6032541537320221
2023-01-03;1076810,8845243454;0,9992759840275665
2023-01-04;1077028,6301641464;0,999276130403732
2023-01-05;1093175,7428770065;0,999286822558252
2023-01-06;1107495,1383428574;0,9992960436098595
2023-01-09;1085095,7315130234;0,9992815119836488
2023-01-10;1095014,888964653;0,9992880203844323
2023-01-11;1084226,846915245;0,9996500286962318
2023-01-12;1097932,782259941;0,9997905807265127
2023-01-13;1125522,7452626228;0,9997957142256195
2023-01-16;1130559,162847519;0,9997966242783618
2023-01-17;1130148,4993753433;0,9997965503774717
2023-01-18;1130166,9191074371;0,9997965536933426
2023-01-19;1114437,9798612595;0,9997936822956919
2023-01-20;1133964,7368068695;0,9997972350654869
2023-01-23;1122691,0146808624;0,9997951989616091
2023-01-24;1141552,3469200134;0,9997985827927917
2023-01-25;1157732,9984250069;0,999801397830146
2023-01-26;1149131,3018369675;0,9997999112153405
2023-01-27;1160697,837155342;0,9998019051313456
2023-01-30;1187095,416050911;0,9998063101899899
2023-01-31;1176303,7266788483;0,9999502438950291
2023-02-01;1197041,4512519836;6,133789196470876E-4
2023-02-02;1197015,3162584305;0,2002200780064558
2023-02-03;1212784,9162607193;0,4106142939011599
2023-02-06;1201463,7741212845;0,6048950080156845
2023-02-07;1215567,9100198746;0,6094793792015503
2023-02-08;1254264,0008211136;0,621527577501334
2023-02-09;1235382,5896730423;0,6157430590233012
2023-02-10;1257538,5419359207;0,6225130928290669
2023-02-13;1269166,1651887894;0,6259714859535174
2023-02-14;1270688,6915330887;0,6264196431378454
2023-02-15;1267143,228260994;0,6253743663254928
2023-02-16;1286602,585179329;0,6310404313562992
