AKER BP;AKER SOLUTIONS;DNO;EQUINOR;SUBSEA 7;TGS;AKASTOR;BLUENORD;BORR DRILLING;BW OFFSHORE LTD;ODFJELL DRILLING;PANORO ENERGY;PGS;SHELF DRILLING;SIEM OFFSHORE;SOLSTAD OFFSHORE;
percent/trade;2,37
hitrate;0,51
Number of trades;78
Return;34,32
2019-01-02;60000,0;0,7456806727727254
2019-01-03;61298,13968658447;0,7510665134104216
2019-01-04;63198,230281829834;0,7585508397056547
2019-01-07;63758,20043182373;0,7606714190443157
2019-01-08;64557,21987533569;0,7636335693652402
2019-01-09;65722,80004119873;0,76782547876732
2019-01-10;65350,81962966919;0,7665039287937433
2019-01-11;65445,939868927;0,7668432959447595
2019-01-14;65501,528800964355;0,7670411681534398
2019-01-15;66425,73935699463;0,770282426942536
2019-01-16;66241,27964782715;0,7696427406782893
2019-01-17;66866,3099861145;0,7717959965668032
2019-01-18;68029,57040405273;0,7756981332822376
2019-01-21;68291,33974838257;0,7765579107122748
2019-01-22;67269,41999053955;0,7731635022900086
2019-01-23;67093,32002258301;0,7725681240919308
2019-01-24;66892,47989654541;0,7718852753368393
2019-01-25;67420,88965988159;0,7736731195536811
2019-01-28;65911,30938339233;0,7684895084563238
2019-01-29;66911,6796875;0,7719507310995349
2019-01-30;66642,46908187866;0,7710294974982294
2019-01-31;67559,47848510742;0,7741373975081801
2019-02-01;66965,71851348877;0,7376386137209642
2019-02-04;68492,5576248169;0,7434871852996076
2019-02-05;69140,22034454346;0,74589003831896
2019-02-06;68774,57809448242;0,7445390545582986
2019-02-07;68301,12003326416;0,7427682191183101
2019-02-08;66785,93821716309;0,7369323661330919
2019-02-11;67478,07860565186;0,7396307199995017
2019-02-12;68974,71854400635;0,7452803126530873
2019-02-13;69482,1588973999;0,747140575060225
2019-02-14;68812,67852020264;0,7446804989982699
2019-02-15;70203,29923248291;0,7497379904584118
2019-02-18;69859,63886260986;0,7485068770979009
2019-02-19;69317,43839263916;0,7465396998248527
2019-02-20;69782,57889556885;0,7482291566113753
2019-02-21;70293,55842590332;0,7500593349404785
2019-02-22;70213,81932067871;0,7497754870429576
2019-02-25;69049,1787185669;0,7455549932899296
2019-02-26;68971,31778717041;0,7452677532335229
2019-02-27;68895,90017700195;0,7449889079432427
2019-02-28;67829,1586227417;0,7409783771594652
2019-03-01;67388,43926239014;0,7604690160479513
2019-03-04;68031,39936065674;0,7627328069801832
2019-03-05;67719,889377594;0,7616413831760651
2019-03-06;68595,36352157593;0,7646835247336212
2019-03-07;68124,86708450317;0,7630583389837537
2019-03-08;66879,53548049927;0,7586463624852814
2019-03-11;67953,49901199341;0,7624608092562787
2019-03-12;68540,21960067749;0,7644942012506533
2019-03-13;69828,69711303711;0,7688397488301479
2019-03-14;70155,14727401733;0,7699153976476449
2019-03-15;70187,66353225708;0,7700219903160793
2019-03-18;70568,76788330078;0,7712639791273316
2019-03-19;70791,03078079224;0,7719821425754279
2019-03-20;70939,47610473633;0,7724592843104535
2019-03-21;71470,77139663696;0,7741507633388616
2019-03-22;70175,17578125;0,769981065472072
2019-03-25;69092,54322814941;0,766376827232829
2019-03-26;69856,2989692688;0,7689310856474917
2019-03-27;69787,06018447876;0,7687018321040665
2019-03-28;69472,82523727417;0,7676556393325898
2019-03-29;70223,1293334961;0,7701381394318794
2019-04-01;71174,84019851685;0,7674532949415329
2019-04-02;72118,93054962158;0,7704975039828169
2019-04-03;72316,12936401367;0,7711233342161637
2019-04-04;71592,17306137085;0,7688088814256325
2019-04-05;72688,5347366333;0,7722959386759178
2019-04-08;73861,42543029785;0,7759117905618075
2019-04-09;72387,05519104004;0,7713475907046328
2019-04-10;72974,64664077759;0,7731886986352434
2019-04-11;72664,02473449707;0,7722191327592366
2019-04-12;72163,02890777588;0,770637751467157
2019-04-15;72175,18975830078;0,7706763968802111
2019-04-16;71878,24549484253;0,7697290124810344
2019-04-17;71878,24549484253;0,7697290124810344
2019-04-23;73925,20476913452;0,7761051237812918
2019-04-24;73153,8812828064;0,7737444099891091
2019-04-25;72656,52040863037;0,7721956064212787
2019-04-26;70834,00833892822;0,7663343504149568
2019-04-29;70399,29946517944;0,7648914876004607
2019-04-30;70088,1312866211;0,7638476833753522
2019-05-02;67829,28413391113;0,7547247863826565
2019-05-03;68676,57656860352;0,7577508520851006
2019-05-06;67719,57217407227;0,7543274178890003
2019-05-07;66695,30829620361;0,7505545355368942
2019-05-08;66180,65176010132;0,7486147127144722
2019-05-09;64293,86906814575;0,7412375021664511
2019-05-10;64893,17609786987;0,7436272477962032
2019-05-13;64748,88125991821;0,7430559133728952
2019-05-14;65239,738540649414;0,7449891350332359
2019-05-15;65169,33466339111;0,7447136411413712
2019-05-16;66322,20282745361;0,749151242778537
2019-05-20;66156,9437713623;0,7485246263347156
2019-05-21;66635,68723297119;0,7503313487667511
2019-05-22;66719,09180831909;0,7506434559503083
2019-05-23;65525,44221878052;0,7461010320249591
2019-05-24;65813,5238647461;0,7472124089625249
2019-05-27;65043,71011734009;0,7442205845047375
2019-05-28;65711,50462722778;0,7468199480466163
2019-05-29;63705,181800842285;0,738846327957005
2019-05-31;63641,68783187866;0,7385857804493519
2019-06-03;64123,42747116089;0,6013868355909112
2019-06-04;63932,152656555176;0,6001942485129924
2019-06-05;63760,473052978516;0,5991177431227966
2019-06-06;63726,72010803223;0,5989054152841227
2019-06-07;64010,73601150513;0,6006850736344921
2019-06-11;65290,41022491455;0,6085115371616646
2019-06-12;63611,13875579834;0,5981766269715424
2019-06-13;63417,38663101196;0,5969489804782222
2019-06-14;63608,66467285156;0,5981609979002526
2019-06-17;63318,81480407715;0,5963215291359137
2019-06-18;63971,57629394531;0,6004406360164156
2019-06-19;63483,0435218811;0,5973658331578565
2019-06-20;64362,92807006836;0,6028701132240303
2019-06-21;64473,39414215088;0,6035505393018321
2019-06-24;64068,1682434082;0,6010430290448334
2019-06-25;62995,81806945801;0,5942517595556316
2019-06-26;63709,76014328003;0,5987986412199325
2019-06-27;63655,39976119995;0,598456023637824
2019-06-28;63588,2547416687;0,5980320195785048
2019-07-01;64883,49384307861;0,6163147093494696
2019-07-02;63854,17757034302;0,6101297809970402
2019-07-03;63257,85175704956;0,6064545111456588
2019-07-04;63389,02604675293;0,6072688957984276
2019-07-05;63097,64108276367;0,6054552632015269
2019-07-08;64263,06284713745;0,6126104002726904
2019-07-09;62972,07376098633;0,6046685346889934
2019-07-10;63341,408752441406;0,6069736577710079
2019-07-11;63954,89408111572;0,6107437507123581
2019-07-12;64141,94734954834;0,6118789150891157
2019-07-15;63735,48871612549;0,6094037608390541
2019-07-16;63665,46057128906;0,608974128668595
2019-07-17;62766,31833267212;0,6033725913051545
2019-07-18;61569,885204315186;0,5956652816390384
2019-07-19;61804,470920562744;0,5971999788558849
2019-07-22;62478,357276916504;0,601544546325624
2019-07-23;62854,013721466064;0,6039259751346417
2019-07-24;62935,678607940674;0,6044399179567677
2019-07-25;62475,69160079956;0,6015275452623414
2019-07-26;62409,37057876587;0,6011040976261067
2019-07-29;62011,4955329895;0,5985447217546994
2019-07-30;60908,74277496338;0,5912763741392382
2019-07-31;61593,01010131836;0,595817087805055
2019-08-01;61892,54830169678;0,7415291775682161
2019-08-02;59823,40538024902;0,7325893141613082
2019-08-05;57425,039165496826;0,7214208628428704
2019-08-06;57435,38690948486;0,7214710525559868
2019-08-07;55690,67233276367;0,7127451116705777
2019-08-08;55976,00535964966;0,7142093695476486
2019-08-09;55939,84635925293;0,7140246371217934
2019-08-12;55023,368785858154;0,7092613881167876
2019-08-13;56192,04782485962;0,715308153356512
2019-08-14;53986,907108306885;0,7036796749655441
2019-08-15;52859,78849411011;0,6973612964092547
2019-08-16;53200,175285339355;0,6992976474957787
2019-08-19;55060,80723571777;0,7094590750649038
2019-08-20;54682,966796875;0,7074515374895005
2019-08-21;55377,279987335205;0,7111194723612808
2019-08-22;55538,23134613037;0,7119566562673211
2019-08-23;54873,875690460205;0,7084693278787374
2019-08-26;54585,114391326904;0,7069270983431276
2019-08-27;54850,55633163452;0,7083453855013659
2019-08-28;54922,024715423584;0,7087249069052262
2019-08-29;55540,330936431885;0,7119675451655454
2019-08-30;59227,90312576294;0,7299006546294575
2019-09-02;59697,32628250122;0,797390847098917
2019-09-03;58299,88435745239;0,7925343276086445
2019-09-04;59702,589237213135;0,7974087076776551
2019-09-05;61698,54337692261;0,8039625565442253
2019-09-06;61139,7868270874;0,8021709702265685
2019-09-09;62227,324237823486;0,8056283978669725
2019-09-10;63305,106410980225;0,8089376134993871
2019-09-11;63591,20222854614;0,8097972001679256
2019-09-12;62491,691650390625;0,8064506754558064
2019-09-13;63592,75693511963;0,8098018502186144
2019-09-16;65930,7274093628;0,8165464695473769
2019-09-17;63913,11093902588;0,810755187302709
2019-09-18;64469,502182006836;0,8123884270982806
2019-09-19;64600,52333831787;0,8127689361707875
2019-09-20;64335,509983062744;0,8119976866315138
2019-09-23;63609,79068374634;0,8098527824326308
2019-09-24;63052,08501815796;0,8081709002156883
2019-09-25;61439,66394042969;0,8031365418879187
2019-09-26;61178,001834869385;0,802294544676298
2019-09-27;61603,132373809814;0,8036589335236574
2019-09-30;61772,658153533936;0,8041977620827836
2019-10-01;61327,00622558594;0,8206643279560674
2019-10-02;61014,0435667038;0,819744451719805
2019-10-03;59114,2080078125;0,8139513283430204
2019-10-04;61382,96905040741;0,8208278282062849
2019-10-07;63783,002309799194;0,8275697368008934
2019-10-08;63104,19973182678;0,8257149298676397
2019-10-09;61206,016671180725;0,8203098245227509
2019-10-10;61809,39328765869;0,8220639405935755
2019-10-11;62822,025864601135;0,8249321042334437
2019-10-14;62097,431904792786;0,8228892960860263
2019-10-15;63659,22195529938;0,8272344597043516
2019-10-16;64525,77017688751;0,829554612897169
2019-10-17;65869,21277809143;0,8330309500895394
2019-10-18;66666,74533367157;0,8350283965287106
2019-10-21;66661,04811763763;0,8350142971574739
2019-10-22;66877,8227186203;0,8355490739855416
2019-10-23;66154,61145496368;0,8337512739622827
2019-10-24;67377,77959060669;0,8367693334103107
2019-10-25;67063,5987663269;0,836004627275831
2019-10-28;67447,2153711319;0,8369373766523917
2019-10-29;67643,5163974762;0,8374105832807024
2019-10-30;67590,43835639954;0,8372829035681704
2019-10-31;65961,08014583588;0,833263496419529
2019-11-01;67255,31665992737;0,8229128546735686
2019-11-04;68712,41338634491;0,8266681164527604
2019-11-05;67416,25108623505;0,8233355927772212
2019-11-06;66837,72536945343;0,8218064428509871
2019-11-07;67678,54038333893;0,8240202585949425
2019-11-08;67116,89788913727;0,8225476383755909
2019-11-11;67841,70013523102;0,824443491074206
2019-11-12;67627,24447154999;0,8238867762778336
2019-11-13;66680,93785953522;0,821387454681269
2019-11-14;67307,83069515228;0,8230510192896542
2019-11-15;67177,15932178497;0,8227068224441965
2019-11-18;66145,62653827667;0,8199419574861884
2019-11-19;65229,13475036621;0,817412080032767
2019-11-20;65442,65946006775;0,8180078234351237
