MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;AKER BIOMARINE;ATLANTIC SAPPHIRE;
percent/trade;19,67
hitrate;0,50
Number of trades;60
Return;218,60
2010-01-04;1000000,0;0,19999447860717773
2010-01-05;1001734,3248748779;0,20137954592626411
2010-01-06;1003514,2820892334;0,20279607807147776
2010-01-07;1009310,5641784668;0,20737427132352407
2010-01-08;1009858,2393035889;0,20780413501946937
2010-01-11;1004290,1537322998;0,20341196374402667
2010-01-12;1001277,9144287109;0,20101551241218243
2010-01-13;1004016,3248748779;0,20319470752378435
2010-01-14;1007621,8890533447;0,20604590860523772
2010-01-15;1023641,5213928223;0,2184710128753948
2010-01-18;1015563,2393035889;0,212254352627595
2010-01-19;1025923,5213928223;0,22020939698632452
2010-01-20;1015426,3248748779;0,21214813739303054
2010-01-21;1010999,2393035889;0,20869819650517873
2010-01-22;1012596,6497497559;0,2099465057577185
2010-01-25;1019305,7179107666;0,2151466362490695
2010-01-26;1024645,6069641113;0,21923686008557414
2010-01-27;1027794,7606964111;0,2216291111945773
2010-01-28;1026836,3248748779;0,22090258981605024
2010-01-29;1043266,7179107666;0,2331725840972827
2010-02-01;1038702,7179107666;0,42979766591575974
2010-02-02;1043300,299987793;0,43231041515152147
2010-02-03;1050636,3105621338;0,4362742766281569
2010-02-04;1055613,324874878;0,43893213526594577
2010-02-05;1040122,3143005371;0,430575898594528
2010-02-08;1034534,9144287109;0,42750050683458474
2010-02-09;1041887,7247467041;0,4315407504044146
2010-02-10;1047381,3105621338;0,434522357617314
2010-02-11;1038263,107208252;0,4295562366990978
2010-02-12;1028510,7141723633;0,42414725873909814
2010-02-15;1027191,9175262451;0,4234079298455631
2010-02-16;1042092,1177825928;0,43165224641308897
2010-02-17;1043807,1283569336;0,4325860610813589
2010-02-18;1044263,5213928223;0,4328340480739939
2010-02-19;1050914,9069519043;0,43642371969944005
2010-02-22;1060878,7141723633;0,4417168463650259
2010-02-23;1059677,517654419;0,44108400498734174
2010-02-24;1044988,7141723633;0,43322764529428925
2010-02-25;1033309,9144287109;0,4268218025375149
2010-02-26;1045445,107208252;0,43347507192036305
2010-03-01;1043924,71043396;0,4326499715423384
2010-03-02;1048767,324874878;0,43526967314411374
2010-03-03;1043730,1140441895;0,4325441929835056
2010-03-04;1038414,3248748779;0,429639306792375
2010-03-05;1039310,3105621338;0,4301310126981992
2010-03-08;1039293,5108184814;0,4301218010050611
2010-03-09;1040662,7247467041;0,43087159740777575
2010-03-10;1046679,9212646484;0,43414342614239354
2010-03-11;1046273,9106903076;0,43392384334462036
2010-03-12;1041330,5139160156;0,4312365706589382
2010-03-15;1032435,4786071777;0,4263363411616048
2010-03-16;1037078,71043396;0,42890476083099727
2010-03-17;1037222,9069519043;0,4289841554764017
2010-03-18;1031974,299987793;0,42607997681786347
2010-03-19;1029190,2746124268;0,4245274865277939
2010-03-22;1028383,299987793;0,4240759119878808
2010-03-23;1033615,107208252;0,4269910433371471
2010-03-24;1028967,107208252;0,42440267524266545
2010-03-25;1026127,9144287109;0,42281005531156846
2010-03-26;1036471,1177825928;0,42856997748335107
2010-03-29;1040612,3248748779;0,430844032869227
2010-03-30;1041246,5139160156;0,4311906870690043
2010-03-31;1044770,3143005371;0,433109166612489
2010-04-06;1035491,1140441895;0,4280291678610308
2010-04-07;1050220,5213928223;0,4360510939294133
2010-04-08;1061815,3211364746;0,44220929724535496
2010-04-09;1072742,314300537;0,44789097411660966
2010-04-12;1070671,71043396;0,44682323404967267
2010-04-13;1069775,724746704;0,44635992341983827
2010-04-14;1071550,914428711;0,44727711376353235
2010-04-15;1072530,9175262451;0,4477821529486396
