MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;ATLANTIC SAPPHIRE;AKER BIOMARINE;
percent/trade;3,47
hitrate;0,49
Number of trades;61
Return;28,23
2016-01-04;998503,477786764;0,9991767657154125
2016-01-05;977368,2748849238;0,9991589635991707
2016-01-06;996565,1213528956;0,9991751644939388
2016-01-07;975368,5629079188;0,9991572392965554
2016-01-08;980545,1399266566;0,9991616884702978
2016-01-11;994762,8673894252;0,9991736701045636
2016-01-12;1008097,5705392207;0,9991846004591061
2016-01-13;1036736,4216267909;0,9992071250907688
2016-01-14;1001576,6397359218;0,9991792916651783
2016-01-15;998288,4803674067;0,9991765884187189
2016-01-18;972181,1595933284;0,9991544762125015
2016-01-19;1011635,261405691;0,9991874519132007
2016-01-20;978994,3999364222;0,9991603605738222
2016-01-21;992700,7960412349;0,9991719536244233
2016-01-22;1012986,4879109706;0,999188535774165
2016-01-25;1034514,8776814784;0,9992054224507276
2016-01-26;1024939,3928906764;0,999197999118879
2016-01-27;1026548,3815762843;0,9991992561568975
2016-01-28;1029744,4666974391;0,9992017414778346
2016-01-29;1048968,7756306971;0,9992163710538479
2016-02-01;1050119,1755978907;0,9992172295151872
2016-02-02;1042665,4832913722;0,9992116337316556
2016-02-03;1044425,5105130519;0,9992129622573177
2016-02-04;1029594,0794064845;0,999201624880489
2016-02-05;1035138,0521390284;0,9992059008028008
2016-02-08;986884,4216019954;0,9991670733895468
2016-02-09;989008,0307328547;0,9991688618589023
2016-02-10;1020857,3334920253;0,9991947921915962
2016-02-11;997218,933608755;0,9991757052854789
2016-02-12;1009074,5428044642;0,9991853899178653
2016-02-15;1032363,2010075892;0,9992037663727342
2016-02-16;1020862,3954083766;0,9991947961841957
2016-02-17;1050916,532600149;0,9992178234229885
2016-02-18;1073375,5852277125;0,9992341894975936
2016-02-19;1091670,394912466;0,9992470233689356
2016-02-22;1108824,3480832423;0,9992586722165554
2016-02-23;1105204,5834996547;0,999256244220784
2016-02-24;1125685,4340321864;0,9992697761991558
2016-02-25;1155609,558723196;0,9992886851013052
2016-02-26;1144523,5453946437;0,9992817952068338
2016-02-29;1127153,3791539515;0,9992707272041265
2016-03-01;1147174,1322438563;0,9992834546446875
2016-03-02;1104183,1553418483;0,9992555562071227
2016-03-03;1095965,825858816;0,9992499745185487
2016-03-04;1127862,3229291285;0,9992711856052969
2016-03-07;1114600,557651266;0,9992625140095693
2016-03-08;1108697,419532522;0,9992585873460943
2016-03-09;1130524,7468221034;0,9992729019877675
2016-03-10;1140305,3802716578;0,9992791384567543
2016-03-11;1166579,354449972;0,9992953738697171
2016-03-14;1182783,6552426661;0,999305027345829
2016-03-15;1189099,8697278346;0,9993087188745702
2016-03-16;1190639,8916776027;0,9993096130056286
2016-03-17;1191131,511947378;0,9993098979516963
2016-03-18;1205531,6563603724;0,9993181412600348
2016-03-21;1204999,0519978846;0,9993178398814248
2016-03-22;1214920,091319784;0,9993234104019952
2016-03-23;1230344,8718488063;0,9993318927765686
2016-03-29;1226879,63975881;0,999330005756428
2016-03-30;1234811,926780447;0,9993343097208842
