AKER BP;AKER SOLUTIONS;DNO;EQUINOR;SEADRILL;SUBSEA 7;TGS;VÅR ENERGI;AKASTOR;BLUENORD;BORR DRILLING;BW ENERGY LIMITED;BW OFFSHORE LTD;NORTHERN OCEAN LTD;ODFJELL DRILLING;OKEA;PANORO ENERGY;PGS;SHELF DRILLING;SIEM OFFSHORE;SOLSTAD OFFSHORE;2020 BULKERS;AMSC;AVANCE GAS HOLDING;AWILCO LNG;BELSHIPS;BW LPG;EQVA;FLEX LNG;FRONTLINE;GC RIEBER SHIPPING;GOLDEN OCEAN GROUP;GRAM CAR CARRIERS;HAFNIA LIMITED;JINHUI SHIPP TRANS;KLAVENESS COMBINAT;MPC CONTAINER SHIP;ODFJELL SER. A;ODFJELL SER. B;OKEANIS ECO TANKER;PHILLY SHIPYARD;SAGA PURE;STOLT-NIELSEN;WALLENIUS WILHELMS;MOWI;SALMAR;BAKKAFROST;LERØY SEAFOOD GP;AUSTEVOLL SEAFOOD;GRIEG SEAFOOD;SALMON EVOLUTION;AKER BIOMARINE;ATLANTIC SAPPHIRE;
percent/trade;2,66
hitrate;0,64
Number of trades;45
Return;16,02
2022-10-03;60000,0;0,5946125136057536
2022-10-04;60370,84900665283;0,5971027477023824
2022-10-05;59813,349197387695;0,5933474799515643
2022-10-06;60132,949310302734;0,5955087940533225
2022-10-07;60446,84917449951;0,5976093127130944
2022-10-10;60416,948875427246;0,5974101698878156
2022-10-11;59015,599365234375;0,5878505099452838
2022-10-12;59317,949478149414;0,5899512812287183
2022-10-13;60253,09931945801;0,5963153852933855
2022-10-14;60736,54963684082;0,5995286309629105
2022-10-17;62125,999687194824;0,6084851864578011
2022-10-18;62818,29886627197;0,6127999385110016
2022-10-19;62546,44918823242;0,6111170258369999
2022-10-20;62225,899337768555;0,6091137381297504
2022-10-21;62590,14919281006;0,6113885412107489
2022-10-24;63227,44882965088;0,6153055415981254
2022-10-25;63060,54901123047;0,6142873862496336
2022-10-26;63283,899002075195;0,6156486947358097
2022-10-27;62633,89854431152;0,6116599836676804
2022-10-28;62590,498847961426;0,6113907121472479
2022-10-31;62532,74870300293;0,6110318243137337
2022-11-01;63687,14921569824;0,2770700205765032
2022-11-02;63846,549728393555;0,2788749013390994
2022-11-03;63838,14921569824;0,27878000791532953
2022-11-04;63940,3494720459;0,2799327834112835
2022-11-07;63890,549728393555;0,27937152414913885
2022-11-08;63932,549728393555;0,27984493551962725
2022-11-09;63517,049880981445;0,2751340064074386
2022-11-10;63070,99949645996;0,2700076130134881
2022-11-11;62786,14921569824;0,26669575938040946
2022-11-14;62749,14906311035;0,2662633651694699
2022-11-15;62728,89921569824;0,2660265037693535
2022-11-16;62843,549728393555;0,26736555030652887
2022-11-17;62755,94960021973;0,26634287640697746
2022-11-18;62695,550033569336;0,265636086653777
2022-11-21;62795,34977722168;0,26680320062892793
2022-11-22;63250,94960021973;0,2720844546516349
2022-11-23;62915,69960021973;0,26820571392191744
2022-11-24;63139,14921569824;0,2707955358290024
2022-11-25;63276,550033569336;0,2723789548004728
2022-11-28;63138,49903869629;0,27078802675008
2022-11-29;63291,44975280762;0,27255024727880406
2022-11-30;63277,549728393555;0,272390450172781
2022-12-01;63345,24934387207;0,5670338383333811
2022-12-02;62625,74996185303;0,5620595444375946
2022-12-05;62846,55995941162;0,563598238536142
2022-12-06;62461,92922210693;0,5609109451181619
2022-12-07;61337,22924423218;0,5528596611525255
2022-12-08;61696,01964569092;0,5554599854944328
2022-12-09;61915,59994125366;0,557036522390905
2022-12-12;62491,84983444214;0,5611211775472955
2022-12-13;63047,53931808472;0,5649893752417368
2022-12-14;62614,3091545105;0,5619795245116824
2022-12-15;62573,01934814453;0,5616904897039386
2022-12-16;62814,84939575195;0,5633779316187297
2022-12-19;62781,00015640259;0,563142520827869
2022-12-20;63099,799938201904;0,5653496604570575
2022-12-21;63186,449520111084;0,5659457102507097
2022-12-22;62842,16928482056;0,5635677478935152
2022-12-23;62825,00957107544;0,5634485429372977
2022-12-27;63076,5495300293;0,5651894456405839
2022-12-28;62133,84954071045;0,5585924633518594
2022-12-29;62367,889907836914;0,560248879531438
2022-12-30;62005,84018325806;0,5576811895916141
2023-01-02;62694,15003204346;0,7076696931595767
2023-01-03;63431,60032272339;0,711068299984207
2023-01-04;63491,75010681152;0,7113420234103676
2023-01-05;64304,85074234009;0,7149919499945354
