day_of_month,day_of_week,roc1,roc2,roc3,roc4,roc5,oneDaysLater,twoDaysLater,threeDaysLater,fourDaysLater,fiveDaysLater,sixDaysLater,sevenDaysLater,eightDaysLater,nineDaysLater,tenDaysLater,elevenDaysLater,twelveDaysLater,thirteenDaysLater,fourteenDaysLater,fifteenDaysLater
23.0,2.0,8.364741783421211,9.269815122040542,6.575380518168342,10.38384283442229,2.674343276016408,-2.8880814347395964,-5.557017195869552,-7.197486498423425,-8.323025792928977,-13.44910458327063,-13.842409932941871,-11.208810308740217,-11.972710922458749,-13.933054196992591,-17.50357265431181,-24.535842054330676,-26.45327216059329,-24.257494695902988,-22.85590496189811,-19.01163298400791
24.0,3.0,-2.8880814347395964,5.23507979417072,6.1140138777266095,3.497396739420042,7.195867562569207,-2.748309167979621,-4.437565571097079,-5.596578091016739,-10.875105038146163,-11.280107179471315,-8.568185035299235,-9.354803840698676,-11.373447178711269,-15.05015186138087,-22.291558996482514,-24.266012940540964,-22.004933665071075,-20.561661042398093,-16.60306148563329,-13.74723536859096
25.0,4.0,-2.748309167979621,-5.557017195869552,2.3428944482568563,3.197672705813882,0.6529682962103195,-1.7369943788794937,-2.9287603111773537,-8.356457148085667,-8.772904551580893,-5.98434414613119,-6.793192607962196,-8.868882316534284,-12.6494897807482,-20.095537323108655,-22.12578885618365,-19.80081202943071,-18.31675287290057,-14.246284253900043,-11.309753184249947,-12.151397509368103
26.0,5.0,-1.7369943788794937,-4.437565571097079,-7.197486498423425,0.5652041245080617,1.4051349317794368,-1.2128327693262657,-6.736474960606535,-7.160283901583722,-4.322430135740501,-5.145576605480842,-7.25795826473465,-11.10539549741107,-18.683066763717235,-20.74920703720243,-18.383131613336896,-16.872838754748457,-12.730416493928026,-9.741976387615097,-10.598498452860424,-10.416264532117616
27.0,6.0,-1.2128327693262657,-2.9287603111773537,-5.596578091016739,-8.323025792928977,-0.6544836256538216,-5.591457216687109,-6.02046935749237,-3.147774608369067,-3.9810270366103246,-6.119342891261035,-10.014015995605078,-17.684720074619577,-19.77622682737486,-17.38110255142451,-15.852267480102123,-11.658987748588375,-8.63385787586437,-9.500895659471729,-9.316424410977191,-5.249043442100586
28.0,7.0,-5.591457216687109,-6.736474960606535,-8.356457148085667,-10.875105038146163,-13.44910458327063,-0.45442089048014767,2.5884125909313083,1.7058098055522946,-0.5591503258190664,-4.684490035047628,-12.809500603869084,-15.024879309115837,-12.487900975017773,-10.868518844704225,-6.426887178872681,-3.2225904240045304,-4.140979542240778,-3.9455827666354866,0.3626936339568689,3.508395629034812
29.0,1.0,-0.45442089048014767,-6.02046935749237,-7.160283901583722,-8.772904551580893,-11.280107179471315,3.056723873255824,2.1700920476395646,-0.10520752028947022,-4.2493792114198925,-12.411480071652303,-14.636971876576558,-12.088412355608897,-10.461637821973497,-5.999730316322373,-2.780806097354507,-3.7033876187557118,-3.507098866052474,0.8208446138406899,3.9809065906935723,6.765703486291446
30.0,2.0,3.056723873255824,2.5884125909313083,-3.147774608369067,-4.322430135740501,-5.98434414613119,-0.86033379705208,-3.06814662324604,-7.08939971123196,-15.009407793645446,-17.1688901847811,-14.69592245867523,-13.117399027602373,-8.78783435879086,-5.664385351303822,-6.559602554730393,-6.3691358434611285,-2.169561747533259,0.8967709070340264,3.5989690663921214,2.0232927774628746
1.0,3.0,-0.86033379705208,2.1700920476395646,1.7058098055522946,-3.9810270366103246,-5.145576605480842,-2.2269722208609886,-6.283121733967125,-14.271859628444709,-16.450082002842255,-13.955653868453059,-12.363432014647865,-7.996295393521362,-4.845741102675705,-5.748726998950541,-5.556607417995567,-1.3205894276475272,1.7723528546980913,4.498000683516124,2.9086506793475664,-0.2760555519138133
2.0,4.0,-2.2269722208609886,-3.06814662324604,-0.10520752028947022,-0.5591503258190664,-6.119342891261035,-4.148536263261309,-12.319233311248272,-14.54706896682188,-11.995825345703896,-10.36733752040929,-5.900730808595583,-2.678416472618904,-3.6019696414075457,-3.4054741606815555,0.9270274367087242,4.090417537844094,6.87814733483375,5.2525967711764965,1.9953526174459182,2.3158233213529402
