day_of_week,day_of_month,next_2_days
2,10,0.5756964265380372
3,11,1.3256457474316479
4,12,-1.0303285913099796
5,13,-1.592722911607844
1,16,-0.17351466198342183
2,17,0.4624273250525734
3,18,1.274619411570799
4,19,1.4959737712114352
5,20,1.315786889356536
1,23,-0.6802660773060105
2,24,-0.4517217834087585
3,25,0.9703200448183371
4,26,-0.7940975400610849
5,27,-0.6783540735477492
1,30,0.22870735306354112
2,31,0.341488144476505
3,1,-0.7415919168461311
4,2,-1.0209779148924338
5,3,0.22989032416267668
1,6,0.22922066722003454
2,7,0.6307264887298557
3,8,0.28588419132942633
4,9,-0.6267732637312262
5,10,-0.7981829514794021
2,14,-0.5160559049991672
3,15,-2.0689581085941295
4,16,-2.3054732549601784
5,17,0.41079630905672665
1,20,1.061937402508608
2,21,0.40911567695601886
4,23,-0.11674577580156804
5,24,-0.1164170978369912
1,27,0.8766780431294875
2,28,0.8158472662780981
3,29,0.23174396088233548
4,1,1.5606963564788447
5,2,2.1387332690788345
1,5,0.05691650003148156
2,6,-0.1697831721334099
3,7,1.9909009271255032
4,8,2.0408198571867255
5,9,-0.055773723991232795
1,12,-0.388887193467882
2,13,0.8370514391275328
3,14,1.8404903407101165
4,15,1.6048750438574084
5,16,1.0952839708867155
1,19,1.5795152425823256
2,20,0.7584035966438928
3,21,0.6970566797549308
4,22,2.4193486363534285
5,23,0.8519693373913749
1,26,-0.8398942457742463
2,27,0.05279951742268264
3,28,2.0645913689694866
4,29,-0.2110866169756236
5,30,-1.3485488569610258
1,2,0.423056183773597
2,3,1.10409610630129
3,4,1.4744638758308994
4,5,-0.6760226929858963
1,9,0.8822006863287548
2,10,1.6230338206858645
3,11,1.491764404381839
4,12,1.3910379180125054
5,13,-1.0643643656610726
1,16,-0.8130073421291051
2,17,0.5635179324966665
3,18,-0.9221326893165614
4,19,-2.4452346549034845
5,20,-0.4653575588304619
1,23,0.9399493930099405
2,24,1.1428535758674918
3,25,1.8106589904353325
4,26,1.4381134900885952
5,27,0.5081320117836927
1,30,0.4050629048407832
2,1,0.7583398044649506
3,2,2.0675736207238673
4,3,2.408427169525297
5,4,0.14822473806703218
1,7,-0.832925416780444
2,8,-0.29601071502706516
3,9,0.5928895286087692
4,10,1.1380576942315206
5,11,0.14734174065605296
1,14,-1.908029778899667
2,15,-1.3241714492257979
3,16,-0.6483748913382016
4,17,-2.435395914652788
5,18,-2.8112422881404373
1,21,0.611313521975271
2,22,2.634298619852031
3,23,0.7594917393937896
4,24,-1.5098194853461013
5,25,-0.40200967457085374
1,28,2.1972422681718577
2,29,1.2613521889472321
4,31,-1.0000038146972656
5,1,-1.0961600234165776
1,4,-0.7070676517319978
2,5,-1.2090668337830737
3,6,-1.4750712636291508
