day_of_week,day_of_month,next_2_days
1,8,2.027031257486943
2,9,1.648848839112394
3,10,1.142144106218306
4,11,0.7513911684501111
5,12,0.49120473038470164
1,15,0.13051786768571239
2,16,-1.1923658422081835
3,17,-1.535434705844626
4,18,0.6418180036020074
5,19,-0.06593437583018479
1,22,-1.3056469758325204
2,23,-0.025572046556607806
3,24,2.195862037448155
4,25,1.5748753824454704
5,26,-0.40231045799570464
1,29,0.04532268590401145
2,30,1.5490537596594989
3,31,2.6434163133350626
4,1,1.3450639608371209
1,5,0.05002658485519979
2,6,0.5702092029548044
3,7,1.1973150185725676
4,8,0.7522341784129766
5,9,0.3097761981091755
1,12,-0.08067068805709497
2,13,0.6961113778204513
3,14,1.4743047012395907
4,15,-0.1716890956817804
5,16,-1.207278294761115
1,19,0.2440432935242207
2,20,9.683106179864641E-4
3,21,0.16173785831183302
4,22,1.2730445363071046
5,23,0.1566992034096999
1,26,-0.10602541018529552
2,27,0.5911548594112033
3,28,-0.04805563761963864
4,29,-0.44663876589823803
5,30,-0.394859953876172
1,3,-0.5979571814955638
2,4,0.8874664330541676
3,5,1.5599004783002766
4,6,-0.3139251297920561
5,7,-1.9019042229993777
1,10,-2.9937263236186458
2,11,-0.9537365844961975
3,12,2.7272696682388133
4,13,1.2350161474164134
5,14,-1.1025795956853293
1,17,-1.1435634518504723
2,18,0.758026335151688
3,19,0.9762587417855659
4,20,0.9119642239534307
5,21,0.7764944101308382
1,24,-0.02524559778434396
2,25,0.3044318193741846
3,26,0.19350924222204327
4,27,0.027616982212385288
5,28,0.09538889412181184
2,1,-0.21870190004901358
3,2,0.5173336056243568
4,3,0.8030318540083524
5,4,-0.062185328902902806
1,7,-0.1649161677110202
2,8,0.28198906187842393
3,9,0.6609742273397705
4,10,0.376717334491613
5,11,-0.0200143537749129
1,14,-0.7390975113221605
2,15,-0.5823491643570622
3,16,-1.3554465836267582
4,17,0.06940485653573195
5,18,1.9198536486465898
1,21,0.4035657282339983
2,22,0.4721671151696578
3,23,0.9161201976957596
4,24,0.5653271795144117
5,25,0.25929424786987926
1,28,0.16058641867477455
2,29,0.6556721655100354
3,30,1.2760871146015125
4,1,0.5463061518528327
5,2,0.13303278857726494
2,6,-0.5230805895518781
3,7,0.26203720820798954
4,8,1.4768044304019905
5,9,-0.007777546090341562
1,12,-0.2355974939981438
2,13,-0.2101106576091439
3,14,-1.0776501507049232
4,15,-2.328872869789607
5,16,-0.09475262084598282
1,19,2.3529396926269075
2,20,1.0275110979940763
3,21,1.21825820074548
4,22,1.2551820377861547
5,23,-0.23414709298348954
1,26,-0.4897828940903425
2,27,0.4019107651380767
3,28,-0.12226337365912786
4,29,-0.7238891370664717
5,30,0.6345503612067865
1,2,0.35330371921614295
2,3,0.1345239352920663
3,4,0.7690773777572331
4,5,0.07337833709650872
5,6,0.005183803245280951
1,9,0.2269689526346212
2,10,0.5427413788245901
3,11,0.5760351442110271
4,12,0.42323698688015693
5,13,-0.44583531501790513
1,16,-1.7733277845877562
2,17,-0.950528603237791
3,18,0.9408491333484174
4,19,1.6734755035920115
5,20,1.0032276008240497
1,23,0.3719175236920292
2,24,-0.3617732603858661
3,25,0.2931409916621028
4,26,1.3152134018456376
5,27,0.29516447414725633
1,30,-0.10378479178674803
2,31,0.3155213054344483
3,1,0.2506654912460811
4,2,-0.3729467908581382
5,3,-0.4709663854282703
2,7,-0.5918102594776441
3,8,-1.2292620241724685
4,9,-0.5463671496398104
5,10,-0.348323303952658
1,13,0.2678661475646908
2,14,0.6909712171155661
3,15,-1.0647880656557192
4,16,-2.5933505343671417
5,17,-1.7775877861788234
1,20,0.8699519341471933
2,21,2.1769844755988332
3,22,1.3613453760723266
4,23,-0.13194298947781546
5,24,-2.3083954614790887
1,27,-1.8826881377624611
2,28,-1.0359218441257563
3,29,-0.05550967084646871
4,30,-0.16436476645126946
5,1,-0.25980537514605156
1,4,1.4670487418338019
2,5,1.2435119637169967
3,6,0.6368676950277232
4,7,-0.8766347772006373
5,8,-0.9265951362011347
1,11,0.059842917100933674
2,12,2.0137189902146218
3,13,2.4650606653506486
4,14,1.08601564256824
5,15,1.0793059925747206
1,18,1.1084458771890682
2,19,0.6670878617385403
3,20,0.19201049889899127
4,21,0.3670550246626162
5,22,0.6576632568593209
1,25,-0.32409656345369103
2,26,0.4728060223050708
3,27,1.1797776855451623
4,28,0.3752920815155477
5,29,0.5487065166015714
1,1,1.0165422134206303
2,2,1.0670242253682711
3,3,0.7930352367093993
4,4,0.46239014986599036
5,5,-0.26140941554118424
1,8,-1.1695818978382364
2,9,-0.7679415286003948
3,10,0.7777575321584849
4,11,0.72118386360426
5,12,0.38544485326433714
1,15,0.12535486103044574
2,16,0.07743489107128446
3,17,0.19813804804550864
4,18,-0.45913303908354813
5,19,-0.15453017235913777
1,22,0.39547847640532807
2,23,-2.0483099350714107
3,24,-0.9824595293807297
5,26,-0.6011403877369317
1,29,-3.055246631710344
2,30,0.22115387905079922
3,1,0.5625949803012235
4,2,0.31831998225712005
5,3,3.268086507317876
1,6,2.3856252937660973
2,7,-0.41179505387528675
3,8,0.22994205073951415
4,9,0.03256637923585235
5,10,-1.6538591826484317
1,13,0.8755652945168354
2,14,0.7462107833674864
