day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
2,11,0.0,1.553670094218708,1.977392423925349,2.118643976474741,1.836151647356469,2.542366306181383,2.118643976474741,0.2824815531377608,1.129936988531555,-2.824858635299655,-3.248591740986808,-3.531073294124569,-6.214691152855344,-7.627120470505172,-7.203398140798531
3,12,1.553670094218708,1.977392423925349,2.118643976474741,1.836151647356469,2.542366306181383,2.118643976474741,0.2824815531377608,1.129936988531555,-2.824858635299655,-3.248591740986808,-3.531073294124569,-6.214691152855344,-7.627120470505172,-7.203398140798531,-5.225994940892669
4,13,0.4172397997172561,0.556330344075075,0.27815986647817076,0.973570143792331,0.556330344075075,-1.2517406213892353,-0.4172504108359895,-4.311541597124047,-4.7287920079600365,-5.006951874438208,-7.649513050455764,-9.040333605084085,-8.623093805366828,-6.6759429066634315,-5.702362151752368
5,14,0.13851261460207,-0.1385020475731867,0.5540187573216301,0.13851261460207,-1.662045704936007,-0.8310228524680034,-4.709133019661648,-5.124649729410091,-5.4016538245564645,-8.033234996562545,-9.418276606352178,-9.002770463632618,-7.063710096521356,-6.094174629451281,-7.756230901416172
1,17,-0.2766314926619579,0.4149314103742455,0.0,-1.7980677688591133,-0.9681943956981613,-4.840940321253424,-5.25588228404013,-5.532503224289628,-8.160444366309692,-9.5435701723821,-9.128638762007855,-7.192260523023992,-6.22406612732583,-7.883823426060195,-9.5435701723821
2,18,0.6934812906819483,0.2773988652836193,-1.5256567231633398,-0.6934812906819483,-4.576970169490019,-4.993063176573082,-5.270451460171968,-7.9056824811003175,-9.292645062464214,-8.876562637065884,-6.9348129068194835,-5.963932750853916,-7.628294197501432,-9.292645062464214,-8.460469629982823
3,19,-0.4132168438959641,-2.203854693869487,-1.3774104972694439,-5.234153584339017,-5.647380937043097,-5.9228588329737395,-8.539940879547306,-9.917351376816748,-9.504134532920785,-7.575757734981941,-6.611564081608462,-8.264462983616664,-9.917351376816748,-9.090907180216707,-11.570250278824952
4,20,-1.7980677688591133,-0.9681943956981613,-4.840940321253424,-5.25588228404013,-5.532503224289628,-8.160444366309692,-9.5435701723821,-9.128638762007855,-7.192260523023992,-6.22406612732583,-7.883823426060195,-9.5435701723821,-8.713696799221147,-11.203327471116465,-11.61825888149071
5,21,0.8450682734099912,-3.0985872510453345,-3.5211267605633805,-3.802812603158011,-6.4788710903114,-7.887321794536752,-7.464793030644806,-5.492959895604093,-4.507037955270687,-6.19718524771677,-7.887321794536752,-7.042253521126761,-9.577469086982834,-9.999997850874779,-10.140846144985145
1,24,-3.910608215131881,-4.329606899700631,-4.608932252360344,-7.262565724944338,-8.659213799401263,-8.240225770411694,-6.284916335056163,-5.307256289588806,-6.983240372284626,-8.659213799401263,-7.821227085842944,-10.335197882097082,-10.75418591108665,-10.893853915206098,-9.497200512959582
2,25,-0.43605092798051487,-0.7267441538103613,-3.488374156136883,-4.941862463757605,-4.5058226250128355,-2.4709367764966754,-1.4534883076207226,-3.1976809303070364,-4.941862463757605,-4.069771697032321,-6.686055086443919,-7.122094925188689,-7.2674470827214845,-5.81395323048289,-4.3604649228621675
3,26,-0.29196634779881386,-3.065691203096487,-4.5255452176950275,-4.087595695996807,-2.0437978479984036,-1.0218933550980838,-2.773724855297673,-4.5255452176950275,-3.64963503649635,-6.277376717894617,-6.715326239592838,-6.861314982393363,-5.401455398893704,-3.9416013842951645,-3.64963503649635
4,27,-2.7818469121283687,-4.245975690046869,-3.806743758920973,-1.7569612357518551,-0.7320643889592501,-2.489025624711105,-4.245975690046869,-3.367500657378987,-6.002936925798724,-6.44216885692462,-6.588585085841296,-5.124450722714751,-3.6603219447962507,-3.367500657378987,-5.124450722714751
5,28,-1.5060240617769525,-1.0542237372749115,1.0542122472231705,2.108435984498082,0.3012002163346942,-1.5060240617769525,-0.6024119227211292,-3.3132598299403404,-3.7650601544423816,-3.9156660076355987,-2.4096362008327756,-0.9036121390558235,-0.6024119227211292,-2.4096362008327756,-4.518072185330857
1,31,0.4587085861834001,2.5993836522610714,3.6697270181702075,1.834857676214803,0.0,0.9174288381074015,-1.8348693419554043,-2.2935779281388045,-2.4464866230702387,-0.9174288381074015,0.6116231139851348,0.9174288381074015,-0.9174288381074015,-3.058103904185073,-4.587155856277609
2,1,2.1309004427836027,3.1963564704119993,1.3698653998232582,-0.45661405829229296,0.45662567076548266,-2.283105128881034,-2.7397191871733266,-2.8919296795073524,-1.3698537873500685,0.1522162985706207,0.45662567076548266,-1.3698537873500685,-3.5007542301336714,-5.02282431605436,-6.0882745374461615
