day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
1,13,0.09932800704230794,3.774517315295907,1.7630929651641893,0.1738221177637459,-0.5214815097735819,-0.173829696004918,3.203375591121757,2.433570274621819,2.4832380672635592,4.742978645880461,8.269179732691184,7.921527918922519,10.578588103949825,12.292028432954618,13.906133176675931
2,14,3.671542438321901,1.6621140133976027,0.07442019062924883,-0.6201934909814918,-0.27288665017612146,3.100967454907459,2.331926011946144,2.3815445195131937,4.639042770108763,8.161744827172166,7.814437986366797,10.468861585334786,12.180601677020764,13.793104753572644,14.26445029257431
3,15,-1.9382642311122003,-3.4697296510589837,-4.139743490222216,-3.8047365706406,-0.550367989126716,-1.2921737198737495,-1.2443124588178822,0.9332361697641998,4.331181231842534,3.9961743122609175,6.5565911214804835,8.207709694066935,9.763105744541651,10.217758514159785,6.149799612918217
4,16,-1.5617359900258603,-2.2449931584919818,-1.9033645742589211,1.4153290588864167,0.6588609779059579,0.707668252915516,2.9282577739027187,6.393365785132116,6.051737200899055,8.662762581128876,10.346516758678632,11.93265638620927,12.396295711021613,8.247930531326093,5.392876222993097
5,17,-0.6940971332010601,-0.3470485666005301,3.0242965770004124,2.255827030540501,2.305408639379735,4.561228104828866,8.081310509856142,7.7342619432556114,10.386711584144507,12.09717874291028,13.708482683997586,14.179477707604832,9.965298169376496,7.064948049382798,11.452655653457084
1,20,0.34947425740243615,3.7443833678135237,2.9705426148719027,3.0204707736297354,5.2920572557293015,8.836743224446424,8.487268967043986,11.158257865303822,12.880680308872014,14.503246434924542,14.977533471254095,10.733898987732102,7.813276913650567,12.231652334857511,13.479780124128684
2,21,3.3830860954018966,2.6119402985074625,2.661694578863495,4.9253700977534205,8.45771144278607,8.109454254605877,10.771141242032026,12.487565225629664,14.104480648515235,14.577115946148163,10.34826022475513,7.4378094269861625,11.840797538187967,13.08457863271533,13.432835820895523
3,22,-0.745910986041586,-0.6977848541614454,1.4918146290664065,4.908564388086954,4.571703493976266,7.146290003194947,8.806546093841845,10.370549920728463,10.827718801522735,6.737247254280813,3.922037428678196,8.180943094483844,9.384022961319705,9.720883855430392,8.926854080525432
4,23,0.04848780776515151,2.2545424952651514,5.696969696969697,5.357577237215909,7.951512192234849,9.624245383522727,11.200002959280303,11.660607540246213,7.539395419034091,4.703028823390151,8.993940873579545,10.206062085700758,10.545454545454545,9.74545750473485,11.781819661458332
5,24,2.204985538350915,5.645744391517074,5.306516415971955,7.8991942383524085,9.57111675106634,11.146110646811435,11.60649199895233,7.487277194695931,4.6522852245086534,8.94111771384525,10.152651479803014,10.491879455348133,9.692270127662116,11.727645375548107,10.95226080748903
