Trade #,Type,Signal,Date/Time,Price,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
1405,Exit Long,Long Profit,2024-09-09 21:30,57290,1,5625.00,2.00,152425.00,0.49,5625.00,2.00,250.00,0.09
1405,Entry Long,Long,2024-09-09 18:15,56165,1,5625.00,2.00,152425.00,0.49,5625.00,2.00,250.00,0.09
1404,Exit Short,Short SL,2024-09-09 17:45,55655,1,-2775.00,-1.01,146800.00,-0.24,475.00,0.17,2775.00,1.01
1404,Entry Short,Short,2024-09-09 16:45,55100,1,-2775.00,-1.01,146800.00,-0.24,475.00,0.17,2775.00,1.01
1403,Exit Short,Short Profit,2024-09-06 20:15,53720,1,5500.00,2.01,149575.00,0.48,5500.00,2.01,1775.00,0.65
1403,Entry Short,Short,2024-09-06 17:00,54820,1,5500.00,2.01,149575.00,0.48,5500.00,2.01,1775.00,0.65
1402,Exit Short,Short SL,2024-09-05 19:45,56710,1,250.00,0.09,144075.00,0.02,4025.00,1.42,350.00,0.12
1402,Entry Short,Short,2024-09-05 17:00,56760,1,250.00,0.09,144075.00,0.02,4025.00,1.42,350.00,0.12
1401,Exit Long,Long Profit,2024-09-04 18:00,58520,1,5750.00,2.00,143825.00,0.51,5750.00,2.00,350.00,0.12
1401,Entry Long,Long,2024-09-04 16:45,57370,1,5750.00,2.00,143825.00,0.51,5750.00,2.00,350.00,0.12
1400,Exit Short,Short SL,2024-09-03 17:15,58155,1,-500.00,-0.17,138075.00,-0.04,1700.00,0.59,1350.00,0.47
1400,Entry Short,Short,2024-09-03 16:15,58055,1,-500.00,-0.17,138075.00,-0.04,1700.00,0.59,1350.00,0.47
1399,Exit Long,Long Profit,2024-09-03 04:00,60140,1,5900.00,2.00,138575.00,0.52,5900.00,2.00,1825.00,0.62
1399,Entry Long,Long,2024-09-02 16:45,58960,1,5900.00,2.00,138575.00,0.52,5900.00,2.00,1825.00,0.62
1398,Exit Short,Short Profit,2024-08-30 18:15,58070,1,5950.00,2.01,132675.00,0.53,5950.00,2.01,275.00,0.09
1398,Entry Short,Short,2024-08-30 16:45,59260,1,5950.00,2.01,132675.00,0.53,5950.00,2.01,275.00,0.09
1397,Exit Short,Short SL,2024-08-29 19:15,60770,1,250.00,0.08,126725.00,0.02,1400.00,0.46,0,0.00
1397,Entry Short,Short,2024-08-29 18:45,60820,1,250.00,0.08,126725.00,0.02,1400.00,0.46,0,0.00
1396,Exit Long,Long SL,2024-08-29 17:45,61325,1,50.00,0.02,126475.00,0.00,1350.00,0.44,850.00,0.28
1396,Entry Long,Long,2024-08-29 16:45,61315,1,50.00,0.02,126475.00,0.00,1350.00,0.44,850.00,0.28
1395,Exit Short,Short Profit,2024-08-28 18:15,58050,1,5925.00,2.00,126425.00,0.53,5925.00,2.00,325.00,0.11
1395,Entry Short,Short,2024-08-28 16:45,59235,1,5925.00,2.00,126425.00,0.53,5925.00,2.00,325.00,0.11
1394,Exit Short,Short SL,2024-08-27 18:00,61710,1,250.00,0.08,120500.00,0.02,1575.00,0.51,100.00,0.03
1394,Entry Short,Short,2024-08-27 17:30,61760,1,250.00,0.08,120500.00,0.02,1575.00,0.51,100.00,0.03
1393,Exit Long,Short,2024-08-27 17:30,61760,1,-1800.00,-0.58,120250.00,-0.16,0,0.00,2200.00,0.71
1393,Entry Long,Long,2024-08-27 16:45,62120,1,-1800.00,-0.58,120250.00,-0.16,0,0.00,2200.00,0.71
1392,Exit Long,Closing Bell,2024-08-26 22:15,63245,1,-3050.00,-0.96,122050.00,-0.27,550.00,0.17,3050.00,0.96
1392,Entry Long,Long,2024-08-26 18:45,63855,1,-3050.00,-0.96,122050.00,-0.27,550.00,0.17,3050.00,0.96
1391,Exit Long,Long SL,2024-08-23 21:00,63245,1,250.00,0.08,125100.00,0.02,2200.00,0.70,1575.00,0.50
1391,Entry Long,Long,2024-08-23 20:00,63195,1,250.00,0.08,125100.00,0.02,2200.00,0.70,1575.00,0.50
1390,Exit Short,Short SL,2024-08-23 17:30,61715,1,-3075.00,-1.01,124850.00,-0.27,500.00,0.16,3075.00,1.01
1390,Entry Short,Short,2024-08-23 17:00,61100,1,-3075.00,-1.01,124850.00,-0.27,500.00,0.16,3075.00,1.01
1389,Exit Long,Long Profit,2024-08-21 21:00,61245,1,6025.00,2.01,127925.00,0.54,6025.00,2.01,3200.00,1.07
1389,Entry Long,Long,2024-08-21 16:45,60040,1,6025.00,2.01,127925.00,0.54,6025.00,2.01,3200.00,1.07
1388,Exit Short,Short SL,2024-08-20 21:45,59720,1,250.00,0.08,121900.00,0.02,5400.00,1.81,925.00,0.31
1388,Entry Short,Short,2024-08-20 16:45,59770,1,250.00,0.08,121900.00,0.02,5400.00,1.81,925.00,0.31
1387,Exit Long,Closing Bell,2024-08-19 22:15,59290,1,2450.00,0.83,121650.00,0.22,3525.00,1.20,1225.00,0.42
1387,Entry Long,Long,2024-08-19 17:00,58800,1,2450.00,0.83,121650.00,0.22,3525.00,1.20,1225.00,0.42
1386,Exit Long,Long Profit,2024-08-16 21:15,60045,1,5900.00,2.00,119200.00,0.53,5900.00,2.00,1525.00,0.52
1386,Entry Long,Long,2024-08-16 18:30,58865,1,5900.00,2.00,119200.00,0.53,5900.00,2.00,1525.00,0.52
1385,Exit Short,Short SL,2024-08-16 18:15,58640,1,-2925.00,-1.01,113300.00,-0.26,875.00,0.30,2925.00,1.01
