Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
1507,Exit Long,Long SL,2024-09-09 16:15,55136,1,-557.00,-1.00,-8745.00,-0.06,53.00,0.10,557.00,1.00
1507,Entry Long,Long,2024-09-09 16:00,55693,1,-557.00,-1.00,-8745.00,-0.06,53.00,0.10,557.00,1.00
1506,Exit Long,Long SL,2024-09-07 17:45,54727,1,50.00,0.09,-8188.00,0.01,136.00,0.25,57.00,0.10
1506,Entry Long,Long,2024-09-07 17:15,54677,1,50.00,0.09,-8188.00,0.01,136.00,0.25,57.00,0.10
1505,Exit Long,Long Profit,2024-09-04 18:00,58231,1,1142.00,2.00,-8238.00,0.12,1142.00,2.00,51.00,0.09
1505,Entry Long,Long,2024-09-04 16:45,57089,1,1142.00,2.00,-8238.00,0.12,1142.00,2.00,51.00,0.09
1504,Exit Long,Long SL,2024-08-29 16:30,60661,1,17.00,0.03,-9380.00,0.00,201.00,0.33,176.00,0.29
1504,Entry Long,Long,2024-08-29 16:00,60644,1,17.00,0.03,-9380.00,0.00,201.00,0.33,176.00,0.29
1503,Exit Long,Long SL,2024-08-23 16:45,61485,1,-622.00,-1.00,-9397.00,-0.06,216.00,0.35,683.00,1.10
1503,Entry Long,Long,2024-08-23 16:15,62107,1,-622.00,-1.00,-9397.00,-0.06,216.00,0.35,683.00,1.10
1502,Exit Long,Long SL,2024-08-21 16:15,59367,1,-600.00,-1.00,-8775.00,-0.06,246.00,0.41,600.00,1.00
1502,Entry Long,Long,2024-08-21 16:00,59967,1,-600.00,-1.00,-8775.00,-0.06,246.00,0.41,600.00,1.00
1501,Exit Long,Long SL,2024-08-20 16:15,60308,1,-610.00,-1.00,-8175.00,-0.06,13.00,0.02,719.00,1.18
1501,Entry Long,Long,2024-08-20 16:00,60918,1,-610.00,-1.00,-8175.00,-0.06,13.00,0.02,719.00,1.18
1500,Exit Long,Long SL,2024-08-15 17:45,59561,1,50.00,0.08,-7565.00,0.01,257.00,0.43,221.00,0.37
1500,Entry Long,Long,2024-08-15 16:45,59511,1,50.00,0.08,-7565.00,0.01,257.00,0.43,221.00,0.37
1499,Exit Long,Long SL,2024-08-13 16:30,59469,1,50.00,0.08,-7615.00,0.01,285.00,0.48,102.00,0.17
1499,Entry Long,Long,2024-08-13 16:00,59419,1,50.00,0.08,-7615.00,0.01,285.00,0.48,102.00,0.17
1498,Exit Long,Long SL,2024-08-12 17:15,59647,1,-603.00,-1.00,-7665.00,-0.06,272.00,0.45,603.00,1.00
1498,Entry Long,Long,2024-08-12 16:45,60250,1,-603.00,-1.00,-7665.00,-0.06,272.00,0.45,603.00,1.00
1497,Exit Long,Long SL,2024-08-09 16:30,60355,1,-122.00,-0.20,-7062.00,-0.01,648.00,1.07,126.00,0.21
1497,Entry Long,Long,2024-08-09 16:00,60477,1,-122.00,-0.20,-7062.00,-0.01,648.00,1.07,126.00,0.21
1496,Exit Long,Long Profit,2024-08-08 17:30,59370,1,1165.00,2.00,-6940.00,0.12,1165.00,2.00,74.00,0.13
1496,Entry Long,Long,2024-08-08 16:30,58205,1,1165.00,2.00,-6940.00,0.12,1165.00,2.00,74.00,0.13
1495,Exit Long,Long SL,2024-08-06 17:00,56146,1,-10.00,-0.02,-8105.00,0.00,478.00,0.85,256.00,0.46
