time,open,high,low,close,Account Equity,Daily High,Daily Low
2024-02-01T01:00:00+01:00,42548,42641,42537,42570,1000000,43738,42264
2024-02-01T01:15:00+01:00,42563,42563,42392,42462,1000000,43738,42264
2024-02-01T01:30:00+01:00,42460,42491,42208,42360,1000000,43738,42264
2024-02-01T01:45:00+01:00,42359,42480,42359,42448,1000000,43738,42264
2024-02-01T02:00:00+01:00,42427,42442,42234,42250,1000000,43738,42264
2024-02-01T02:15:00+01:00,42250,42250,41945,42003,1000000,43738,42264
2024-02-01T02:30:00+01:00,42000,42058,41859,42026,1000000,43738,42264
2024-02-01T02:45:00+01:00,42019,42034,41902,41944,1000000,43738,42264
2024-02-01T03:00:00+01:00,41946,42104,41925,42087,1000000,43738,42264
2024-02-01T03:15:00+01:00,42087,42131,42007,42086,1000000,43738,42264
2024-02-01T03:30:00+01:00,42051,42127,42044,42104,1000000,43738,42264
2024-02-01T03:45:00+01:00,42088,42116,42010,42116,1000000,43738,42264
2024-02-01T04:00:00+01:00,42115,42136,42071,42075,1000000,43738,42264
2024-02-01T04:15:00+01:00,42070,42075,41948,41982,1000000,43738,42264
2024-02-01T04:30:00+01:00,41993,42081,41935,42070,1000000,43738,42264
2024-02-01T04:45:00+01:00,42056,42081,41970,41978,1000000,43738,42264
2024-02-01T05:00:00+01:00,41965,41996,41937,41975,1000000,43738,42264
2024-02-01T05:15:00+01:00,41994,42019,41934,42000,1000000,43738,42264
2024-02-01T05:30:00+01:00,42007,42055,41859,42040,1000000,43738,42264
2024-02-01T05:45:00+01:00,42048,42091,42018,42034,1000000,43738,42264
2024-02-01T06:00:00+01:00,42033,42115,41983,42107,1000000,43738,42264
2024-02-01T06:15:00+01:00,42103,42146,42008,42010,1000000,43738,42264
2024-02-01T06:30:00+01:00,42015,42105,41997,42062,1000000,43738,42264
2024-02-01T06:45:00+01:00,42055,42118,42055,42110,1000000,43738,42264
2024-02-01T07:00:00+01:00,42112,42167,42091,42160,1000000,43738,42264
2024-02-01T07:15:00+01:00,42157,42182,42080,42130,1000000,43738,42264
2024-02-01T07:30:00+01:00,42128,42180,42107,42165,1000000,43738,42264
2024-02-01T07:45:00+01:00,42166,42167,42117,42152,1000000,43738,42264
2024-02-01T08:00:00+01:00,42152,42154,42080,42149,1000000,43738,42264
2024-02-01T08:15:00+01:00,42139,42202,42139,42191,1000000,43738,42264
2024-02-01T08:30:00+01:00,42189,42248,42174,42233,1000000,43738,42264
2024-02-01T08:45:00+01:00,42233,42259,42140,42148,1000000,43738,42264
2024-02-01T09:00:00+01:00,42140,42196,42081,42086,1000000,43738,42264
2024-02-01T09:15:00+01:00,42081,42142,42081,42112,1000000,43738,42264
2024-02-01T09:30:00+01:00,42104,42179,42096,42179,1000000,43738,42264
2024-02-01T09:45:00+01:00,42183,42209,42129,42204,1000000,43738,42264
2024-02-01T10:00:00+01:00,42200,42218,42089,42138,1000000,43738,42264
2024-02-01T10:15:00+01:00,42138,42218,42138,42182,1000000,43738,42264
2024-02-01T10:30:00+01:00,42181,42188,42116,42155,1000000,43738,42264
2024-02-01T10:45:00+01:00,42154,42154,42101,42116,1000000,43738,42264
2024-02-01T11:00:00+01:00,42115,42168,42077,42168,1000000,43738,42264
2024-02-01T11:15:00+01:00,42171,42278,42158,42223,1000000,43738,42264
2024-02-01T11:30:00+01:00,42223,42240,42152,42163,1000000,43738,42264
2024-02-01T11:45:00+01:00,42156,42202,42146,42189,1000000,43738,42264
2024-02-01T12:00:00+01:00,42175,42222,42158,42220,1000000,43738,42264
2024-02-01T12:15:00+01:00,42210,42225,42164,42194,1000000,43738,42264
2024-02-01T12:30:00+01:00,42185,42258,42176,42204,1000000,43738,42264
2024-02-01T12:45:00+01:00,42215,42215,42010,42039,1000000,43738,42264
2024-02-01T13:00:00+01:00,42024,42133,41914,42124,1000000,43738,42264
2024-02-01T13:15:00+01:00,42120,42157,42060,42157,1000000,43738,42264
2024-02-01T13:30:00+01:00,42157,42172,42077,42148,1000000,43738,42264
2024-02-01T13:45:00+01:00,42143,42187,42070,42103,1000000,43738,42264
2024-02-01T14:00:00+01:00,42092,42104,41950,41983,1000000,43738,42264
2024-02-01T14:15:00+01:00,41983,42136,41950,42130,1000000,43738,42264
2024-02-01T14:30:00+01:00,42134,42248,42132,42156,1000000,43738,42264
2024-02-01T14:45:00+01:00,42143,42221,42119,42199,1000000,43738,42264
2024-02-01T15:00:00+01:00,42184,42248,42162,42220,1000000,43738,42264
2024-02-01T15:15:00+01:00,42219,42404,42219,42349,1000000,43738,42264
2024-02-01T15:30:00+01:00,42356,42517,42344,42517,1000000,43738,42264
2024-02-01T15:45:00+01:00,42498,42630,42450,42617,1000000,43738,42264
2024-02-01T16:00:00+01:00,42621,42800,42554,42774,1000000,43738,42264
2024-02-01T16:15:00+01:00,42774,42909,42678,42891,1000000,43738,42264
2024-02-01T16:30:00+01:00,42897,42917,42660,42685,1000000,43738,42264
2024-02-01T16:45:00+01:00,42683,42704,42502,42502,1000000,43738,42264
2024-02-01T17:00:00+01:00,42498,42600,42431,42600,1000000,43738,42264
2024-02-01T17:15:00+01:00,42600,42645,42471,42513,1000000,43738,42264
2024-02-01T17:30:00+01:00,42507,42534,42359,42512,1000000,43738,42264
2024-02-01T17:45:00+01:00,42517,42677,42517,42637,1000000,43738,42264
2024-02-01T18:00:00+01:00,42637,42907,42609,42906,1000000,43738,42264
2024-02-01T18:15:00+01:00,42906,43153,42860,43085,1000000,43738,42264
2024-02-01T18:30:00+01:00,43080,43150,42903,42942,1000000,43738,42264
2024-02-01T18:45:00+01:00,42950,43009,42876,42895,1000000,43738,42264
2024-02-01T19:00:00+01:00,42918,42939,42786,42915,1000000,43738,42264
2024-02-01T19:15:00+01:00,42916,43025,42902,42908,1000000,43738,42264
2024-02-01T19:30:00+01:00,42913,42952,42773,42813,1000000,43738,42264
2024-02-01T19:45:00+01:00,42832,42846,42763,42838,1000000,43738,42264
2024-02-01T20:00:00+01:00,42838,42920,42821,42863,1000000,43738,42264
2024-02-01T20:15:00+01:00,42852,42902,42815,42902,1000000,43738,42264
2024-02-01T20:30:00+01:00,42896,42989,42845,42983,1000000,43738,42264
2024-02-01T20:45:00+01:00,42981,43263,42981,43207,1000000,43738,42264
2024-02-01T21:00:00+01:00,43203,43260,43021,43046,1000000,43738,42264
2024-02-01T21:15:00+01:00,43070,43192,43027,43076,1000000,43738,42264
2024-02-01T21:30:00+01:00,43077,43132,43027,43082,1000000,43738,42264
2024-02-01T21:45:00+01:00,43078,43078,42891,43000,1000000,43738,42264
2024-02-01T22:00:00+01:00,42996,43160,42958,43123,1000000,43738,42264
2024-02-01T22:15:00+01:00,43122,43201,43089,43102,1000000,43738,42264
2024-02-01T22:30:00+01:00,43102,43140,43021,43069,1000000,43738,42264
